Trace,hwc opt choose same type,hwc opt choose different type,opt not evict (hwc evict)
client_001,826,237,15
client_002,25234,5297,590
client_003,41813,16858,1985
client_004,121752,73780,3044
client_005,40402,19149,1823
client_006,1697,1026,131
client_007,7913,3458,196
client_008,16051,5372,578
server_001,12462,6183,2032
server_002,555,381,221
server_003,111159,92346,5939
server_004,101418,68602,2788
server_009,75125,42089,6496
server_010,79323,36082,8667
server_011,92462,99854,7887
server_012,79980,42332,12507
server_013,88462,52633,15277
server_014,2207,430,116
server_015,578,385,213
server_016,53279,20856,8033
server_017,376,17,9
server_018,383,47,9
server_019,399,57,9
server_020,410,47,4
server_021,424,23,4
server_022,435,73,8
server_023,71014,28951,16549
server_024,74190,28071,14557
server_025,87254,13375,4132
server_026,95184,10938,5758
server_027,97422,10396,5400
server_028,38753,4130,3988
server_029,41861,3382,2526
server_030,50686,3868,3278
server_031,42028,3415,3296
server_032,41361,2037,269
server_033,3503,57,2
server_034,1569,159,3697
server_035,1470,19,2780
server_036,873,492,254
server_037,56,4,5
server_038,37,0,3
server_039,4,1,0
spec_gcc_001,198193,73331,3887
spec_gcc_002,5912,3036,159
spec_gcc_003,7266,2130,241
spec_gobmk_001,4570,2502,311
spec_gobmk_002,3454,2524,283
spec_perlbench_001,4793,1514,173
spec_x264_001,28,9,0
