Trace,hwc hot & opt hot,hwc warm & opt hot,hwc warm & opt warm,hwc cold & opt hot,hwc cold & opt warm,hwc cold & opt cold,others
cassandra,24608,747,10139,274,121,3426,30148
client_001,514,43,94,28,1,103,295
client_002,7946,140,3368,67,11,12340,7249
client_003,25331,977,6946,324,84,5420,21574
client_004,73421,1826,22458,301,151,10608,89811
client_005,22190,912,8216,224,118,6156,23558
client_006,423,201,712,61,30,450,977
client_007,4101,647,1121,560,66,1817,3255
client_008,9675,671,2473,334,37,2097,6714
drupal,16563,1182,11702,236,52,11882,20166
finagle-chirper,31557,1191,11238,153,55,6059,33412
finagle-http,24368,1497,10227,353,116,5031,26908
kafka,39597,1650,14755,787,252,8474,42802
mediawiki,29528,1408,18762,113,77,12312,49821
server_001,2513,611,7110,30,10,3904,6499
server_002,33,75,152,122,84,574,117
server_003,60431,2260,26361,154,33,15035,105170
server_004,31110,2059,24584,328,95,39788,74844
server_009,12600,3235,37771,70,10,26187,43837
server_010,9019,3472,32308,28,9,42281,36955
server_011,29519,4054,39229,89,36,22620,104656
server_012,10380,4818,49029,24,12,27969,42587
server_013,17791,7715,49343,25,9,28779,52710
server_014,177,120,434,4,3,1603,412
server_015,37,79,141,130,82,589,118
server_016,19,2298,34693,13,4,22394,22747
server_017,37,0,5,4,0,328,28
server_018,38,1,12,4,2,332,50
server_019,39,2,147,5,1,210,61
server_020,42,0,10,0,0,348,61
server_021,60,0,10,0,0,352,29
server_022,48,1,15,5,1,367,79
server_023,1646,3990,55479,31,1,23802,31565
server_024,1512,4491,49426,10,0,31258,30121
server_025,69,361,18867,16,4,69561,15883
server_026,1468,317,20454,15,2,76237,13387
server_027,1455,316,20889,16,0,77506,13036
server_028,1097,232,9327,16,0,31918,4281
server_029,1160,205,5630,14,0,36834,3926
server_030,1312,81,7473,17,1,44790,4158
server_031,1048,112,9293,16,3,34694,3573
server_032,0,1,1301,0,0,40328,2037
server_033,11,1,60,1,0,3431,58
server_034,111,4,4779,0,1,349,181
server_035,5,2,4172,0,0,70,20
server_036,78,115,232,158,89,772,175
server_037,23,0,11,0,0,20,11
server_038,0,0,4,0,0,34,2
server_039,0,0,0,1,0,4,0
spec_gcc_001,130341,1206,23644,310,126,16130,103654
spec_gcc_002,2946,19,2161,9,1,239,3732
spec_gcc_003,3745,17,2452,17,1,332,3073
spec_gobmk_001,1982,398,1218,263,82,1053,2387
spec_gobmk_002,1434,615,915,568,139,1013,1577
spec_perlbench_001,2973,128,911,37,7,333,2091
spec_x264_001,0,0,16,0,0,12,9
tomcat,54881,1190,42058,90,24,9522,81481
verilator,0,1009,41792,226,8,2977602,6403
wordpress,10120,1985,13557,92,41,9212,25441
