Trace,hwc hot & opt hot,hwc warm & opt hot,hwc warm & opt warm,hwc cold & opt hot,hwc cold & opt warm,hwc cold & opt cold
client_001,641,205,97,31,1,103
client_002,9893,4610,3587,655,36,12340
client_003,31211,15578,7148,1183,114,5422
client_004,91051,69683,23085,3911,235,10611
client_005,27321,17837,8710,1138,202,6166
client_006,524,904,853,90,33,450
client_007,5126,2794,1165,599,66,1817
client_008,11982,4801,2516,558,46,2098
server_001,3057,5447,7476,757,36,3904
server_002,39,175,163,122,84,574
server_003,74765,80079,27221,12033,308,15038
server_004,38704,52465,25530,15736,582,39791
server_009,15604,33987,39782,7187,962,26188
server_010,11008,25330,34686,9626,1141,42281
server_011,36565,88693,40993,10799,530,22623
server_012,12646,34723,51848,6408,1225,27969
server_013,21864,43665,53074,7697,1293,28779
server_014,217,421,503,6,3,1603
server_015,40,173,162,130,82,589
server_016,21,18443,38886,1741,683,22394
server_017,51,5,5,13,0,328
server_018,47,10,13,35,2,332
server_019,50,41,147,16,1,210
server_020,56,12,10,35,0,348
server_021,66,7,10,16,0,352
server_022,59,14,16,59,1,367
server_023,1839,25351,61910,2474,1138,23802
server_024,1687,23962,55796,3212,903,31258
server_025,85,11105,21727,1985,298,69561
server_026,1787,9411,22903,1335,206,76238
server_027,1788,8446,23526,1764,188,77506
server_028,1346,2009,9459,2139,0,31918
server_029,1448,1912,6092,1483,0,36834
server_030,1628,1635,7529,2218,32,44790
server_031,1312,2312,9306,1105,10,34694
server_032,0,2038,1301,0,0,40328
server_033,12,50,61,8,0,3431
server_034,138,139,4779,15,5,349
server_035,6,16,4174,1,2,70
server_036,97,244,258,158,90,772
server_037,30,4,11,0,0,20
server_038,0,0,6,0,0,34
server_039,0,0,0,1,0,4
spec_gcc_001,161997,66975,23840,6282,183,16134
spec_gcc_002,3641,3009,2180,37,1,239
spec_gcc_003,4648,2089,2524,42,2,332
spec_gobmk_001,2471,2123,1355,296,85,1053
spec_gobmk_002,1741,1798,983,583,143,1013
spec_perlbench_001,3669,1426,963,80,9,333
spec_x264_001,0,9,16,0,0,12
