Trace,Hot not taken,hot taken,warm not taken,warm taken,cold not taken,cold taken
client_001,281,596,30,68,34,69
client_002,2959,12199,210,3413,651,11689
client_003,9581,38391,1068,6194,1722,3700
client_004,39564,125081,3951,19369,3385,7226
client_005,9665,36631,1336,7576,2100,4066
client_006,468,1050,187,699,170,280
client_007,1980,6539,228,1003,592,1225
client_008,5247,12094,515,2047,891,1207
server_001,4103,5158,962,6550,490,3414
server_002,64,272,38,209,233,341
server_003,66497,100380,4768,22761,3228,11810
server_004,41812,65093,3144,22968,5031,34760
server_009,28144,28634,4105,36639,1575,24613
server_010,21716,24248,4009,31818,1883,40398
server_011,60599,75458,5520,36003,3659,18964
server_012,23786,29991,5954,47119,1522,26447
server_013,36616,36610,8428,45939,1707,27072
server_014,115,529,89,417,522,1081
server_015,60,283,44,200,232,357
server_016,5143,15062,1952,37617,106,22288
server_017,6,63,0,5,8,320
server_018,37,55,3,12,12,320
server_019,41,66,1,147,17,193
server_020,61,42,0,10,7,341
server_021,23,66,1,9,10,342
server_022,7,125,5,12,9,358
server_023,5436,24228,2838,60210,199,23603
server_024,4874,23987,3048,53651,185,31073
server_025,970,12205,2151,19874,191,69370
server_026,1515,11018,1813,21296,204,76034
server_027,1661,10337,2261,21453,252,77254
server_028,370,5124,11,9448,91,31827
server_029,852,3991,80,6012,94,36740
server_030,678,4803,71,7490,141,44649
server_031,923,3806,40,9276,115,34579
server_032,1,2037,1,1300,14,40314
server_033,37,33,5,56,56,3375
server_034,136,156,29,4755,44,305
server_035,1,22,10,4166,28,42
server_036,107,392,88,260,311,461
server_037,9,25,1,10,6,14
server_038,0,0,0,6,7,27
server_039,0,1,0,0,2,2
spec_gcc_001,66357,168897,5180,18843,5957,10177
spec_gcc_002,2221,4466,48,2133,46,193
spec_gcc_003,1836,4943,42,2484,44,288
spec_gobmk_001,1295,3595,300,1140,479,574
spec_gobmk_002,1272,2850,300,826,478,535
spec_perlbench_001,1471,3704,242,730,136,197
spec_x264_001,2,7,0,16,0,12
