Trace,Hot not taken,hot taken,warm not taken,warm taken,cold not taken,cold taken
client_001,243,521,21,52,64,83
client_002,2781,12441,356,2830,2102,16899
client_003,7967,32644,1303,5477,1933,4589
client_004,29616,93609,5260,18896,4290,10147
client_005,8119,30219,1721,6975,2571,5648
client_006,473,1001,223,578,251,374
client_007,1785,5799,172,547,658,1308
client_008,4525,10431,592,1467,997,1421
server_001,4081,5803,1973,6982,1241,4577
server_002,75,281,31,172,232,342
server_003,46754,73365,9899,34443,7267,21082
server_004,30360,50933,7021,28450,14500,52685
server_009,23964,29772,11798,41834,8806,33094
server_010,19063,26923,8226,33045,15536,52256
server_011,35868,49542,14780,51621,9935,30937
server_012,20636,31073,13508,51459,10037,35080
server_013,28385,35271,14261,51167,9580,37228
server_014,166,559,153,430,565,1202
server_015,64,311,38,153,231,354
server_016,6895,25355,4400,40355,2950,29892
server_017,9,181,0,3,12,498
server_018,144,106,3,7,19,472
server_019,55,213,117,142,52,210
server_020,74,148,1,8,186,367
server_021,99,106,1,10,52,487
server_022,10,260,5,12,42,505
server_023,6107,32805,6354,68017,2720,33049
server_024,6636,34622,5134,59544,4738,41956
server_025,2355,33035,3104,20639,7413,94283
server_026,2783,34971,2402,25112,8447,101263
server_027,3888,34999,2909,23362,10586,101730
server_028,821,23240,269,13182,1919,38876
server_029,849,28008,288,6884,2229,42434
server_030,1442,27376,266,10139,2662,54312
server_031,1128,27355,725,11894,2265,39187
server_032,851,27369,1,3611,471,44063
server_033,54,2763,41,44,264,3809
server_034,184,224,60,5701,192,387
server_035,7,34,13,5527,43,56
server_036,101,448,70,202,309,459
server_037,13,44,8,13,7,15
server_038,2,7,0,5,12,39
server_039,1,1,0,1,2,2
spec_gcc_001,49155,119635,6570,15096,7913,15517
spec_gcc_002,2108,4207,617,2377,106,297
spec_gcc_003,1866,5086,472,2868,64,492
spec_gobmk_001,1309,3115,286,851,495,626
spec_gobmk_002,1140,2650,222,625,484,544
spec_perlbench_001,1296,3224,287,540,159,258
spec_x264_001,2,11,3,20,0,15
