Trace,hwc hot & opt hot,hwc warm & opt hot,hwc warm & opt warm,hwc cold & opt hot,hwc cold & opt warm,hwc cold & opt cold
client_001,560,206,94,31,1,103
client_002,9241,4597,3597,618,27,12386
client_003,32149,15668,7076,1188,112,5421
client_004,90373,69785,22932,3886,242,10629
client_005,27652,17770,8711,1168,196,6138
client_006,572,935,860,85,33,455
client_007,5134,2787,1174,595,68,1817
client_008,12444,4807,2520,571,48,2082
server_001,3436,5462,7464,762,40,3898
server_002,38,180,166,117,84,578
server_003,77356,80281,27056,12156,295,14927
server_004,40090,52677,25236,16116,569,39424
server_009,16746,34287,39365,7201,918,26219
server_010,11601,25439,34536,9704,1150,42194
server_011,39085,88924,40914,11012,513,22426
server_012,14033,34940,51489,6414,1198,27990
server_013,22525,43821,52969,7931,1312,28526
server_014,200,425,487,5,3,1604
server_015,44,176,154,131,82,588
server_016,43,18528,38879,1741,607,22470
server_017,55,5,5,13,0,328
server_018,48,10,13,35,2,332
server_019,41,41,148,16,1,210
server_020,51,12,10,35,0,348
server_021,66,7,10,16,0,352
server_022,54,14,15,59,1,367
server_023,1915,25270,62395,2473,1021,23920
server_024,1636,23992,55906,3209,840,31324
server_025,127,11236,21520,2014,282,69547
server_026,1851,9549,23020,1374,216,76189
server_027,1715,8584,23415,1753,184,77521
server_028,1313,1981,9467,1804,0,32253
server_029,1439,1893,6054,1230,0,37082
server_030,1693,1636,7503,1971,32,45037
server_031,1274,2305,9389,781,9,35019
server_032,0,2038,1301,0,0,40328
server_033,12,50,61,8,0,3431
server_034,169,139,4783,15,5,349
server_035,6,16,4174,1,2,70
server_036,76,240,258,160,91,769
server_037,31,4,11,0,0,20
server_038,0,0,4,0,0,34
server_039,0,0,0,1,0,4
spec_gcc_001,164168,67134,23640,6472,179,15950
spec_gcc_002,3514,3009,2173,36,1,240
spec_gcc_003,4200,2074,2544,55,2,319
spec_gobmk_001,3166,2117,1319,304,84,1046
spec_gobmk_002,2052,1805,955,583,142,1015
spec_perlbench_001,3869,1413,961,75,10,338
spec_x264_001,0,9,16,0,0,12
