Trace,hwc opt choose same type,hwc opt choose different type,opt not evict hwc evict,opt evict hwc not evict
client_001,661,72,15,247
client_002,22938,210,581,6737
client_003,37628,1387,1973,20626
client_004,106271,2205,2994,86377
client_005,35958,1240,1892,22545
client_006,1538,321,138,943
client_007,7089,1264,215,3007
client_008,14605,1035,609,6223
server_001,11900,591,2090,6481
server_002,544,278,218,123
server_003,101226,2454,5963,102428
server_004,95134,2415,2825,73738
server_009,71362,3390,6671,43313
server_010,75582,3473,8760,36809
server_011,87311,4107,7921,103535
server_012,76172,4852,12642,42398
server_013,81970,7877,15353,51884
server_014,2095,127,108,394
server_015,562,294,206,113
server_016,49050,2351,8200,22667
server_017,366,3,9,28
server_018,373,7,10,50
server_019,378,7,13,59
server_020,394,0,4,58
server_021,418,0,4,29
server_022,419,6,7,78
server_023,64088,3948,17516,31442
server_024,67608,4542,14884,29873
server_025,84385,435,4150,15756
server_026,92231,409,6194,13365
server_027,94418,397,5482,12875
server_028,38762,198,3997,3861
server_029,41463,194,2530,3511
server_030,50711,82,3223,3856
server_031,42060,120,3439,3158
server_032,41361,0,269,2037
server_033,3501,1,2,58
server_034,1576,5,3703,176
server_035,1467,2,2780,20
server_036,797,371,262,164
server_037,55,0,3,8
server_038,36,0,2,0
server_039,4,1,0,0
spec_gcc_001,174874,1543,3943,97183
spec_gcc_002,5245,22,176,3530
spec_gcc_003,6217,29,245,2703
spec_gobmk_001,4776,730,323,2207
spec_gobmk_002,3476,1329,277,1470
spec_perlbench_001,4463,180,185,1838
spec_x264_001,28,0,0,9
