Trace,not the same,0,1,2,3
client_001,502,0,0,521,0
client_002,18395,0,0,10424,0
client_003,21452,7,0,30682,0
client_004,74553,0,11,87805,0
client_005,24453,8,1,28811,0
client_006,2180,0,1,531,0
client_007,5778,1,0,4284,0
client_008,7681,3,0,11166,0
server_001,15319,0,0,4912,0
server_002,1095,29,0,50,0
server_003,103186,0,0,76528,0
server_004,110274,0,0,42300,0
server_009,94927,0,0,22472,0
server_010,100292,0,0,17591,0
server_011,125092,0,0,47635,0
server_012,107112,0,0,20359,0
server_013,116270,0,0,35526,0
server_014,2451,11,1,278,0
server_015,1104,28,0,49,0
server_016,72978,0,0,16052,0
server_017,355,0,0,30,0
server_018,393,0,0,26,0
server_019,419,0,0,40,0
server_020,403,0,0,50,0
server_021,386,0,0,38,0
server_022,455,0,0,70,0
server_023,104485,0,0,17221,0
server_024,106441,0,0,16113,0
server_025,96989,0,0,9180,0
server_026,103616,0,0,7190,0
server_027,106810,0,0,6605,0
server_028,44997,0,0,2501,0
server_029,44764,0,0,2735,0
server_030,54912,0,0,2742,0
server_031,44403,0,0,2606,0
server_032,43623,0,0,4,0
server_033,3533,0,0,29,0
server_034,3386,0,0,206,0
server_035,2877,0,0,2,0
server_036,1495,26,1,97,0
server_037,36,0,0,35,0
server_038,41,0,0,0,0
server_039,5,0,0,0,0
spec_gcc_001,75073,4,1,142168,0
spec_gcc_002,3265,0,0,5976,0
spec_gcc_003,3472,0,0,6451,0
spec_gobmk_001,3783,3,0,2676,0
spec_gobmk_002,3841,10,1,1619,0
spec_perlbench_001,2059,0,0,3578,0
spec_x264_001,37,0,0,0,0
