Trace,hwc hot & opt hot,hwc warm & opt hot,hwc warm & opt warm,hwc cold & opt hot,hwc cold & opt warm,hwc cold & opt cold
client_001,405,490,170,28,4,103
client_002,5911,6484,5343,608,34,12390
client_003,23888,24623,8816,1149,153,5419
client_004,67329,109732,29748,3855,347,10555
client_005,20818,24916,10613,1169,248,6086
client_006,253,1089,1133,79,44,448
client_007,3794,4739,1664,569,99,1814
client_008,9076,8205,3261,551,71,2077
server_001,2019,6209,8589,740,68,3889
server_002,9,206,186,106,96,577
server_003,61398,106997,29154,13118,406,13855
server_004,26474,81860,27934,19876,1138,35094
server_009,10222,45256,47419,7934,2058,24345
server_010,7481,28489,39248,9580,2019,41449
server_011,25796,110790,44579,11320,787,21844
server_012,9016,39106,57921,6157,1774,27671
server_013,13313,48911,59317,7898,1612,28259
server_014,81,534,593,5,2,1605
server_015,11,206,187,117,95,590
server_016,30,13682,48420,1240,1134,22444
server_017,31,12,8,13,0,328
server_018,29,12,12,35,2,332
server_019,34,47,153,16,1,210
server_020,56,13,9,35,0,348
server_021,66,7,10,16,0,352
server_022,47,15,16,59,1,367
server_023,134,20109,72056,1398,1704,24312
server_024,17,20574,64208,2712,1172,31489
server_025,125,9699,23425,2003,449,69391
server_026,21,10561,25062,2225,320,75234
server_027,17,9093,26275,2569,216,76673
server_028,886,2396,9517,1784,14,32259
server_029,1300,1963,6107,1537,2,36778
server_030,1377,1751,7690,2153,47,44840
server_031,854,2462,10291,779,10,35020
server_032,0,2038,1301,0,0,40328
server_033,0,54,64,8,0,3431
server_034,162,136,4793,15,5,349
server_035,6,16,4174,1,2,70
server_036,35,284,322,140,109,767
server_037,30,4,11,0,0,20
server_038,0,0,6,0,0,34
server_039,0,0,0,1,0,4
spec_gcc_001,139254,114408,31346,6211,225,16164
spec_gcc_002,3152,2443,3121,35,2,240
spec_gcc_003,2791,2791,3737,51,3,321
spec_gobmk_001,1657,2803,1581,284,91,1059
spec_gobmk_002,1222,2218,1127,550,171,1019
spec_perlbench_001,2364,2360,1308,76,16,329
spec_x264_001,0,9,16,0,0,12
