Trace,hwc opt choose same type,hwc opt choose different type,opt not evict hwc evict,opt evict hwc not evict
client_001,521,158,25,616
client_002,19934,1076,882,10232
client_003,26396,3274,1384,40057
client_004,77023,7615,2423,176169
client_005,26763,2896,1627,38297
client_006,1418,610,228,914
client_007,5670,1859,250,5875
client_008,10789,1723,504,12823
server_001,10839,1754,3573,5821
server_002,525,298,218,150
server_003,70500,9631,6252,179435
server_004,68876,9704,5775,127551
server_009,60432,13347,16154,53675
server_010,72800,8552,18052,32865
server_011,67535,15714,12050,142313
server_012,70869,11934,23355,43652
server_013,73228,18315,22970,54145
server_014,2034,206,146,471
server_015,540,316,218,139
server_016,53865,3116,16135,15842
server_017,362,4,5,22
server_018,363,9,5,45
server_019,377,13,12,63
server_020,395,2,4,60
server_021,418,0,4,29
server_022,409,9,7,71
server_023,67431,5472,28294,22169
server_024,72325,4664,22818,23204
server_025,86314,1208,6252,11468
server_026,92927,814,8386,10494
server_027,94872,1443,7608,10819
server_028,38104,318,4487,4169
server_029,41026,209,2468,4034
server_030,49981,92,3247,4640
server_031,41193,224,4582,3400
server_032,41361,0,269,2037
server_033,3494,3,3,56
server_034,1521,5,3686,82
server_035,1467,3,2778,19
server_036,754,420,274,238
server_037,49,0,5,11
server_038,35,0,3,2
server_039,4,1,0,0
spec_gcc_001,142225,2745,2008,232029
spec_gcc_002,4396,297,674,3816
spec_gcc_003,4821,528,836,3046
spec_gobmk_001,2831,1044,355,3594
spec_gobmk_002,2455,1666,335,1959
spec_perlbench_001,2862,506,242,3129
spec_x264_001,28,0,0,9
