BRANCH_DIRECT_JUMP,BRANCH_INDIRECT,BRANCH_CONDITIONAL,BRANCH_DIRECT_CALL,BRANCH_INDIRECT_CALL,BRANCH_RETURN
0.07362,0.6812,0.57448,0.16484,0.37732,0.17748
0.51474,0.98636,5.7826,0.8555,2.66182,0.21502
0.0483,1.26656,1.71878,0.08954,2.73406,0.01904
0.45216,0.4595,4.94396,0.83552,2.36688,0.74678
0.35728,0.43368,2.66138,0.6466,0.46084,0.94356
0.21404,0.26728,1.23456,0.3787,0.1179,1.30264
0.36824,0.4927,3.00072,0.65356,0.75052,1.28276
0.24596,0.29734,1.42488,0.43272,0.13318,1.46938
0.29112,0.29844,1.63154,0.51744,0.12584,1.48086
0.18934,0.34456,0.87322,0.55628,0.36648,0.11672
0.22962,0.41134,1.0519,0.65964,0.42816,0.1571
0.24616,0.4314,1.06526,0.61942,0.44476,0.12898
0.2459,0.35976,0.96064,0.63312,0.44114,0.17056
0.3002,0.42432,1.06986,0.71624,0.51938,0.18526
0.2956,0.43128,1.14038,0.74336,0.52334,0.18668
0.00498,0.44454,0.15666,0.00344,0.2182,0.6053
0.02836,0.44418,0.0868,0.02934,0.23302,0.61634
0.25016,0.06746,5.57192,0.46744,0.09094,0.00036
0.00648,0,6.24462,0.0068,0.0732,0.00156
0.0122,0.00028,6.93144,0.01142,0.00032,0.00566
