BRANCH_DIRECT_JUMP,BRANCH_INDIRECT,BRANCH_CONDITIONAL,BRANCH_DIRECT_CALL,BRANCH_INDIRECT_CALL,BRANCH_RETURN
0.07496,0.6812,0.59504,0.15714,0.37732,0.17748
0.60634,0.98636,6.01082,0.96998,2.66182,0.21502
0.06064,1.26656,1.77582,0.1311,2.73406,0.01904
0.4775,0.4595,5.05998,0.97198,2.36688,0.74678
0.39834,0.43368,2.9003,0.74102,0.46084,0.94356
0.21962,0.26728,1.30924,0.40164,0.1179,1.30264
0.39852,0.4927,3.05672,0.66262,0.75052,1.28276
0.26646,0.29734,1.48442,0.44222,0.13318,1.46938
0.32714,0.29844,1.83638,0.5747,0.12584,1.48086
0.2608,0.34456,0.99442,0.52848,0.36648,0.11672
0.28016,0.41134,1.14976,0.59936,0.42816,0.1571
0.2633,0.4314,1.10276,0.66008,0.44476,0.12898
0.2686,0.35976,0.96634,0.64522,0.44114,0.17056
0.3167,0.42432,1.04278,0.7679,0.51938,0.18526
0.33222,0.43128,1.0705,0.73172,0.52334,0.18668
0.00484,0.44454,0.15684,0.00338,0.2182,0.6053
0.00046,0.44418,0.07858,0.0291,0.23302,0.61634
0.3559,0.06746,5.96316,0.67732,0.09094,0.00036
0.00768,0,6.2495,0.00742,0.0732,0.00156
0.0133,0.00028,6.9382,0.01384,0.00032,0.00566
