BRANCH_DIRECT_JUMP,BRANCH_INDIRECT,BRANCH_CONDITIONAL,BRANCH_DIRECT_CALL,BRANCH_INDIRECT_CALL,BRANCH_RETURN
0.09502,0.6812,0.66402,0.19014,0.37732,0.17748
0.28128,0.98636,5.28006,0.46678,2.66182,0.21502
0.02962,1.26656,1.68176,0.04936,2.73406,0.01904
0.29364,0.4595,4.36262,0.5111,2.36688,0.74678
0.37412,0.43368,2.74138,0.63962,0.46084,0.94356
0.30544,0.26728,1.64568,0.51848,0.1179,1.30264
0.33688,0.4927,3.05378,0.60456,0.75052,1.28276
0.33578,0.29734,1.83272,0.56562,0.13318,1.46938
0.34126,0.29844,1.97622,0.60574,0.12584,1.48086
0.25992,0.34456,1.15462,0.69112,0.36648,0.11672
0.32152,0.41134,1.40876,0.8427,0.42816,0.1571
0.34052,0.4314,1.44926,0.88192,0.44476,0.12898
0.376,0.35976,1.46628,0.9025,0.44114,0.17056
0.44414,0.42432,1.66974,1.0656,0.51938,0.18526
0.45808,0.43128,1.70394,1.09238,0.52334,0.18668
0.0378,0.44454,0.16394,0.0177,0.2182,0.6053
0.02904,0.44418,0.10762,0.01156,0.23302,0.61634
0.09656,0.06746,5.09102,0.18924,0.09094,0.00036
0.0056,0,6.24566,0.00724,0.0732,0.00156
0.01086,0.00028,6.9271,0.00936,0.00032,0.00566
