BRANCH_DIRECT_JUMP,BRANCH_INDIRECT,BRANCH_CONDITIONAL,BRANCH_DIRECT_CALL,BRANCH_INDIRECT_CALL,BRANCH_RETURN
0.0934,0.6812,0.64556,0.18276,0.37732,0.17748
0.2936,0.98636,5.31284,0.48118,2.66182,0.21502
0.02958,1.26656,1.6655,0.04974,2.73406,0.01904
0.29706,0.4595,4.37484,0.5283,2.36688,0.74678
0.3817,0.43368,2.74326,0.6527,0.46084,0.94356
0.30708,0.26728,1.63594,0.52726,0.1179,1.30264
0.34314,0.4927,3.03062,0.62058,0.75052,1.28276
0.34524,0.29734,1.83902,0.58406,0.13318,1.46938
0.34462,0.29844,1.94592,0.62886,0.12584,1.48086
0.28704,0.34456,1.1502,0.65506,0.36648,0.11672
0.34544,0.41134,1.3924,0.79432,0.42816,0.1571
0.37428,0.4314,1.43928,0.83196,0.44476,0.12898
0.41074,0.35976,1.48268,0.83496,0.44114,0.17056
0.48676,0.42432,1.6824,0.9831,0.51938,0.18526
0.49048,0.43128,1.71738,0.99688,0.52334,0.18668
0.02844,0.44454,0.18672,0.03152,0.2182,0.6053
0.02856,0.44418,0.13408,0.02992,0.23302,0.61634
0.10326,0.06746,5.11738,0.2079,0.09094,0.00036
0.00634,0,6.24506,0.0073,0.0732,0.00156
0.01058,0.00028,6.92636,0.00964,0.00032,0.00566
