BRANCH_DIRECT_JUMP,BRANCH_INDIRECT,BRANCH_CONDITIONAL,BRANCH_DIRECT_CALL,BRANCH_INDIRECT_CALL,BRANCH_RETURN
0.10176,0.6812,0.66108,0.19306,0.37732,0.17748
0.28586,0.98636,5.2912,0.47324,2.66182,0.21502
0.02902,1.26656,1.67334,0.04918,2.73406,0.01904
0.3001,0.4595,4.37202,0.52372,2.36688,0.74678
0.3837,0.43368,2.7581,0.67592,0.46084,0.94356
0.3244,0.26728,1.71506,0.57026,0.1179,1.30264
0.35786,0.4927,3.08766,0.63826,0.75052,1.28276
0.35732,0.29734,1.90514,0.6208,0.13318,1.46938
0.36888,0.29844,2.03922,0.65262,0.12584,1.48086
0.31008,0.34456,1.25994,0.73308,0.36648,0.11672
0.37326,0.41134,1.5178,0.89706,0.42816,0.1571
0.40722,0.4314,1.57512,0.93094,0.44476,0.12898
0.44482,0.35976,1.63718,0.9362,0.44114,0.17056
0.52728,0.42432,1.88528,1.09876,0.51938,0.18526
0.54018,0.43128,1.91594,1.12054,0.52334,0.18668
0.03852,0.44454,0.1897,0.03168,0.2182,0.6053
0.02924,0.44418,0.13502,0.02986,0.23302,0.61634
0.09314,0.06746,5.08592,0.18708,0.09094,0.00036
0.0056,0,6.24408,0.00722,0.0732,0.00156
0.0102,0.00028,6.9256,0.0091,0.00032,0.00566
