BRANCH_DIRECT_JUMP,BRANCH_INDIRECT,BRANCH_CONDITIONAL,BRANCH_DIRECT_CALL,BRANCH_INDIRECT_CALL,BRANCH_RETURN
0.05186,0.6812,0.48946,0.09384,0.37732,0.17748
0.22422,0.98636,5.17694,0.37188,2.66182,0.21502
0.02678,1.26656,1.66364,0.0438,2.73406,0.01904
0.19726,0.4595,3.91902,0.34378,2.36688,0.74678
0.21176,0.43368,1.99052,0.36922,0.46084,0.94356
0.1462,0.26728,0.85478,0.26974,0.1179,1.30264
0.2016,0.4927,2.32568,0.37024,0.75052,1.28276
0.16074,0.29734,0.9752,0.29358,0.13318,1.46938
0.17268,0.29844,1.0441,0.31026,0.12584,1.48086
0.12734,0.34456,0.58946,0.26842,0.36648,0.11672
0.15468,0.41134,0.7476,0.34286,0.42816,0.1571
0.15794,0.4314,0.7146,0.33898,0.44476,0.12898
0.1699,0.35976,0.64868,0.30654,0.44114,0.17056
0.20222,0.42432,0.69612,0.36066,0.51938,0.18526
0.19984,0.43128,0.7423,0.37408,0.52334,0.18668
0.00186,0.44454,0.12456,0.0307,0.2182,0.6053
0.0005,0.44418,0.0667,0.04354,0.23302,0.61634
0.0884,0.06746,5.07974,0.17552,0.09094,0.00036
0.00544,0,6.24282,0.006,0.0732,0.00156
0.01184,0.00028,6.92956,0.01106,0.00032,0.00566
