BRANCH_DIRECT_JUMP,BRANCH_INDIRECT,BRANCH_CONDITIONAL,BRANCH_DIRECT_CALL,BRANCH_INDIRECT_CALL,BRANCH_RETURN
0.09476,0.6812,0.96674,0.1785,0.37732,0.17748
0.26564,0.98636,5.5707,0.43848,2.66182,0.21502
0.0302,1.26656,1.8169,0.0472,2.73406,0.01904
0.28726,0.4595,4.99842,0.50626,2.36688,0.74678
0.36388,0.43368,3.48738,0.63928,0.46084,0.94356
0.29596,0.26728,2.25418,0.50772,0.1179,1.30264
0.32572,0.4927,3.80238,0.59888,0.75052,1.28276
0.32512,0.29734,2.52866,0.56254,0.13318,1.46938
0.33646,0.29844,2.69122,0.60934,0.12584,1.48084
0.29742,0.34456,1.49764,0.625,0.36648,0.11672
0.34814,0.41134,1.83338,0.75906,0.42816,0.1571
0.38274,0.4314,1.85126,0.78822,0.44476,0.12898
0.38878,0.35976,1.77302,0.82474,0.44114,0.17056
0.43514,0.42432,1.99772,0.945,0.51938,0.18526
0.47024,0.43128,2.0925,0.9856,0.52334,0.18668
0.03286,0.44454,0.2556,0.03246,0.2182,0.6053
0.05708,0.44418,0.22044,0.05736,0.23302,0.61634
0.0915,0.06746,5.93848,0.18098,0.09094,0.00036
0.00372,0,7.12694,0.00654,0.0732,0.00156
0.01044,0.00028,8.28168,0.01138,0.00032,0.00566
