BRANCH_DIRECT_JUMP,BRANCH_INDIRECT,BRANCH_CONDITIONAL,BRANCH_DIRECT_CALL,BRANCH_INDIRECT_CALL,BRANCH_RETURN
0.0866,0.6812,0.60796,0.16814,0.37732,0.17748
0.28424,0.98636,5.27978,0.47788,2.66182,0.21502
0.0294,1.26656,1.66518,0.0496,2.73406,0.01904
0.28698,0.4595,4.2708,0.49446,2.36688,0.74678
0.33056,0.43368,2.52548,0.5806,0.46084,0.94356
0.2666,0.26728,1.4182,0.4458,0.1179,1.30264
0.32182,0.4927,2.8445,0.55652,0.75052,1.28276
0.2958,0.29734,1.6017,0.4983,0.13318,1.46938
0.3204,0.29844,1.69344,0.53832,0.12584,1.48086
0.23052,0.34456,0.92002,0.5453,0.36648,0.11672
0.28228,0.41134,1.14286,0.66502,0.42816,0.1571
0.29326,0.4314,1.16042,0.67432,0.44476,0.12898
0.3254,0.35976,1.05472,0.68024,0.44114,0.17056
0.36436,0.42432,1.18824,0.77894,0.51938,0.18526
0.38636,0.43128,1.22574,0.8164,0.52334,0.18668
0.005,0.44454,0.1328,0.03068,0.2182,0.6053
0.02882,0.44418,0.06424,0.02974,0.23302,0.61634
0.09572,0.06746,5.08946,0.19188,0.09094,0.00036
0.00596,0,6.24354,0.0073,0.0732,0.00156
0.01122,0.00028,6.92776,0.0103,0.00032,0.00566
