BRANCH_DIRECT_JUMP,BRANCH_INDIRECT,BRANCH_CONDITIONAL,BRANCH_DIRECT_CALL,BRANCH_INDIRECT_CALL,BRANCH_RETURN
0.08142,0.6812,0.61338,0.17628,0.37732,0.17748
0.45142,0.98636,5.6292,0.76734,2.66182,0.21502
0.0397,1.26656,1.68878,0.0711,2.73406,0.01904
0.4524,0.4595,5.05166,0.85202,2.36688,0.74678
0.39526,0.43368,2.85364,0.71638,0.46084,0.94356
0.25726,0.26728,1.4593,0.45186,0.1179,1.30264
0.40988,0.4927,3.29688,0.76114,0.75052,1.28276
0.28726,0.29734,1.65734,0.50618,0.13318,1.46938
0.32866,0.29844,1.86326,0.58512,0.12584,1.48086
0.24564,0.34456,1.01408,0.6424,0.36648,0.11672
0.29228,0.41134,1.2127,0.76164,0.42816,0.1571
0.31436,0.4314,1.27484,0.80054,0.44476,0.12898
0.33926,0.35976,1.17072,0.75666,0.44114,0.17056
0.39216,0.42432,1.32642,0.88728,0.51938,0.18526
0.39666,0.43128,1.3616,0.89634,0.52334,0.18668
0.03656,0.44454,0.1865,0.03072,0.2182,0.6053
0.0287,0.44418,0.13344,0.02954,0.23302,0.61634
0.1687,0.06746,5.29496,0.31734,0.09094,0.00036
0.00582,0,6.2439,0.0073,0.0732,0.00156
0.01136,0.00028,6.92784,0.01054,0.00032,0.00566
