BRANCH_DIRECT_JUMP,BRANCH_INDIRECT,BRANCH_CONDITIONAL,BRANCH_DIRECT_CALL,BRANCH_INDIRECT_CALL,BRANCH_RETURN
0.08396,0.6812,0.61858,0.16158,0.37732,0.17748
0.28088,0.98636,5.27284,0.47068,2.66182,0.21502
0.02904,1.26656,1.6649,0.04912,2.73406,0.01904
0.28076,0.4595,4.28506,0.47826,2.36688,0.74678
0.32228,0.43368,2.54368,0.56242,0.46084,0.94356
0.25982,0.26728,1.45158,0.43262,0.1179,1.30264
0.31488,0.4927,2.88168,0.54114,0.75052,1.28276
0.288,0.29734,1.63352,0.48312,0.13318,1.46938
0.31126,0.29844,1.73454,0.51718,0.12584,1.48086
0.22282,0.34456,0.95046,0.52794,0.36648,0.11672
0.27166,0.41134,1.18062,0.64122,0.42816,0.1571
0.28372,0.4314,1.1955,0.65306,0.44476,0.12898
0.3028,0.35976,1.10572,0.62994,0.44114,0.17056
0.34794,0.42432,1.23796,0.73704,0.51938,0.18526
0.36044,0.43128,1.2986,0.7504,0.52334,0.18668
0.00464,0.44454,0.13348,0.03062,0.2182,0.6053
0.02868,0.44418,0.06432,0.02964,0.23302,0.61634
0.09442,0.06746,5.08426,0.19042,0.09094,0.00036
0.00516,0,6.24336,0.00654,0.0732,0.00156
0.01112,0.00028,6.92702,0.01026,0.00032,0.00566
