Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.5351,15938929,15657389,281540,5.6308,3.40532,11794849,11380667,414182,8.2836,5.0562,2.8023,3232769,3113796,118973,2.3795,13.3999,82.0295,128.198,195.284
client_002,1.78721,22175777,21676389,499388,9.9878,2.1919,12376858,12136076,240782,4.8156,4.2885,1.0923,5655627,5356366,299261,5.9852,11.2907,60.6599,68.2149,189.481
client_003,1.10037,16970682,16540439,430243,8.6049,2.741,11365622,10958274,407348,8.147,7.2929,5.2754,4107497,3860927,246570,4.9314,12.9249,178.423,197.918,246.048
client_004,1.43928,14105156,13575557,529599,10.592,9.9135,12406385,11878312,528073,10.5615,4.8439,1.7845,3167341,2877329,290012,5.8002,16.923,30.517,74.8167,148.934
client_005,1.34218,20936263,20300148,636115,12.7223,4.16272,12955872,12568582,387290,7.7458,6.6588,4.8619,5772855,5407244,365611,7.3122,12.6567,116.364,138.971,163.04
client_006,1.45901,16304342,15587442,716900,14.338,2.64696,9530268,9027611,502657,10.0531,8.968,5.1838,3686694,3336189,350505,7.0101,12.3439,114.278,129.104,188.811
client_007,1.53477,16300072,15445476,854596,17.0919,3.35886,12432101,11866542,565559,11.3112,3.5294,2.4197,2989804,2568923,420881,8.4176,10.1839,53.0826,145.261,182.772
client_008,1.50773,18233775,17503463,730312,14.6062,5.7712,12207934,11338677,869257,17.3851,6.3942,2.89,4468149,4097760,370389,7.4078,10.1419,42.7119,93.3043,162.249
server_001,1.47085,19862041,19353807,508234,10.1647,1.79712,10790701,10380673,410028,8.2006,8.2945,4.5057,4495412,4258715,236697,4.7339,15.25,141.109,149.739,238.889
server_002,1.38259,34163024,33453556,709468,14.1894,0.22302,14895054,14894670,384,0.0077,0.003,0.0015,6662369,6292870,369499,7.39,9.86791,41.987,96.1523,153.587
server_003,1.3265,14972462,14081290,891172,17.8234,8.769,11438539,10710597,727942,14.5588,14.6308,3.0866,4035487,3549881,485606,9.7121,16.5611,52.3012,61.4869,196.782
server_004,1.01341,26951813,25876488,1075325,21.5065,5.6558,12819056,10816934,2002122,40.0424,15.8188,1.9587,5317477,4768120,549357,10.9871,14.8659,20.3953,40.2471,163.892
server_009,1.0673,28662195,27585143,1077052,21.541,3.89814,12851608,10605835,2245773,44.9155,15.44,1.2832,5559820,5027128,532692,10.6538,13.0864,17.8298,32.8441,155.097
server_010,1.2791,23496402,22298443,1197959,23.9592,4.29754,12014478,10398665,1615813,32.3163,17.1705,1.2499,5527583,4930790,596793,11.9359,13.0228,20.5223,30.9942,151.87
