Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.5322,18590831,17984810,606021,12.1204,3.40532,11792104,11377926,414178,8.2836,5.0454,2.8376,3243215,3226062,17153,0.3431,16.34,83.4288,133.998,202.759
client_002,1.8145,26143022,24926707,1216315,24.3263,2.1919,12361614,12120834,240780,4.8156,4.4546,1.095,5629429,5575960,53469,1.0694,13.2075,60.4827,66.4467,189.181
client_003,1.10601,20318463,19232725,1085738,21.7148,2.741,11356794,10949455,407339,8.1468,7.4914,5.3136,4101440,4019545,81895,1.6379,13.9979,178.074,194.478,246.074
client_004,1.4624,16900506,16029115,871391,17.4278,9.9135,12388275,11860229,528046,10.5609,5.2926,1.7969,3165263,3046381,118882,2.3776,17.0855,31.1601,70.8535,150.078
client_005,1.35553,25641242,23868857,1772385,35.4477,4.16272,12946328,12559043,387285,7.7457,6.9485,4.8617,5768749,5628235,140514,2.8103,13.2193,116.564,135.118,164.654
client_006,1.46765,19593729,18489531,1104198,22.084,2.64696,9519500,9016840,502660,10.0532,9.1145,5.2005,3700380,3669397,30983,0.6197,17.3435,115.605,132.152,196.635
client_007,1.53892,18682188,17626707,1055481,21.1096,3.35886,12432052,11866520,565532,11.3106,3.5719,2.4244,3006758,2940109,66649,1.333,13.2752,53.0543,145.525,185.016
client_008,1.52663,22181902,20804737,1377165,27.5433,5.7712,12197682,11328376,869306,17.3861,6.6411,2.9196,4471380,4431860,39520,0.7904,13.015,43.1494,91.8075,163.397
server_001,1.50735,24296286,23434495,861791,17.2358,1.79712,10775894,10365867,410027,8.2005,8.5295,4.5023,4505042,4475933,29109,0.5822,21.9177,143.557,153.232,252.475
server_002,1.37976,42436477,39852676,2583801,51.676,0.22302,14897965,14897581,384,0.0077,0.0033,0.0015,6649871,6648452,1419,0.0284,11.2667,38.9062,89.4788,154.919
server_003,1.38198,18474910,17208710,1266200,25.324,8.769,11395845,10667918,727927,14.5585,15.6355,3.1559,4042170,3927601,114569,2.2914,20.9904,53.1987,59.8576,197.732
server_004,1.04929,30890716,29398110,1492606,29.8521,5.6558,12774048,10771945,2002103,40.0421,16.9551,1.9811,5333698,5237037,96661,1.9332,19.7777,20.503,39.2675,165.478
server_009,1.10199,32633750,31120969,1512781,30.2556,3.89814,12809861,10564801,2245060,44.9012,16.6521,1.2757,5567500,5504542,62958,1.2592,18.9124,17.9612,32.1536,159.388
server_010,1.33457,27830721,26218703,1612018,32.2404,4.29754,11966573,10350756,1615817,32.3163,18.0862,1.2334,5537419,5471967,65452,1.309,18.8909,20.6959,30.7315,158.253
server_011,1.63454,20288088,18540482,1747606,34.9521,6.60976,10935062,10302421,632641,12.6528,18.0231,1.8923,4865883,4764781,101102,2.022,18.909,38.7747,36.5071,157.893
server_012,1.83813,22235529,20338209,1897320,37.9464,4.78318,10731496,10095370,636126,12.7225,20.586,1.396,5511687,5434484,77203,1.5441,18.7174,37.4774,30.4707,155.412
server_013,1.78088,21760080,19848583,1911497,38.2299,4.96586,10702956,10055890,647066,12.9413,22.1664,1.5523,5508907,5429362,79545,1.5909,19.3649,39.3375,30.8594,156.202
server_014,1.42098,41174776,37809285,3365491,67.3098,0.4166,14992315,14930846,61469,1.2294,1.3275,1.0044,6683739,6631055,52684,1.0537,11.7987,322.5,319.956,396.443
server_015,1.48221,40779233,37401851,3377382,67.5476,0.1603,15186876,15186474,402,0.008,0.003,0.0013,6731505,6647019,84486,1.6897,11.266,41.3582,89.2434,157.09
server_016,1.83266,21717338,19307813,2409525,48.1905,3.13086,11544616,10716119,828497,16.5699,9.631,0.5021,4774973,4727414,47559,0.9512,13.9169,21.1927,29.4781,188.795
server_017,0.414119,31092336,28385837,2706499,54.13,1.40634,12803898,11066111,1737787,34.7557,32.9188,24.2921,4951182,4859214,91968,1.8394,13.9234,235.636,242.708,301.836
server_018,0.425148,33598133,30520600,3077533,61.5507,0.73232,13177904,11373857,1804047,36.0809,33.9877,24.4042,5443108,5331467,111641,2.2328,13.6766,235.614,243.683,311.56
server_019,0.40731,30817660,28001337,2816323,56.3265,1.50408,12746623,10958105,1788518,35.7704,33.8417,25.4978,4871283,4747524,123759,2.4752,14.2804,252.218,261.644,320.765
server_020,0.426392,33646587,30446713,3199874,63.9975,0.72338,13169168,11376566,1792602,35.852,33.7453,24.4063,5447981,5315407,132574,2.6515,13.3854,237.202,245.484,311.815
server_021,0.431866,34079171,30909777,3169394,63.3879,0.54928,13265076,11451053,1814023,36.2805,34.2656,24.3177,5565445,5459980,105465,2.1093,13.5998,237.36,245.045,317.166
server_022,0.432689,33739424,30636582,3102842,62.0568,0.54102,13276659,11458569,1818090,36.3618,34.3417,24.3031,5572323,5449989,122334,2.4467,13.5375,238.603,246.067,319.475
server_023,1.64762,24550255,21700151,2850104,57.0021,3.78472,12652040,11693052,958988,19.1798,10.2802,0.668,5470366,5411370,58996,1.1799,13.6172,22.6192,33.2937,208.671
server_024,1.61039,24802029,21890433,2911596,58.2319,3.91842,12887571,11897656,989915,19.7983,11.0035,0.7511,5574037,5512756,61281,1.2256,13.7141,24.8836,36.6219,248.642
server_025,1.60102,27085313,24283731,2801582,56.0316,3.98966,13257852,12356711,901141,18.0228,10.7998,0.3919,6204616,6138788,65828,1.3166,13.8454,19.8377,26.5995,191.828
server_026,1.59915,25473632,22315041,3158591,63.1718,4.64028,13025649,11961546,1064103,21.2821,13.4933,0.4032,5844651,5780553,64098,1.282,14.1439,19.8,25.9075,207.34
server_027,1.58697,25629157,22417034,3212123,64.2425,4.71796,13082512,12063944,1018568,20.3714,12.8777,0.464,5875766,5811146,64620,1.2924,14.0171,20.0602,26.7449,195.117
server_028,1.51673,28320837,24970571,3350266,67.0053,3.12278,12664232,11223710,1440522,28.8104,12.978,0.5887,5971865,5885613,86252,1.725,13.5975,17.9709,26.1632,141.358
