Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.53426,16836007,16379876,456131,9.1226,3.40532,11794561,11380389,414172,8.2834,5.0416,2.8284,3242961,3218175,24786,0.4957,16.8328,83.259,132.91,201.323
client_002,1.81337,24447585,23353702,1093883,21.8777,2.1919,12361725,12120942,240783,4.8157,4.3576,1.0955,5636596,5550989,85607,1.7121,13.2132,61.2045,67.9836,191.131
client_003,1.11439,18425665,17677304,748361,14.9672,2.741,11366243,10958894,407349,8.147,7.4742,5.2952,4103253,3979319,123934,2.4787,15.4179,180.169,197.36,250.453
client_004,1.56179,15230020,14417392,812628,16.2526,9.9135,12373974,11845928,528046,10.5609,5.3911,1.9175,3165653,3026286,139367,2.7873,20.8468,31.8768,77.2267,161.114
client_005,1.37829,23003730,21944804,1058926,21.1785,4.16272,12942354,12555057,387297,7.7459,6.8662,4.8795,5767446,5576696,190750,3.815,15.2775,116.766,138.597,167.006
client_006,1.46644,17915992,16915137,1000855,20.0171,2.64696,9520212,9017548,502664,10.0533,9.0777,5.2269,3699856,3646458,53398,1.068,16.0763,116.247,132.437,195.344
client_007,1.54037,17404461,16257357,1147104,22.9421,3.35886,12431043,11865517,565526,11.3105,3.5978,2.432,3007378,2899027,108351,2.167,12.5373,52.6844,143.46,182.742
client_008,1.53373,19765833,18668751,1097082,21.9416,5.7712,12202918,11333629,869289,17.3858,6.5526,2.9024,4473347,4412055,61292,1.2258,13.0975,42.9019,92.4552,163.648
server_001,1.50786,21318761,20456587,862174,17.2435,1.7971,10776930,10366913,410017,8.2003,8.5691,4.491,4503378,4443371,60007,1.2001,19.6853,144.129,151.639,251.228
server_002,1.37976,38241420,37285840,955580,19.1116,0.22302,14897969,14897585,384,0.0077,0.0028,0.0014,6649812,6589308,60504,1.2101,10.8423,39.638,98.1214,152.458
server_003,1.44027,16776817,15497439,1279378,25.5876,8.769,11386447,10658533,727914,14.5583,16.0354,3.2691,4044623,3888593,156030,3.1206,23.6175,54.4015,63.7092,214.615
server_004,1.07116,29065241,27539938,1525303,30.5061,5.6558,12769249,10765045,2004204,40.0841,17.4974,2.0668,5329686,5199543,130143,2.6029,20.6512,20.7745,40.6137,175.238
server_009,1.10034,30808972,29288183,1520789,30.4158,3.89814,12808749,10563689,2245060,44.9012,17.035,1.3477,5564372,5447773,116599,2.332,18.5426,18.1283,32.5296,159.341
server_010,1.32994,25933737,24217559,1716178,34.3236,4.29754,11966324,10350612,1615712,32.3142,18.7858,1.3393,5535467,5410486,124981,2.4996,18.3074,20.9517,31.0725,156.792
server_011,1.68489,18325455,16549980,1775475,35.5095,6.60976,10925830,10293188,632642,12.6528,18.743,1.9295,4862520,4707659,154861,3.0972,19.4642,39.3463,37.0991,166.792
server_012,1.83928,20275619,18297688,1977931,39.5586,4.78318,10729166,10093021,636145,12.7229,21.0543,1.4088,5510467,5367447,143020,2.8604,18.0203,37.8997,30.3251,155.392
server_013,1.77748,20018161,17957784,2060377,41.2075,4.96586,10703408,10056395,647013,12.9403,22.8025,1.5922,5506044,5351013,155031,3.1006,18.4403,39.8312,30.8388,156.594
server_014,1.41942,37310327,35120032,2190295,43.8059,0.4166,14992310,14930839,61471,1.2294,1.3347,0.999,6688192,6507722,180470,3.6094,11.2353,322.138,314.225,393.141
server_015,1.4822,36644538,34573383,2071155,41.4231,0.1603,15186882,15186480,402,0.008,0.0031,0.0013,6751239,6580320,170919,3.4184,10.8281,41.5,85.0705,156.477
server_016,1.82978,21426166,18356589,3069577,61.3915,3.13086,11549945,10721417,828528,16.5706,9.7434,0.4991,4767412,4599872,167540,3.3508,13.11,21.0172,29.2443,187.845
server_017,0.415095,28573355,25910285,2663070,53.2614,1.40634,12807094,11069316,1737778,34.7556,32.7758,24.2475,4942220,4693597,248623,4.9725,12.6202,234.618,242.092,300.251
