Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.50097,13496525,13214889,281636,5.6327,8.46262,11874443,11460259,414184,8.2837,5.0584,2.8051,2642878,2523899,118979,2.3796,13.6625,79.2016,123.592,186.871
client_002,1.79847,21196183,20697659,498524,9.9705,2.79874,12375786,12134999,240787,4.8157,4.2915,1.0781,5378414,5073807,304607,6.0921,10.9346,60.9479,68.0219,191.355
client_003,0.884138,13798165,13371722,426443,8.5289,47.7737,12094707,11687364,407343,8.1469,7.2485,5.2786,3889778,3652619,237159,4.7432,12.1552,175.51,195.372,240.887
client_004,0.94252,8340081,7816591,523490,10.4698,64.109,14130599,13602402,528197,10.5639,4.8328,1.7529,2420775,2124400,296375,5.9275,16.2199,30.5596,74.7685,151.149
client_005,1.29317,17016851,16375542,641309,12.8262,14.2183,13157839,12770523,387316,7.7463,6.633,4.8375,5185514,4828804,356710,7.1342,12.0688,116.141,139.917,164.527
client_006,1.38943,12828175,12110519,717656,14.3531,13.6244,9828452,9325789,502663,10.0533,8.976,5.1863,2876029,2521910,354119,7.0824,12.3182,114.167,129.417,189.432
client_007,1.33804,9855444,9001798,853646,17.0729,33.0275,12930691,12365118,565573,11.3115,3.5254,2.4236,2112439,1681965,430474,8.6095,10.1791,52.1196,141.723,177.126
client_008,1.31253,11965044,11235408,729636,14.5927,30.4748,12824013,11954724,869289,17.3858,6.314,2.8841,2921784,2556799,364985,7.2997,9.89178,41.62,91.6485,156.922
server_001,1.48713,17816217,17305784,510433,10.2087,3.90564,10799100,10389094,410006,8.2001,8.2494,4.4744,4291421,4063955,227466,4.5493,14.7926,142.963,153.981,247.061
server_002,1.38262,34162893,33453397,709496,14.1899,0.22286,14895067,14894683,384,0.0077,0.0031,0.0013,6662292,6292804,369488,7.3898,9.86792,41.3802,83.9677,151.136
server_003,1.10218,11612465,10727000,885465,17.7093,40.4682,12377319,11649324,727995,14.5599,14.6383,3.0205,3485344,2993955,491389,9.8278,15.4933,52.5248,62.7199,207.188
server_004,0.986974,15008800,13937090,1071710,21.4342,32.3643,12985097,11018831,1966266,39.3253,15.6254,1.9792,4174767,3614780,559987,11.1997,14.1405,20.6519,41.2251,168.01
server_009,1.07895,16105196,15031690,1073506,21.4701,24.557,12807427,10606713,2200714,44.0143,15.1666,1.2791,4540267,4003730,536537,10.7307,12.83,17.9946,33.1803,156.808
server_010,1.27382,16801273,15610106,1191167,23.8233,16.3457,11976468,10403995,1572473,31.4495,19.1171,1.2365,4891476,4289506,601970,12.0394,12.6503,22.1861,29.8804,153.66
server_011,1.47068,14351277,13117816,1233461,24.6692,16.3865,11230246,10597552,632694,12.6539,16.9692,1.8924,4476656,3866244,610412,12.2082,13.845,38.53,37.735,159.508
server_012,1.81679,16946661,15583701,1362960,27.2592,4.7554,10745315,10109233,636082,12.7216,18.8015,1.302,5296783,4616899,679884,13.5977,12.5698,36.4856,30.4319,151.13
server_013,1.71795,16424620,15003360,1421260,28.4252,5.78114,10732710,10085662,647048,12.941,20.2072,1.5298,5272802,4567685,705117,14.1023,12.5427,38.5316,31.3914,151.081
server_014,1.42111,32476702,30988576,1488126,29.7625,0.4696,14987618,14926146,61472,1.2294,1.308,0.9947,6633967,5742545,891422,17.8284,10.4763,322.547,321.294,396.214
server_015,1.48474,31517816,29979534,1538282,30.7656,0.16058,15179627,15179225,402,0.008,0.003,0.0013,6723940,5827366,896574,17.9315,10.0326,41.403,87.1074,156.547
server_016,1.80988,18805406,16573321,2232085,44.6417,3.21386,11535395,10706906,828489,16.5698,8.0447,0.4921,4708622,3511653,1196969,23.9394,10.0169,20.3931,31.2273,188.119
server_017,0.414179,24761557,22607026,2154531,43.0906,1.40452,12810930,11073129,1737801,34.756,32.8117,24.2945,4860812,3577449,1283363,25.6673,11.8193,234.648,241.702,299.46
server_018,0.423405,26736332,24349519,2386813,47.7363,0.73144,13188742,11384677,1804065,36.0813,33.9349,24.427,5343958,3920163,1423795,28.4759,11.6189,234.955,242.796,309.552
server_019,0.407124,24448624,22258987,2189637,43.7927,1.50142,12751808,10963263,1788545,35.7709,33.7251,25.443,4784445,3493936,1290509,25.8102,12.0985,250.001,259.212,317.107
server_020,0.426715,26741247,24234882,2506365,50.1273,0.72128,13176691,11384099,1792592,35.8518,33.7484,24.2431,5345818,3867078,1478740,29.5748,11.5595,235.977,243.75,311.534
server_021,0.430407,26877984,24363008,2514976,50.2995,0.54596,13274709,11460626,1814083,36.2817,34.162,24.2917,5463358,3971149,1492209,29.8442,11.5896,235.741,243.334,314.126
server_022,0.431885,26781270,24342209,2439061,48.7812,0.54048,13287449,11469363,1818086,36.3617,34.2288,24.2365,5466153,4005216,1460937,29.2187,11.533,236.885,244.364,316.9
server_023,1.5734,20742334,18166833,2575501,51.51,6.5076,12650896,11692055,958841,19.1768,8.8055,0.6651,5283816,3880163,1403653,28.0731,9.90027,22.1383,35.3534,206.132
server_024,1.60036,21764682,19066665,2698017,53.9603,3.80096,12867055,11877253,989802,19.796,9.9502,0.7495,5570830,4113095,1457735,29.1547,9.94533,24.6837,38.2166,247.046
server_025,1.60705,22855672,20244151,2611521,52.2304,3.7812,13236878,12336174,900704,18.0141,8.9795,0.3929,5782468,4339418,1443050,28.861,10.0714,19.1989,27.8614,189.06
server_026,1.59416,22853174,19883262,2969912,59.3982,2.84204,13013009,11949063,1063946,21.2789,12.4517,0.4093,5808989,4188596,1620393,32.4079,10.1825,19.9009,26.3874,208.223
server_027,1.58568,23064113,20077467,2986646,59.7329,2.54898,13053267,12034699,1018568,20.3714,11.6635,0.4727,5887683,4298678,1589005,31.7801,10.3244,19.735,27.4103,189.942
server_028,1.53296,24624004,21532595,3091409,61.8282,1.91014,12656075,11216154,1439921,28.7984,8.4151,0.5859,5947225,4276231,1670994,33.4199,10.1871,16.8479,29.7091,141.144
server_029,1.51154,24532194,21413147,3119047,62.3809,1.89258,12685379,11224255,1461124,29.2225,11.2018,0.6892,5918301,4203363,1714938,34.2988,10.5391,17.8742,29.108,150.941
server_030,1.59101,24805073,21636211,3168862,63.3772,1.85074,12774993,11314676,1460317,29.2063,10.1869,0.1751,6026225,4290129,1736096,34.7219,10.4514,14.7899,21.8651,126.953
server_031,1.49032,25168533,21943131,3225402,64.508,1.97168,12949315,11711952,1237363,24.7473,7.9476,0.7244,6128803,4399651,1729152,34.583,10.2452,18.0102,32.9261,143.989
server_032,1.61083,26564855,23082362,3482493,69.6499,1.70162,13204636,12069067,1135569,22.7114,6.033,0.0634,6438673,4577584,1861089,37.2218,10.0796,13.6649,20.8091,113.455
server_033,1.72637,28611867,25122061,3489806,69.7961,1.3973,12153072,11516947,636125,12.7225,3.7547,0.362,6795717,4562807,2232910,44.6582,10.0456,20.6268,34.6113,153.565
server_034,1.83122,28251786,24735578,3516208,70.3242,1.37558,12158277,11552501,605776,12.1155,1.1305,0.0961,6799198,4565011,2234187,44.6837,10.0278,13.2119,27.8875,99.0545
server_035,1.33276,28803901,25245526,3558375,71.1675,1.3463,12091718,11449210,642508,12.8502,4.6067,3.5,6782922,4443890,2339032,46.7806,10.5977,66.5878,172.851,201.382
server_036,1.74752,28501972,24478383,4023589,80.4718,0.63872,13752984,13749064,3920,0.0784,0.0356,0.031,6289695,3851430,2438265,48.7653,9.91742,58.9316,199.416,205.737
server_037,1.74001,28810326,24625180,4185146,83.7029,1.1177,12405993,11970032,435961,8.7192,3.246,0.4484,6756035,4098709,2657326,53.1465,10.1741,26.0625,41.6974,157.646
