Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.53327,15955562,15674102,281460,5.6292,3.40466,11796554,11382381,414173,8.2835,5.0642,2.8055,3234158,3115483,118675,2.3735,13.2255,82.2739,128.106,195.205
client_002,1.80028,22222152,21724540,497612,9.9522,2.03904,12367735,12126968,240767,4.8153,4.2945,1.0959,5673479,5371973,301506,6.0301,11.1814,60.3531,67.9683,188.151
client_003,1.09976,16865713,16436278,429435,8.5887,2.81888,11368596,10961256,407340,8.1468,7.3195,5.2789,4104539,3861487,243052,4.861,12.7001,178.793,197.496,246.203
client_004,1.44464,14001323,13472651,528672,10.5734,10.0423,12414835,11886801,528034,10.5607,4.8544,1.7877,3161410,2877205,284205,5.6841,16.5027,30.5479,74.7447,148.821
client_005,1.3472,20847338,20212602,634736,12.6947,4.20454,12957458,12570167,387291,7.7458,6.647,4.8508,5766429,5404771,361658,7.2332,12.3241,116.523,139.507,163.863
client_006,1.45869,16314055,15597093,716962,14.3392,2.63924,9528826,9026161,502665,10.0533,8.9714,5.2,3692329,3340714,351615,7.0323,12.2215,114.856,130.091,190.005
client_007,1.53258,16322433,15470675,851758,17.0352,3.38138,12434390,11868870,565520,11.3104,3.5279,2.4292,2991306,2574342,416964,8.3393,10.1818,52.835,144.017,180.182
client_008,1.50979,18178796,17449215,729581,14.5916,5.79778,12209951,11340597,869354,17.3871,6.3939,2.8867,4461192,4091413,369779,7.3956,10.0827,42.6539,93.135,162.058
server_001,1.48336,19868627,19358882,509745,10.1949,1.72358,10787465,10377465,410000,8.2,8.2809,4.5087,4494323,4261225,233098,4.662,15.0368,142.127,152.424,243.273
server_002,1.38261,34162479,33452942,709537,14.1907,0.22332,14895062,14894678,384,0.0077,0.0033,0.0017,6662375,6292819,369556,7.3911,9.8712,41.9323,103.098,157.333
server_003,1.32992,14818425,13926972,891453,17.8291,8.98156,11446244,10718298,727946,14.5589,14.7012,3.115,4039182,3561652,477530,9.5506,16.1452,52.1023,61.3918,195.493
server_004,1.02833,27022104,25949794,1072310,21.4462,5.3187,12804416,10802294,2002122,40.0424,15.706,1.9645,5317869,4774288,543581,10.8716,14.4256,20.4175,40.5853,164.979
server_009,1.08507,28767828,27694634,1073194,21.4639,3.37674,12826064,10581056,2245008,44.9002,15.2967,1.2761,5563360,5034008,529352,10.587,12.6965,17.8548,32.9943,156.326
server_010,1.31139,23748078,22550940,1197138,23.9428,3.54232,11980108,10364400,1615708,32.3142,17.0521,1.2626,5530968,4934362,596606,11.9321,12.6593,20.5618,31.2862,153.394
server_011,1.57667,15787046,14554491,1232555,24.6511,6.43564,10971962,10339282,632680,12.6536,16.9836,1.9008,4861604,4257810,603794,12.0759,13.8206,38.1291,37.4483,156.436
server_012,1.80193,17638669,16272436,1366233,27.3247,4.03588,10748802,10112667,636135,12.7227,18.8616,1.321,5510826,4834350,676476,13.5295,12.4232,36.4214,30.5067,150.491
server_013,1.72739,17345463,15917647,1427816,28.5563,4.23854,10722132,10075095,647037,12.9407,20.4173,1.5514,5507303,4812863,694440,13.8888,12.9244,38.6201,31.5067,152.109
server_014,1.41997,31987637,30486623,1501014,30.0203,0.49418,14988198,14926727,61471,1.2294,1.3105,0.9874,6655247,5761192,894055,17.8811,10.4032,318.102,315.269,391.884
server_015,1.48474,31519781,29981898,1537883,30.7577,0.15982,15179634,15179232,402,0.008,0.003,0.0013,6724081,5827334,896747,17.9349,10.0359,41.4502,87.1074,156.547
server_016,1.82334,18462040,16227237,2234803,44.6961,2.34066,11556141,10727654,828487,16.5697,7.9136,0.4967,4772064,3582392,1189672,23.7934,9.8786,20.3652,31.4487,186.869
server_017,0.414204,24766628,22612566,2154062,43.0812,1.4031,12811077,11073267,1737810,34.7562,32.8143,24.2962,4861077,3576714,1284363,25.6873,11.8007,234.661,241.691,299.447
