Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.53464,15940052,15658282,281770,5.6354,3.40818,11794867,11380690,414177,8.2835,5.0594,2.8052,3232857,3113992,118865,2.3773,13.3984,82.0599,128.12,195.064
client_002,1.8065,22333795,21833059,500736,10.0147,1.9259,12361810,12121015,240795,4.8159,4.2886,1.0942,5675304,5368582,306722,6.1344,11.2684,60.3006,67.9715,188.191
client_003,1.10119,16900706,16470515,430191,8.6038,2.80502,11366782,10959433,407349,8.147,7.2622,5.2716,4104999,3859703,245296,4.9059,12.7395,178.137,198.333,245.744
client_004,1.4381,13930823,13402997,527826,10.5565,10.3449,12423337,11895290,528047,10.5609,4.8508,1.8021,3158496,2875480,283016,5.6603,16.5757,30.66,75.4347,149.389
client_005,1.35095,20911186,20271929,639257,12.7851,4.18178,12955203,12567891,387312,7.7462,6.641,4.8548,5762506,5399338,363168,7.2634,12.3015,116.11,139.386,163.414
client_006,1.46027,16298702,15581721,716981,14.3396,2.64086,9529039,9026386,502653,10.0531,8.9788,5.2017,3686091,3334688,351403,7.0281,12.2317,114.784,130.096,190.106
client_007,1.53217,16304711,15451912,852799,17.056,3.37558,12432873,11867291,565582,11.3116,3.5264,2.4277,2991264,2560457,430807,8.6161,10.1374,53.1533,145.023,181.675
client_008,1.51008,18216171,17485898,730273,14.6055,5.79114,12209371,11340037,869334,17.3867,6.4164,2.8905,4464864,4093695,371169,7.4234,10.1286,42.7027,93.0734,162.279
server_001,1.49196,19990808,19482031,508777,10.1755,1.59418,10779579,10369574,410005,8.2001,8.2535,4.4888,4496994,4258822,238172,4.7634,15.1511,143.529,154.472,247.284
server_002,1.3826,34162386,33452849,709537,14.1907,0.2236,14895068,14894684,384,0.0077,0.0033,0.0018,6662367,6292850,369517,7.3903,9.87133,41.6562,104.156,154.659
server_003,1.34386,14940963,14049130,891833,17.8367,8.66794,11430480,10702525,727955,14.5591,14.6953,3.1092,4030815,3546124,484691,9.6938,16.2193,52.3793,61.6649,197.06
server_004,1.04117,27337734,26259397,1078337,21.5667,4.80308,12777443,10775321,2002122,40.0424,15.7184,1.9516,5310939,4762010,548929,10.9786,14.6144,20.4392,40.5067,165.505
