Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.53428,15939660,15657963,281697,5.6339,3.40876,11794940,11380765,414175,8.2835,5.0577,2.8045,3232941,3114054,118887,2.3777,13.3214,82.1043,128.12,195.048
client_002,1.80644,22360179,21859140,501039,10.0208,1.90942,12361867,12121079,240788,4.8158,4.2997,1.0959,5678921,5373265,305656,6.1131,11.3418,60.3618,67.9347,188.248
client_003,1.10128,16940450,16510846,429604,8.5921,2.74444,11371353,10964012,407341,8.1468,7.2812,5.2577,4107504,3861980,245524,4.9105,12.7679,179.025,198.941,247.881
client_004,1.44427,14042429,13513052,529377,10.5875,9.9843,12409845,11881803,528042,10.5608,4.8908,1.8027,3167197,2881271,285926,5.7185,16.6958,30.8236,75.2781,150.162
client_005,1.34956,20964329,20325201,639128,12.7826,4.11748,12954294,12566989,387305,7.7461,6.6427,4.8556,5770912,5407203,363709,7.2742,12.4054,116.258,139.438,163.496
client_006,1.46083,16305203,15588274,716929,14.3386,2.6417,9530063,9027414,502649,10.053,8.982,5.1888,3686864,3335858,351006,7.0201,12.2759,114.298,129.399,189.435
client_007,1.53519,16310812,15458112,852700,17.054,3.36556,12432630,11867045,565585,11.3117,3.52,2.4107,2990664,2560613,430051,8.601,10.184,52.3979,142.951,179.596
client_008,1.51079,18236780,17506783,729997,14.5999,5.7637,12208940,11339584,869356,17.3871,6.3923,2.8871,4467486,4096389,371097,7.4219,10.1287,42.6819,93.3643,162.499
server_001,1.48831,19964222,19455471,508751,10.175,1.6283,10781149,10371144,410005,8.2001,8.253,4.4909,4496132,4258490,237642,4.7528,15.0471,142.981,153.419,245.217
server_002,1.38261,34162447,33452898,709549,14.191,0.2233,14895062,14894678,384,0.0077,0.0033,0.0017,6662370,6292857,369513,7.3903,9.87135,41.9297,104.092,157.782
server_003,1.3475,15006034,14114274,891760,17.8352,8.5115,11424259,10696322,727937,14.5587,14.7068,3.0952,4040006,3557682,482324,9.6465,16.2367,52.5006,61.6111,197.864
server_004,1.04158,27320168,26243999,1076169,21.5234,4.70356,12776607,10774451,2002156,40.0431,15.7128,1.9584,5320823,4770088,550735,11.0147,14.5964,20.4216,40.4997,164.817
server_009,1.09315,29021909,27945540,1076369,21.5274,3.03444,12809518,10563909,2245609,44.9122,15.2657,1.2727,5572990,5039803,533187,10.6637,12.8756,17.8376,32.9394,155.755
server_010,1.32675,24027702,22827508,1200194,24.0039,3.14916,11959509,10343720,1615789,32.3158,17.03,1.2284,5546496,4945102,601394,12.0279,12.879,20.5127,31.007,153.465
server_011,1.60955,16102438,14864068,1238370,24.7674,5.89298,10945321,10312658,632663,12.6533,17.1167,1.8744,4856656,4244653,612003,12.2401,14.1677,38.0626,37.039,156.107
server_012,1.82101,17949768,16580936,1368832,27.3766,3.69116,10731018,10094905,636113,12.7223,18.8402,1.3149,5523120,4836451,686669,13.7334,12.6227,36.4003,30.4828,150.705
server_013,1.74875,17585177,16153838,1431339,28.6268,3.8895,10706107,10059077,647030,12.9406,20.4475,1.5474,5508661,4805657,703004,14.0601,13.1463,38.5528,31.4209,151.523
server_014,1.42146,32552733,31065008,1487725,29.7545,0.38406,14987253,14925783,61470,1.2294,1.3063,0.9919,6665443,5773936,891507,17.8301,10.462,319.336,318.25,392.773
server_015,1.48473,31517935,29979827,1538108,30.7622,0.16068,15179640,15179238,402,0.008,0.0032,0.0015,6724037,5827499,896538,17.9308,10.0348,41.4502,91.679,159.342
