Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.53494,15934890,15653428,281462,5.6292,3.41108,11795902,11381724,414178,8.2836,5.057,2.8056,3227511,3108055,119456,2.3891,13.3102,81.942,128.073,194.859
client_002,1.80019,22337941,21837712,500229,10.0046,2.01032,12366627,12125827,240800,4.816,4.3151,1.0955,5678507,5374974,303533,6.0707,11.3316,60.0824,67.4355,187.031
client_003,1.10044,16965657,16536109,429548,8.591,2.71282,11363993,10956646,407347,8.1469,7.2822,5.2865,4109115,3861686,247429,4.9486,12.6594,178.2,197.665,244.823
client_004,1.45013,14091316,13561921,529395,10.5879,9.78822,12402435,11874394,528041,10.5608,4.8463,1.7753,3165048,2875410,289638,5.7928,16.6178,30.4922,74.5865,149.184
client_005,1.34925,20998505,20362261,636244,12.7249,4.05318,12951632,12564337,387295,7.7459,6.6463,4.8559,5775119,5408085,367034,7.3407,12.5967,116.634,139.864,164.158
client_006,1.45995,16305910,15589558,716352,14.327,2.63974,9529767,9027113,502654,10.0531,8.9743,5.1919,3687608,3336415,351193,7.0239,12.264,114.547,129.722,189.719
client_007,1.53353,16259595,15406912,852683,17.0537,3.35914,12431792,11866225,565567,11.3113,3.528,2.4312,2976993,2552657,424336,8.4867,10.2185,53.4302,146.396,183.482
client_008,1.51063,18233261,17503417,729844,14.5969,5.75586,12208154,11338792,869362,17.3872,6.4109,2.8859,4468658,4097547,371111,7.4222,10.1055,42.6554,92.8463,161.89
server_001,1.48504,19939616,19431227,508389,10.1678,1.65088,10782603,10372587,410016,8.2003,8.2792,4.492,4494596,4256190,238406,4.7681,15.1001,142.243,151.777,242.93
server_002,1.38261,34162612,33453101,709511,14.1902,0.2234,14895063,14894679,384,0.0077,0.0032,0.0018,6662358,6292840,369518,7.3904,9.87149,41.9714,106.161,156.09
server_003,1.34625,15092985,14199242,893743,17.8749,8.4021,11420586,10692672,727914,14.5583,14.6869,3.1099,4033361,3543964,489397,9.7879,16.3528,52.4036,61.4615,195.954
server_004,1.03553,27242155,26167646,1074509,21.4902,4.89694,12783960,10779591,2004369,40.0874,15.7312,1.9333,5313771,4760285,553486,11.0697,14.6387,20.3854,40.2237,164.901
server_009,1.08602,28981062,27905083,1075979,21.5196,3.16436,12816510,10570896,2245614,44.9123,15.2435,1.2941,5569212,5031470,537742,10.7548,12.8949,17.858,33.1582,155.518
server_010,1.31347,23902175,22705967,1196208,23.9242,3.43784,11972075,10353844,1618231,32.3646,17.0165,1.253,5538021,4937606,600415,12.0083,12.8272,20.5869,31.1968,152.949
server_011,1.59108,16117827,14878149,1239678,24.7936,5.91352,10951125,10318480,632645,12.6529,17.113,1.9381,4854217,4238678,615539,12.3108,14.2357,38.3854,37.5501,155.506
server_012,1.7995,17910597,16543261,1367336,27.3467,3.86262,10740371,10104280,636091,12.7218,18.8418,1.3417,5519536,4831672,687864,13.7573,12.6974,36.4971,30.6615,150.257
server_013,1.73558,17560095,16128409,1431686,28.6337,4.02866,10715688,10068660,647028,12.9406,20.3853,1.5461,5506443,4806334,700109,14.0022,13.0913,38.6339,31.4172,151.172
server_014,1.41904,32551478,31063547,1487931,29.7586,0.3959,14987582,14926112,61470,1.2294,1.306,0.9959,6665331,5773462,891869,17.8374,10.4657,323.089,320.527,394.114
server_015,1.48474,31519131,29981117,1538014,30.7603,0.16024,15179640,15179238,402,0.008,0.0032,0.0015,6723978,5827392,896586,17.9317,10.0361,41.4552,92.55,159.288
server_016,1.82543,18713152,16461967,2251185,45.0237,2.25548,11550753,10722217,828536,16.5707,8.0904,0.4968,4770061,3568021,1202040,24.0408,9.94005,20.3873,31.1208,185.123
server_017,0.414176,24767850,22613567,2154283,43.0857,1.40522,12811234,11073435,1737799,34.756,32.8127,24.2943,4860091,3575907,1284184,25.6837,11.7937,234.608,241.616,299.354
server_018,0.423392,26769079,24382375,2386704,47.7341,0.72768,13188640,11384589,1804051,36.081,33.9367,24.4278,5344883,3922014,1422869,28.4574,11.6458,234.936,242.782,309.538
server_019,0.407093,24478378,22288956,2189422,43.7884,1.4968,12752232,10963705,1788527,35.7705,33.7247,25.4436,4785034,3495522,1289512,25.7902,12.0644,249.982,259.141,317.002
server_020,0.426626,26762525,24256561,2505964,50.1193,0.72038,13176709,11384138,1792571,35.8514,33.7498,24.2446,5345290,3867619,1477671,29.5534,11.5712,236.111,243.858,311.678
server_021,0.430346,26906549,24388795,2517754,50.3551,0.54576,13274940,11460883,1814057,36.2811,34.1622,24.2922,5463405,3972131,1491274,29.8255,11.6122,235.793,243.417,314.239
server_022,0.431903,26814456,24375448,2439008,48.7802,0.53704,13287464,11469379,1818085,36.3617,34.2287,24.2365,5465988,4006288,1459700,29.194,11.5402,236.884,244.333,316.856
server_023,1.63754,21000144,18416336,2583808,51.6762,2.77438,12651879,11693034,958845,19.1769,9.0925,0.6678,5461177,4095998,1365179,27.3036,9.91199,22.2956,35.0659,208.033
server_024,1.61089,21098419,18404325,2694094,53.8819,2.81604,12890150,11900308,989842,19.7968,10.1254,0.75,5564593,4113616,1450977,29.0195,9.79309,24.7058,38.0951,249.684
