Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.53471,15942099,15660471,281628,5.6326,3.40778,11794853,11380674,414179,8.2836,5.0583,2.8043,3232753,3113768,118985,2.3797,13.4437,82.1139,128.35,195.501
client_002,1.8064,22319695,21818801,500894,10.0179,1.92916,12361845,12121051,240794,4.8159,4.2867,1.0942,5673637,5366221,307416,6.1483,11.3002,60.4865,68.1837,188.952
client_003,1.10109,16920660,16490516,430144,8.6029,2.81652,11375645,10968298,407347,8.1469,7.2962,5.2604,4103442,3858951,244491,4.8898,12.6643,178.967,198.378,247.502
client_004,1.44349,13929450,13402398,527052,10.541,10.3082,12423441,11895392,528049,10.561,4.7959,1.7942,3154882,2871671,283211,5.6642,16.4042,30.5332,75.8756,149.475
client_005,1.35122,20901606,20262170,639436,12.7887,4.18992,12955552,12568246,387306,7.7461,6.6412,4.8538,5761749,5397888,363861,7.2772,12.274,116.05,139.309,163.348
client_006,1.46129,16307967,15591165,716802,14.336,2.64336,9530112,9027462,502650,10.053,8.9813,5.1938,3686433,3335777,350656,7.0131,12.284,114.244,129.481,189.378
client_007,1.53316,16295276,15442375,852901,17.058,3.38134,12433572,11867994,565578,11.3116,3.5289,2.4298,2988750,2561385,427365,8.5473,10.1568,52.5711,143.493,179.421
client_008,1.51063,18214069,17484181,729888,14.5978,5.79662,12209349,11340004,869345,17.3869,6.4121,2.8866,4465186,4094246,370940,7.4188,10.0714,42.6589,92.9439,162.093
server_001,1.49224,19986025,19477353,508672,10.1734,1.60342,10780356,10370338,410018,8.2004,8.2488,4.4883,4496186,4257575,238611,4.7722,15.0883,142.508,153.456,245.306
server_002,1.3826,34162115,33452607,709508,14.1902,0.22368,14895063,14894679,384,0.0077,0.0032,0.0016,6662361,6292851,369510,7.3902,9.86995,41.6562,99.8861,154.171
server_003,1.34831,14878946,13989555,889391,17.7878,8.71644,11432948,10705011,727937,14.5587,14.6914,3.071,4020855,3535833,485022,9.7004,15.9907,52.1885,61.3126,197.777
server_004,1.04054,27268625,26192564,1076061,21.5212,4.86056,12780811,10776626,2004185,40.0837,15.6828,1.9421,5306768,4756436,550332,11.0066,14.4339,20.4352,40.4965,165.843
server_009,1.09395,29071939,27995014,1076925,21.5385,2.96364,12805470,10559868,2245602,44.912,15.2332,1.2764,5568909,5031841,537068,10.7414,12.8191,17.864,33.1074,156.964
server_010,1.32896,24066810,22864729,1202081,24.0416,3.11318,11956843,10341123,1615720,32.3144,17.0215,1.2173,5542699,4941644,601055,12.0211,12.9158,20.5131,30.9537,154.03
server_011,1.58755,15902540,14665699,1236841,24.7368,6.21938,10958126,10325430,632696,12.6539,17.0874,1.9561,4843090,4224411,618679,12.3736,14.0498,38.6132,37.9305,157.136
