Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.53458,15925883,15644441,281442,5.6288,3.40514,11796583,11382405,414178,8.2836,5.0554,2.8066,3228904,3109959,118945,2.3789,13.3107,81.8916,127.972,194.547
client_002,1.80093,22268337,21769235,499102,9.982,2.01934,12365859,12125081,240778,4.8156,4.2884,1.0969,5675532,5372976,302556,6.0511,11.2687,61.3807,69.29,192.897
client_003,1.09852,16907259,16477321,429938,8.5988,2.77496,11367297,10959958,407339,8.1468,7.2936,5.298,4107086,3862419,244667,4.8933,12.7499,179.074,198.59,245.938
client_004,1.4431,14046786,13517828,528958,10.5792,9.98442,12409946,11881896,528050,10.561,4.9209,1.7918,3164928,2879684,285244,5.7049,16.6148,30.7626,74.3955,149.541
client_005,1.34809,20878540,20243373,635167,12.7033,4.14346,12955299,12568015,387284,7.7457,6.6448,4.8518,5768637,5404674,363963,7.2793,12.3888,116.276,139.285,163.466
client_006,1.45925,16303432,15586376,717056,14.3411,2.64474,9530326,9027669,502657,10.0531,8.9726,5.1917,3684204,3333321,350883,7.0177,12.2176,114.437,129.627,189.524
client_007,1.53389,16234863,15382194,852669,17.0534,3.37054,12432103,11866536,565567,11.3113,3.5329,2.4209,2973988,2547312,426676,8.5335,10.1388,52.9713,144.051,181.097
client_008,1.51002,18213099,17483462,729637,14.5927,5.7809,12207786,11338439,869347,17.3869,6.3973,2.8918,4467064,4097083,369981,7.3996,10.1002,42.8067,93.5395,162.75
server_001,1.48459,19929462,19421761,507701,10.154,1.66008,10783314,10373297,410017,8.2003,8.2808,4.5144,4495322,4257823,237499,4.75,15.2266,142.234,152.561,243.212
server_002,1.38261,34161098,33451570,709528,14.1906,0.22358,14895079,14894695,384,0.0077,0.0032,0.0017,6662364,6292786,369578,7.3916,9.87046,41.9688,104.869,156.31
server_003,1.34348,14965587,14074432,891155,17.8231,8.64108,11430045,10702119,727926,14.5585,14.6298,3.1042,4037093,3555314,481779,9.6356,16.2444,52.3417,61.6983,196.636
