Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.5343,15940111,15658617,281494,5.6299,3.40978,11795048,11380871,414177,8.2835,5.0567,2.8029,3232928,3114123,118805,2.3761,13.3062,82.0688,127.939,194.794
client_002,1.80697,22321622,21820194,501428,10.0286,1.92256,12360475,12119693,240782,4.8156,4.2993,1.0941,5671264,5364179,307085,6.1417,11.3164,60.5469,68.0474,188.995
client_003,1.10027,16949609,16518176,431433,8.6287,2.80508,11367581,10960219,407362,8.1472,7.2619,5.2873,4104104,3859130,244974,4.8995,12.7127,178.141,198.334,245.011
client_004,1.43871,13924417,13396043,528374,10.5675,10.366,12423780,11895718,528062,10.5612,4.8762,1.7966,3158731,2875363,283368,5.6674,16.6315,30.4117,74.7211,148.682
client_005,1.35103,20907442,20268471,638971,12.7794,4.1781,12954510,12567198,387312,7.7462,6.6431,4.8563,5763890,5400089,363801,7.276,12.3796,116.259,139.672,163.805
client_006,1.46041,16297503,15580657,716846,14.3369,2.64176,9529094,9026441,502653,10.0531,8.9776,5.2015,3686338,3335015,351323,7.0265,12.2309,114.704,130.014,189.945
client_007,1.532,16298708,15445921,852787,17.0557,3.38648,12432555,11866982,565573,11.3115,3.5272,2.4319,2991140,2560362,430778,8.6156,10.1523,52.929,144.357,180.431
client_008,1.51049,18212492,17481949,730543,14.6109,5.79394,12208819,11339472,869347,17.3869,6.415,2.889,4464624,4093347,371277,7.4255,10.1297,42.6855,93.032,162.231
server_001,1.49245,19995099,19485675,509424,10.1885,1.58764,10778402,10368397,410005,8.2001,8.2672,4.483,4496224,4257318,238906,4.7781,15.2144,143.123,153.809,246.804
server_002,1.38261,34162180,33452668,709512,14.1902,0.2236,14895071,14894687,384,0.0077,0.0033,0.0016,6662364,6292871,369493,7.3899,9.86898,41.263,91.9639,153.923
server_003,1.34752,14940049,14048222,891827,17.8365,8.6743,11431611,10703650,727961,14.5592,14.7247,3.0632,4029638,3545196,484442,9.6888,16.0905,52.2147,61.1938,198.162
server_004,1.04114,27346748,26268514,1078234,21.5647,4.80796,12777957,10775851,2002106,40.0421,15.6997,1.9531,5311233,4763031,548202,10.964,14.6052,20.4256,40.4882,165.026
server_009,1.09414,29145864,28067305,1078559,21.5712,2.90846,12803073,10558090,2244983,44.8997,15.269,1.2793,5577153,5041353,535800,10.716,12.9036,17.8726,33.0829,156.67
server_010,1.33082,24115044,22913243,1201801,24.036,3.06382,11953759,10338059,1615700,32.314,17.0207,1.2144,5545368,4943737,601631,12.0326,12.9044,20.5216,30.9342,154.118
server_011,1.59162,16036982,14796009,1240973,24.8195,6.1478,10953850,10321166,632684,12.6537,17.1111,1.9422,4853361,4236647,616714,12.3343,14.1767,38.5568,37.7951,157.266
server_012,1.83031,18108980,16737264,1371716,27.4343,3.50492,10720499,10084396,636103,12.7221,18.8183,1.3201,5528111,4839154,688957,13.7791,12.6424,36.5111,30.5888,151.431
server_013,1.75158,17655595,16219656,1435939,28.7188,3.78468,10701793,10054762,647031,12.9406,20.6046,1.5626,5505997,4798932,707065,14.1413,13.154,38.7792,31.5152,152.55
server_014,1.42116,32552483,31064485,1487998,29.76,0.38432,14987262,14925793,61469,1.2294,1.3068,0.9955,6665282,5773655,891627,17.8325,10.4649,322.488,321.422,395.674
server_015,1.48474,31517349,29979315,1538034,30.7607,0.1609,15179639,15179237,402,0.008,0.003,0.0013,6724028,5827479,896549,17.931,10.0333,41.4502,86.2185,156.547
server_016,1.83288,19175986,16932107,2243879,44.8776,1.96594,11537467,10709011,828456,16.5691,8.1089,0.4932,4781171,3560683,1220488,24.4098,10.144,20.457,31.1339,187.714
server_017,0.414188,24778120,22623780,2154340,43.0868,1.39906,12811118,11073323,1737795,34.7559,32.8126,24.2952,4861329,3577237,1284092,25.6818,11.7925,234.585,241.57,299.281
server_018,0.423439,26767694,24381252,2386442,47.7288,0.7244,13188731,11384680,1804051,36.081,33.9355,24.427,5344738,3922039,1422699,28.454,11.6331,234.918,242.777,309.531
server_019,0.407117,24469627,22280028,2189599,43.792,1.49656,12751843,10963308,1788535,35.7707,33.725,25.4439,4783595,3493875,1289720,25.7944,12.0966,250.03,259.215,317.099
server_020,0.426664,26770677,24264488,2506189,50.1238,0.71496,13176305,11383725,1792580,35.8516,33.7497,24.2445,5344979,3867256,1477723,29.5545,11.584,236.134,243.906,311.745
server_021,0.430392,26906901,24389307,2517594,50.3519,0.54122,13274617,11460560,1814057,36.2811,34.1624,24.2925,5463258,3971912,1491346,29.8269,11.5979,235.782,243.392,314.201
server_022,0.431847,26810736,24371624,2439112,48.7822,0.53284,13287304,11469204,1818100,36.362,34.2294,24.237,5465910,4006392,1459518,29.1904,11.552,236.979,244.468,317.045
server_023,1.64473,21348333,18762649,2585684,51.7137,2.42384,12635984,11677145,958839,19.1768,9.046,0.666,5444127,4047632,1396495,27.9299,10.0859,22.2103,34.9686,206.377
server_024,1.61478,21788618,19095574,2693044,53.8609,2.42306,12876556,11886753,989803,19.7961,10.0653,0.7503,5582346,4116326,1466020,29.3204,9.99407,24.6421,37.9342,245.541
server_025,1.60814,24747359,22106570,2640789,52.8158,2.13114,13235834,12335119,900715,18.0143,9.145,0.3909,6228667,4797627,1431040,28.6208,10.2836,19.0967,27.6539,188.779
server_026,1.59676,23075243,20077939,2997304,59.9461,2.39628,12999432,11935525,1063907,21.2781,12.8738,0.3922,5883779,4293559,1590220,31.8044,10.4206,19.8856,25.9347,209.813
server_027,1.5903,23209545,20196534,3013011,60.2602,2.46106,13053405,12034792,1018613,20.3723,11.3439,0.4616,5917854,4323424,1594430,31.8886,10.3874,19.7223,27.7637,198.221
server_028,1.53283,24572010,21485829,3086181,61.7236,1.88964,12657868,11217987,1439881,28.7976,8.4353,0.5898,5965175,4277096,1688079,33.7616,10.2185,16.8481,29.7327,140.92
server_029,1.51215,24702730,21580985,3121745,62.4349,1.85294,12683718,11222599,1461119,29.2224,11.3379,0.6819,5946355,4227035,1719320,34.3864,10.6122,17.9003,28.9043,151.099
server_030,1.59126,24818401,21651771,3166630,63.3326,1.82486,12774714,11314401,1460313,29.2063,10.1902,0.1726,6036450,4285969,1750481,35.0096,10.4242,14.7922,21.8283,126.907
server_031,1.49136,25170986,21948612,3222374,64.4475,1.93596,12946651,11709288,1237363,24.7473,7.9283,0.7246,6164041,4410332,1753709,35.0742,10.1528,18.0098,32.9495,143.867
server_032,1.61113,26307455,22828590,3478865,69.5773,1.71674,13204569,12069000,1135569,22.7114,6.0334,0.0634,6437871,4580467,1857404,37.1481,10.0452,13.6652,20.8092,113.466
server_033,1.72626,28586362,25098254,3488108,69.7622,1.39714,12153174,11517050,636124,12.7225,3.7585,0.3617,6795502,4562304,2233198,44.664,10.0423,20.6327,34.6203,153.923
server_034,1.831,28204081,24706668,3497413,69.9483,1.37296,12155414,11549642,605772,12.1154,1.1305,0.0961,6797073,4572173,2224900,44.498,10.0899,13.209,27.8878,99.0379
server_035,1.33397,28929117,25387587,3541530,70.8306,1.34328,12088454,11445948,642506,12.8501,4.6049,3.4995,6780305,4443515,2336790,46.7358,10.6532,66.5385,172.788,201.25
server_036,1.74466,30108265,26030152,4078113,81.5623,0.46618,13755237,13751317,3920,0.0784,0.0364,0.0313,6285322,3848482,2436840,48.7368,10.1889,56.1804,172.426,177.582
server_037,1.73999,28831952,24645550,4186402,83.728,1.11388,12406033,11970071,435962,8.7192,3.2465,0.4485,6756158,4100087,2656071,53.1214,10.1828,26.0632,41.7011,157.648
server_038,1.7438,28908016,24728856,4179160,83.5832,1.09638,12408521,11971275,437246,8.7449,3.3638,0.436,6756063,4085261,2670802,53.416,10.1542,25.928,39.5054,151.299
server_039,1.66686,29469873,25034216,4435657,88.7131,0.6967,13605301,13554248,51053,1.0211,0.0002,0.0002,6542402,3889973,2652429,53.0486,10.0781,11.0034,185.125,165.125
spec_gcc_001,1.48036,20788603,20559428,229175,4.5835,5.8578,11732524,10960589,771935,15.4387,3.4869,1.0627,4776540,4638880,137660,2.7532,15.8859,24.4009,75.3243,181.646
spec_gcc_002,0.227977,18882492,18288208,594284,11.8857,0.61578,13409022,8395544,5013478,100.2696,104.3058,59.1476,3486360,3110622,375738,7.5148,38.8827,336.224,320.642,530.178
spec_gcc_003,0.260828,17971776,17233525,738251,14.765,0.63766,12264342,6713542,5550800,111.016,117.7395,72.9079,3337502,2857511,479991,9.5998,48.8644,452.766,427.593,658.22
spec_gobmk_001,1.42468,14130413,13768277,362136,7.2427,6.33978,9894699,9658062,236637,4.7327,1.7699,0.2886,3459996,3292120,167876,3.3575,8.28991,26.8268,45.1807,154.52
spec_gobmk_002,1.69067,16431248,15975401,455847,9.1169,6.96164,9988146,9915010,73136,1.4627,0.4819,0.3699,4744541,4533604,210937,4.2187,8.09883,55.7854,147.043,165.661
spec_perlbench_001,1.65623,20437700,20122702,314998,6.3,2.53676,12045349,11801309,244040,4.8808,2.3102,1.6922,4665440,4499273,166167,3.3233,9.82132,67.8592,131.147,151.809
spec_x264_001,3.16927,7927900,7666150,261750,5.235,1.45006,6540689,6472488,68201,1.364,0.7255,0.5563,1227693,1164333,63360,1.2672,9.46474,93.0699,156.665,178.28
