Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.53438,15940484,15658855,281629,5.6326,3.40856,11794972,11380796,414176,8.2835,5.0579,2.8048,3232966,3114085,118881,2.3776,13.3455,82.1617,128.239,195.251
client_002,1.80625,22368252,21866615,501637,10.0327,1.90588,12361480,12120689,240791,4.8158,4.2964,1.095,5679203,5373336,305867,6.1173,11.3564,60.8069,68.5004,190.492
client_003,1.1019,16942564,16512052,430512,8.6102,2.74422,11366759,10959404,407355,8.1471,7.2976,5.2746,4107705,3861714,245991,4.9198,12.7137,179.1,198.449,246.977
client_004,1.44455,14046891,13519040,527851,10.557,9.98522,12410647,11882582,528065,10.5613,4.8697,1.7991,3166962,2881808,285154,5.7031,16.5684,30.6768,75.0672,149.207
client_005,1.35042,20978972,20339380,639592,12.7918,4.10874,12953904,12566598,387306,7.7461,6.6474,4.8561,5772233,5408499,363734,7.2747,12.3685,116.32,139.452,163.614
client_006,1.46105,16306365,15589415,716950,14.339,2.6419,9530079,9027429,502650,10.053,8.9808,5.1879,3686799,3335834,350965,7.0193,12.2854,114.282,129.433,189.503
client_007,1.53335,16309917,15457244,852673,17.0535,3.36448,12433421,11867856,565565,11.3113,3.5276,2.4226,2991295,2560551,430744,8.6149,10.1623,52.9254,144.301,181.07
client_008,1.50982,18240461,17510259,730202,14.604,5.7651,12208369,11339010,869359,17.3872,6.3942,2.8904,4468055,4096625,371430,7.4286,10.1328,42.7777,93.6292,162.944
server_001,1.49193,19986763,19477080,509683,10.1937,1.59634,10781237,10371221,410016,8.2003,8.2626,4.4887,4496738,4258050,238688,4.7738,15.1895,142.515,153.14,245.123
server_002,1.38261,34161929,33452444,709485,14.1897,0.2236,14895051,14894667,384,0.0077,0.0032,0.0016,6662389,6292902,369487,7.3897,9.86922,41.6562,100.987,156.293
