Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.53388,15950879,15669488,281391,5.6278,3.40732,11795984,11381805,414179,8.2836,5.0567,2.8063,3236153,3117436,118717,2.3743,13.1796,81.9684,127.942,194.564
client_002,1.80106,22291191,21792498,498693,9.9739,1.99676,12365518,12124747,240771,4.8154,4.2751,1.0959,5677201,5373818,303383,6.0677,11.2806,61.2197,69.3374,192.653
client_003,1.10099,16928642,16497972,430670,8.6134,2.75938,11367660,10960326,407334,8.1467,7.2538,5.2792,4104746,3858622,246124,4.9225,12.7473,179.004,199.425,246.61
client_004,1.43119,13895891,13366437,529454,10.5891,10.4258,12429634,11901591,528043,10.5609,4.8926,1.7869,3159314,2881848,277466,5.5493,16.6224,30.5633,74.6716,149.853
client_005,1.3507,20912107,20276776,635331,12.7066,4.14434,12955074,12567778,387296,7.7459,6.6334,4.8475,5771926,5406614,365312,7.3062,12.4348,116.423,139.928,164.211
client_006,1.45829,16297453,15580316,717137,14.3427,2.6455,9529899,9027248,502651,10.053,8.9793,5.2036,3685939,3333992,351947,7.0389,12.3222,114.669,129.669,189.307
client_007,1.53164,16261470,15408989,852481,17.0496,3.38246,12433413,11867848,565565,11.3113,3.5309,2.4373,2982059,2555886,426173,8.5235,10.1627,53.2944,145.415,181.752
client_008,1.50994,18201564,17471727,729837,14.5967,5.787,12207409,11338064,869345,17.3869,6.4007,2.8939,4462910,4092520,370390,7.4078,10.1025,42.8527,93.635,162.929
server_001,1.48587,19955988,19447319,508669,10.1734,1.64412,10781910,10371887,410023,8.2005,8.2674,4.5044,4495197,4257959,237238,4.7448,15.323,142.734,152.959,244.089
server_002,1.38261,34162670,33453218,709452,14.189,0.2232,14895090,14894706,384,0.0077,0.0029,0.0014,6662289,6292809,369480,7.3896,9.86709,41.9714,96.5804,152.375
server_003,1.30911,14802465,13911172,891293,17.8259,9.31766,11464250,10736308,727942,14.5588,14.7098,3.0929,4047868,3560095,487773,9.7555,16.2795,52.3405,61.4789,197.412
server_004,1.02678,27119403,26045903,1073500,21.47,5.22394,12804002,10799867,2004135,40.0827,15.6465,1.9896,5322833,4774871,547962,10.9592,14.6526,20.3932,40.8928,164.734
server_009,1.08748,28913092,27837352,1075740,21.5148,3.23034,12820796,10575769,2245027,44.9005,15.3048,1.2619,5569855,5030263,539592,10.7918,12.8569,17.8474,32.8889,156.855
server_010,1.31086,23914213,22716571,1197642,23.9528,3.39352,11971835,10353658,1618177,32.3635,17.0654,1.3095,5541815,4937008,604807,12.0961,12.9126,20.6068,31.6598,152.899
server_011,1.5745,15924627,14692505,1232122,24.6424,6.35756,10970469,10337815,632654,12.6531,17.0219,1.9554,4858475,4243886,614589,12.2918,13.9692,38.4521,37.9024,156.341
server_012,1.80831,17838739,16471088,1367651,27.353,3.84432,10740838,10104754,636084,12.7217,18.8868,1.3261,5512382,4820618,691764,13.8353,12.6844,36.4223,30.5473,150.821
server_013,1.73594,17468756,16041631,1427125,28.5425,4.07554,10717487,10070446,647041,12.9408,20.3592,1.5489,5499257,4799484,699773,13.9955,12.9545,38.6102,31.478,151.476
server_014,1.41932,32547925,31059464,1488461,29.7692,0.39478,14987579,14926110,61469,1.2294,1.3076,0.9976,6665620,5774263,891357,17.8271,10.4762,323.495,321.012,394.557
server_015,1.48474,31518706,29980872,1537834,30.7567,0.16008,15179635,15179233,402,0.008,0.003,0.0013,6724049,5827433,896616,17.9323,10.0351,41.4502,87.1074,156.547
server_016,1.82827,18678998,16430956,2248042,44.9608,2.25014,11547047,10718585,828462,16.5692,8.0985,0.503,4776965,3577254,1199711,23.9942,9.96874,20.37,31.1646,183.928
server_017,0.414171,24768865,22614674,2154191,43.0838,1.40212,12811012,11073208,1737804,34.7561,32.8143,24.2966,4861200,3577088,1284112,25.6822,11.7965,234.702,241.744,299.514
server_018,0.423407,26767382,24380711,2386671,47.7334,0.72626,13189059,11385001,1804058,36.0812,33.936,24.428,5344190,3921088,1423102,28.462,11.654,234.891,242.731,309.459
server_019,0.407089,24472391,22283210,2189181,43.7836,1.49654,12752208,10963688,1788520,35.7704,33.7252,25.4447,4784981,3495000,1289981,25.7996,12.0459,249.916,259.056,316.882
server_020,0.426681,26762596,24258408,2504188,50.0838,0.7181,13176780,11384193,1792587,35.8517,33.747,24.2449,5345899,3868700,1477199,29.544,11.5529,236.015,243.763,311.515
server_021,0.430345,26891218,24377140,2514078,50.2816,0.54508,13274983,11460908,1814075,36.2815,34.1647,24.2945,5463237,3972483,1490754,29.8151,11.6074,235.743,243.343,314.129
server_022,0.431848,26809998,24371176,2438822,48.7764,0.53726,13287748,11469663,1818085,36.3617,34.2288,24.237,5466461,4006839,1459622,29.1924,11.5258,236.929,244.399,316.944
server_023,1.63891,20925180,18332839,2592341,51.8468,2.77316,12646666,11687830,958836,19.1767,9.1669,0.6653,5465479,4093511,1371968,27.4394,9.93765,22.3634,34.9643,209.206
server_024,1.60785,21206796,18505152,2701644,54.0329,2.80036,12888614,11898846,989768,19.7954,10.1959,0.7476,5582833,4148839,1433994,28.6799,9.83377,24.75,37.9163,249.552
server_025,1.5959,23844426,21215620,2628806,52.5761,2.6794,13251959,12351230,900729,18.0146,9.3443,0.3941,6211237,4838706,1372531,27.4506,10.031,19.3369,27.6782,191.674
server_026,1.57989,22010458,19054701,2955757,59.1151,3.10212,13023979,11960012,1063967,21.2793,12.521,0.4149,5855781,4323225,1532556,30.6511,10.0172,19.9392,26.4603,208.717
server_027,1.58088,22034867,19064600,2970267,59.4053,3.17114,13075465,12056806,1018659,20.3732,11.251,0.465,5888231,4345076,1543155,30.8631,10.0509,19.7306,27.9657,199.903
server_028,1.52486,23756840,20683274,3073566,61.4713,2.24056,12664274,11224308,1439966,28.7993,8.4407,0.5897,5915672,4269876,1645796,32.9159,10.0115,16.8393,29.7453,141.187
server_029,1.50794,23955222,20828462,3126760,62.5352,2.2094,12686950,11225684,1461266,29.2253,11.7745,0.6856,5920109,4232515,1687594,33.7519,10.4267,17.9575,28.6883,152.257
server_030,1.5851,24025832,20869221,3156611,63.1322,2.2448,12788792,11328479,1460313,29.2063,10.2843,0.1758,6016797,4298970,1717827,34.3565,10.2042,14.7965,21.8541,127.316
