Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.53391,15922397,15641046,281351,5.627,3.4233,11796362,11382187,414175,8.2835,5.0542,2.8046,3232884,3114971,117913,2.3583,13.3002,81.9041,127.906,194.519
client_002,1.80007,22200240,21703001,497239,9.9448,2.01456,12365736,12124941,240795,4.8159,4.2626,1.0832,5667161,5365408,301753,6.0351,11.145,61.1779,68.8114,192.265
client_003,1.09968,16868111,16438047,430064,8.6013,2.83662,11376133,10968799,407334,8.1467,7.3143,5.2654,4106269,3862665,243604,4.8721,12.826,179.102,198.122,247.529
client_004,1.40572,13749647,13219524,530123,10.6025,11.1445,12468231,11940174,528057,10.5611,4.8593,1.8012,3164127,2893690,270437,5.4087,16.6247,30.701,75.6878,150.383
client_005,1.34851,20832548,20197407,635141,12.7028,4.24152,12957980,12570684,387296,7.7459,6.6388,4.8467,5772667,5409167,363500,7.27,12.4047,116.365,139.945,164.395
client_006,1.45849,16290659,15573825,716834,14.3367,2.65142,9529372,9026722,502650,10.053,8.9763,5.203,3687353,3337568,349785,6.9957,12.2382,114.537,129.44,188.871
client_007,1.53022,16204293,15350096,854197,17.0839,3.4839,12443019,11877470,565549,11.311,3.5219,2.4127,2979841,2589567,390274,7.8055,10.2503,52.7784,144.185,181.346
client_008,1.50848,18108261,17377901,730360,14.6072,5.87286,12211269,11341920,869349,17.387,6.4142,2.8908,4460005,4091041,368964,7.3793,10.0965,42.6824,93.0915,162.239
server_001,1.48754,19962171,19454113,508058,10.1612,1.64074,10781293,10371259,410034,8.2007,8.259,4.4847,4495919,4258008,237911,4.7582,15.0769,142.501,152.697,244.414
server_002,1.38261,34162403,33452868,709535,14.1907,0.22338,14895072,14894688,384,0.0077,0.0032,0.0018,6662371,6292832,369539,7.3908,9.87076,41.9635,105.435,156.534
server_003,1.26121,14562262,13672714,889548,17.791,10.3587,11511264,10783334,727930,14.5586,14.7091,3.1196,4061249,3579228,482021,9.6404,16.6453,52.507,61.7606,197.044
server_004,1.00862,26823884,25755568,1068316,21.3663,6.02064,12834555,10832406,2002149,40.043,15.664,1.9491,5328860,4778645,550215,11.0043,14.6384,20.3708,40.424,164.486
server_009,1.08656,28914146,27837985,1076161,21.5232,3.31112,12821329,10575704,2245625,44.9125,15.3156,1.2609,5573126,5036691,536435,10.7287,12.8434,17.8352,32.7896,155.928
server_010,1.31829,23947056,22746754,1200302,24.006,3.38812,11971226,10355491,1615735,32.3147,17.0243,1.2207,5544715,4937446,607269,12.1454,12.8204,20.5101,30.953,153.61
server_011,1.53592,15582725,14352900,1229825,24.5965,7.11758,11007811,10375141,632670,12.6534,17.0634,1.9215,4859394,4244183,615211,12.3042,13.977,38.3542,37.5588,156.421
server_012,1.80177,17899094,16528218,1370876,27.4175,3.87378,10738426,10102317,636109,12.7222,18.8604,1.3425,5521543,4827903,693640,13.8728,12.6623,36.6323,30.7844,151.994
server_013,1.72761,17494398,16062179,1432219,28.6444,4.11222,10720095,10073063,647032,12.9406,20.5918,1.5538,5511198,4802034,709164,14.1833,13.0957,38.7967,31.42,152.067
server_014,1.4205,32551115,31063335,1487780,29.7556,0.39278,14987572,14926100,61472,1.2294,1.3096,0.9898,6665261,5773722,891539,17.8308,10.4862,317.999,315.977,391.613
server_015,1.48474,31518080,29980068,1538012,30.7602,0.1606,15179642,15179240,402,0.008,0.003,0.0013,6724030,5827509,896521,17.9304,10.0335,41.4502,87.1074,156.547
server_016,1.82712,18682429,16436712,2245717,44.9143,2.23222,11547879,10719423,828456,16.5691,8.0926,0.4947,4783734,3577971,1205763,24.1153,9.98314,20.4073,31.164,186.873
server_017,0.414145,24777317,22624765,2152552,43.051,1.40532,12811130,11073334,1737796,34.7559,32.8139,24.2973,4861347,3577436,1283911,25.6782,11.8084,234.695,241.721,299.47
server_018,0.423409,26763084,24378573,2384511,47.6902,0.73118,13189196,11385148,1804048,36.081,33.9379,24.4305,5344455,3921712,1422743,28.4549,11.6374,234.938,242.683,309.377
server_019,0.407068,24462906,22274897,2188009,43.7602,1.50274,12751982,10963440,1788542,35.7708,33.7248,25.4469,4783527,3493896,1289631,25.7926,12.0952,250.066,259.204,317.045
server_020,0.426645,26761658,24258050,2503608,50.0722,0.72246,13176626,11384029,1792597,35.8519,33.7521,24.2457,5344860,3867034,1477826,29.5565,11.5726,236.032,243.748,311.532
server_021,0.430318,26900064,24384420,2515644,50.3129,0.54824,13274831,11460789,1814042,36.2808,34.1678,24.2962,5462988,3971549,1491439,29.8288,11.62,235.779,243.308,314.086
server_022,0.431851,26802660,24365725,2436935,48.7387,0.53972,13287714,11469613,1818101,36.362,34.2274,24.2382,5465802,4006265,1459537,29.1907,11.5635,236.934,244.375,316.88
server_023,1.63975,20985082,18403052,2582030,51.6406,2.74716,12648702,11689860,958842,19.1768,9.1087,0.6629,5472779,4106182,1366597,27.3319,9.92858,22.3119,35.0208,209.403
server_024,1.61292,21283014,18583730,2699284,53.9857,2.7389,12889358,11899527,989831,19.7966,10.0359,0.7418,5575750,4130699,1445051,28.901,9.80185,24.5133,37.8013,246.14
server_025,1.59279,24242876,21607236,2635640,52.7128,2.63548,13254850,12354125,900725,18.0145,9.3748,0.3959,6227466,4844261,1383205,27.6641,10.0536,19.39,27.6872,192.032
server_026,1.58312,22117534,19151908,2965626,59.3125,3.0288,13024793,11960762,1064031,21.2806,12.5461,0.4076,5855701,4302062,1553639,31.0728,10.1853,19.8648,26.3416,208.783
server_027,1.58045,22175525,19194112,2981413,59.6283,3.09824,13082876,12064137,1018739,20.3748,11.2343,0.4621,5892844,4312996,1579848,31.597,10.1269,19.6997,27.8915,199.226
server_028,1.52779,23711485,20642679,3068806,61.3761,2.2279,12663872,11223957,1439915,28.7983,8.4142,0.5885,5915637,4256992,1658645,33.1729,10.0428,16.8255,29.7467,141.07
server_029,1.50847,24005297,20863758,3141539,62.8308,2.1995,12684948,11223777,1461171,29.2234,11.7863,0.6844,5937369,4253832,1683537,33.6707,10.5382,17.9514,28.6598,152.294
server_030,1.58647,24005843,20818116,3187727,63.7545,2.20992,12795362,11335046,1460316,29.2063,10.329,0.1755,6004307,4275038,1729269,34.5854,10.2531,14.8209,21.83,127.019
server_031,1.4902,24499605,21299286,3200319,64.0064,2.2888,12951223,11713500,1237723,24.7545,7.8081,0.7328,6132754,4403070,1729684,34.5937,10.0131,17.93,33.26,143.433
server_032,1.61048,25749288,22269030,3480258,69.6052,2.05148,13212267,12076698,1135569,22.7114,5.8619,0.0635,6436167,4611418,1824749,36.495,9.9414,13.6303,20.8365,113.55
server_033,1.72607,28405256,24909321,3495935,69.9187,1.43268,12155922,11519860,636062,12.7212,3.7593,0.3622,6796189,4565648,2230541,44.6108,10.0258,20.6376,34.6009,153.572
server_034,1.83091,28012840,24518532,3494308,69.8862,1.40166,12154357,11548591,605766,12.1153,1.2119,0.094,6794558,4574152,2220406,44.4081,10.0861,13.2631,27.0133,98.2642
server_035,1.33275,28627006,25079403,3547603,70.9521,1.37114,12091636,11449129,642507,12.8501,4.6287,3.5011,6783090,4447737,2335353,46.7071,10.5692,66.5896,172.117,201.311
server_036,1.74449,30085778,25995110,4090668,81.8134,0.46638,13755272,13751352,3920,0.0784,0.037,0.0315,6284975,3838732,2446243,48.9249,10.1944,55.4179,161.863,166.857
server_037,1.74,28829242,24642900,4186342,83.7268,1.11512,12406049,11970087,435962,8.7192,3.2465,0.4485,6756080,4100246,2655834,53.1167,10.1825,26.0634,41.7012,157.649
server_038,1.74377,28907681,24728519,4179162,83.5832,1.09668,12408521,11971275,437246,8.7449,3.3638,0.436,6756071,4085263,2670808,53.4162,10.1541,25.9282,39.5041,151.289
server_039,1.66686,29469637,25033957,4435680,88.7136,0.69672,13605301,13554248,51053,1.0211,0.0006,0.0006,6542395,3889935,2652460,53.0492,10.0789,11.0034,167.258,147.258
spec_gcc_001,1.47603,20243355,20010109,233246,4.6649,6.25752,11742363,10970435,771928,15.4386,3.6066,1.0537,4738187,4608988,129199,2.584,15.1475,24.4837,73.267,182.451
spec_gcc_002,0.227953,18882108,18288272,593836,11.8767,0.61872,13408841,8395352,5013489,100.2698,104.3143,59.1609,3498066,3123805,374261,7.4852,39.2267,336.3,320.707,530.214
