Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.53044,15982963,15666079,316884,6.3377,3.40532,11793024,11378856,414168,8.2834,5.1384,2.8644,3235462,3119984,115478,2.3096,14.6121,82.9787,129.085,195.746
client_002,1.79107,22355553,21697034,658519,13.1704,2.1919,12371326,12130548,240778,4.8156,4.8339,1.1081,5651572,5331945,319627,6.3925,12.0863,60.7158,62.9718,187.877
client_003,1.10784,17101086,16564486,536600,10.732,2.741,11361234,10953883,407351,8.147,7.593,5.3375,4107400,3858538,248862,4.9772,14.3092,178.752,192.466,245.441
client_004,1.48369,14255846,13619290,636556,12.7311,9.9135,12396272,11868233,528039,10.5608,5.4369,1.9685,3166536,2887384,279152,5.583,19.2502,31.5928,74.6322,151.101
client_005,1.35673,21126299,20325221,801078,16.0216,4.16272,12953209,12565914,387295,7.7459,7.0553,4.9183,5769037,5398600,370437,7.4087,13.9712,116.044,133.786,163.35
client_006,1.45595,16412487,15571472,841015,16.8203,2.64696,9529606,9026955,502651,10.053,9.1623,5.2741,3687487,3334565,352922,7.0584,13.3307,114.945,129.477,190.264
client_007,1.5376,16434612,15412653,1021959,20.4392,3.35886,12431756,11866195,565561,11.3112,3.6084,2.4449,2991966,2561108,430858,8.6172,10.7914,53.1381,144.662,184.062
client_008,1.51599,18442944,17526839,916105,18.3221,5.7712,12204005,11334744,869261,17.3852,6.6639,2.9364,4469366,4101458,367908,7.3582,10.9927,42.9403,91.6443,162.658
server_001,1.47194,19957005,19366685,590320,11.8064,1.79712,10789059,10379041,410018,8.2004,8.5984,4.5832,4496545,4253062,243483,4.8697,16.6889,142.257,147.853,239.903
server_002,1.37962,34441664,33465961,975703,19.5141,0.22302,14903257,14902873,384,0.0077,0.0034,0.0017,6652879,6194374,458505,9.1701,9.87066,39.1979,96.6805,156.614
server_003,1.34419,15172672,14133115,1039557,20.7911,8.769,11430104,10702174,727930,14.5586,15.9802,3.3512,4032561,3550078,482483,9.6497,18.8252,53.0951,60.6541,194.055
server_004,1.02327,27157984,25931770,1226214,24.5243,5.6558,12812023,10809903,2002120,40.0424,17.4852,2.1164,5312822,4770739,542083,10.8417,16.6566,20.6635,39.905,164.834
server_009,1.06876,28870767,27657564,1213203,24.2641,3.89814,12848799,10603272,2245527,44.9105,17.1265,1.3433,5556798,5029968,526830,10.5366,14.423,18.0289,32.1813,155.929
server_010,1.27988,23707010,22353518,1353492,27.0698,4.29754,12010822,10395014,1615808,32.3162,18.71,1.3352,5523529,4930967,592562,11.8512,14.2862,20.754,31.0026,154.885
