Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_002,1.80658,22428080,21926663,501417,10.0283,1.87284,12362088,12121296,240792,4.8158,4.3055,1.0949,5680496,5375107,305389,6.1078,11.3429,60.5113,68.0778,189.252
client_004,1.44664,14130950,13601319,529631,10.5926,9.78032,12399317,11871266,528051,10.561,4.8201,1.7918,3166991,2875938,291053,5.8211,16.7858,30.9215,75.8231,150.303
client_008,1.51109,18209742,17480050,729692,14.5938,5.75864,12205708,11336357,869351,17.387,6.3893,2.8925,4461034,4089444,371590,7.4318,10.1179,42.8593,93.8238,163.134
server_003,1.34288,15117925,14225977,891948,17.839,8.32146,11416849,10688920,727929,14.5586,14.6474,3.1245,4031953,3535058,496895,9.9379,16.4422,52.1612,61.4678,194.525
server_004,1.03072,27162950,26085662,1077288,21.5458,4.89562,12781102,10776934,2004168,40.0834,15.7866,2.0016,5303796,4731897,571899,11.438,14.8411,20.3949,40.6462,163.222
server_010,1.31885,23935424,22737643,1197781,23.9556,3.32108,11966370,10348188,1618182,32.3636,17.1046,1.2527,5534023,4918820,615203,12.3041,12.9232,20.5585,31.1465,153.038
server_011,1.60158,16237977,15002970,1235007,24.7001,5.76036,10940548,10307856,632692,12.6538,16.9684,1.9143,4846935,4216988,629947,12.5989,14.3076,38.1213,37.4716,155.403
server_012,1.81311,17968991,16601004,1367987,27.3597,3.71056,10732257,10096121,636136,12.7227,18.9652,1.3491,5509230,4806184,703046,14.0609,12.8413,36.525,30.6403,150.126
server_013,1.7427,17680379,16253341,1427038,28.5408,3.83438,10708042,10061018,647024,12.9405,20.49,1.5736,5493071,4769079,723992,14.4798,13.1926,38.6968,31.5896,151.624
server_016,1.8486,20203997,17922292,2281705,45.6341,1.3925,11521337,10692931,828406,16.5681,8.0732,0.5003,4810757,3547427,1263330,25.2666,10.4325,20.3194,31.1065,183.839
server_023,1.6581,22690090,20063598,2626492,52.5298,1.71984,12616944,11658106,958838,19.1768,8.999,0.6646,5511516,4075573,1435943,28.7189,10.3555,22.2862,35.1859,208.588
server_024,1.62762,23007070,20268879,2738191,54.7638,1.72142,12860701,11870917,989784,19.7957,10.2227,0.7516,5619575,4106055,1513520,30.2704,10.2389,24.7224,37.7904,247.126
server_025,1.61884,25560333,22916336,2643997,52.8799,1.65394,13221409,12320684,900725,18.0145,9.0884,0.3933,6245434,4779215,1466219,29.3244,10.3828,19.1825,27.6549,186.921
server_026,1.60802,23903160,20911870,2991290,59.8258,1.88424,12983365,11919352,1064013,21.2803,12.717,0.4038,5896134,4243206,1652928,33.0586,10.5209,19.9297,26.2462,211.375
server_027,1.60478,24058741,21050224,3008517,60.1703,1.93912,13029820,12011231,1018589,20.3718,11.4669,0.4683,5929121,4274837,1654284,33.0857,10.5703,19.7748,27.6424,194.271
server_033,1.72662,28812600,25313370,3499230,69.9846,1.36224,12152990,11516866,636124,12.7225,3.7546,0.3617,6797030,4556054,2240976,44.8195,10.0868,20.6308,34.6569,154.156
server_034,1.83104,28393341,24886130,3507211,70.1442,1.34216,12155408,11549637,605771,12.1154,1.1301,0.0957,6800038,4567647,2232391,44.6478,10.0827,13.2088,27.8563,98.9889
spec_gcc_001,1.48761,20959877,20732146,227731,4.5546,5.51294,11724269,10952342,771927,15.4385,3.4367,1.0424,4797434,4657004,140430,2.8086,15.4468,24.2114,75.131,181.868
spec_gobmk_001,1.42646,14145754,13779643,366111,7.3222,6.31324,9893521,9656885,236636,4.7327,1.7685,0.2842,3461248,3292373,168875,3.3775,8.31065,26.6441,44.632,153.396
spec_gobmk_002,1.69144,16437084,15981918,455166,9.1033,6.9464,9987566,9914430,73136,1.4627,0.48,0.3691,4745149,4534215,210934,4.2187,8.07862,55.7203,147.158,165.49
