Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_002,1.80587,22424276,21921012,503264,10.0653,1.87682,12362676,12121888,240788,4.8158,4.3184,1.0931,5675954,5369286,306668,6.1334,11.4327,60.4831,67.9175,189.509
client_004,1.44067,14113033,13582669,530364,10.6073,9.85316,12403512,11875435,528077,10.5615,4.8466,1.8005,3167464,2878386,289078,5.7816,16.955,30.5602,75.0874,148.432
client_008,1.51057,18237591,17507690,729901,14.598,5.7446,12206957,11337600,869357,17.3871,6.4095,2.8861,4467484,4095873,371611,7.4322,10.1322,42.6844,92.9739,162.125
server_003,1.34181,15079739,14187883,891856,17.8371,8.34454,11417437,10689522,727915,14.5583,14.662,3.1287,4029456,3539371,490085,9.8017,16.4441,52.2401,61.5133,194.669
server_004,1.03233,27231938,26153321,1078617,21.5723,4.92292,12785293,10783169,2002124,40.0425,15.8062,1.9708,5314083,4759331,554752,11.095,14.8234,20.357,40.3259,163.414
server_010,1.31837,23980148,22779675,1200473,24.0095,3.2909,11966952,10348746,1618206,32.3641,17.1203,1.2532,5537530,4933556,603974,12.0795,12.8791,20.5695,31.1766,153.554
server_011,1.60618,16185627,14948544,1237083,24.7417,5.7736,10939018,10306318,632700,12.654,17.0926,1.868,4845694,4226490,619204,12.3841,14.2357,38.1478,36.9804,155.909
server_012,1.81303,18024802,16655134,1369668,27.3934,3.69754,10732323,10096186,636137,12.7227,18.9373,1.3309,5515106,4824807,690299,13.806,12.755,36.5157,30.5604,150.8
server_013,1.74787,17672384,16240590,1431794,28.6359,3.82458,10708080,10061025,647055,12.9411,20.3729,1.5443,5491389,4781963,709426,14.1885,13.1705,38.5743,31.4477,151.616
server_016,1.84874,20139792,17860325,2279467,45.5893,1.37734,11519690,10691282,828408,16.5682,8.0249,0.4998,4810294,3542581,1267713,25.3543,10.4029,20.3533,31.1925,184.044
server_023,1.65743,22622687,19999127,2623560,52.4712,1.71898,12616453,11657610,958843,19.1769,9.0192,0.6632,5510738,4066823,1443915,28.8783,10.3409,22.3282,35.2385,210.334
server_024,1.62839,22997145,20261249,2735896,54.7179,1.69774,12860262,11870481,989781,19.7956,10.1852,0.7468,5618613,4098516,1520097,30.4019,10.2443,24.7582,37.9272,249.654
server_025,1.61911,25406744,22766645,2640099,52.802,1.68034,13225014,12324293,900721,18.0144,9.092,0.3916,6253685,4786806,1466879,29.3376,10.3751,19.2216,27.7071,188.783
server_026,1.60768,23720649,20736280,2984369,59.6874,1.92896,12985530,11921516,1064014,21.2803,12.6077,0.4009,5903683,4249947,1653736,33.0747,10.4556,19.8261,26.1683,208.217
server_027,1.60525,23899914,20892740,3007174,60.1435,1.97214,13039197,12020580,1018617,20.3723,11.0108,0.4626,5935937,4285024,1650913,33.0183,10.4722,19.6106,27.8266,193.226
server_033,1.72669,28815463,25316279,3499184,69.9837,1.3616,12152934,11516809,636125,12.7225,3.7535,0.3612,6797075,4555980,2241095,44.8219,10.0871,20.6242,34.6372,154.135
server_034,1.83105,28393607,24886410,3507197,70.1439,1.34208,12155397,11549626,605771,12.1154,1.13,0.0957,6800051,4567634,2232417,44.6483,10.0829,13.2088,27.8543,98.9778
spec_gcc_001,1.4883,20858728,20630590,228138,4.5628,5.5843,11725600,10953660,771940,15.4388,3.3585,1.0394,4795408,4655956,139452,2.789,15.3553,24.0179,75.7329,180.183
spec_gobmk_001,1.42654,14145619,13779640,365979,7.3196,6.31322,9893510,9656874,236636,4.7327,1.7662,0.2856,3461187,3292318,168869,3.3774,8.30778,26.7156,44.8521,153.818
spec_gobmk_002,1.69139,16437470,15982293,455177,9.1035,6.94714,9987674,9914538,73136,1.4627,0.48,0.3691,4745160,4534241,210919,4.2184,8.08027,55.5949,146.675,164.888
