Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.52454,3319461,2983529,335932,6.7186,3.40532,11801401,11387220,414181,8.2836,5.1226,2.8687,3223746,2968752,254994,5.0999,19.8133,83.7983,130.003,196.485
client_002,1.76249,5933910,5249177,684733,13.6947,2.1919,12388557,12147773,240784,4.8157,4.7286,1.067,5641735,5152616,489119,9.7824,14.6615,61.4981,63.3957,192.706
client_003,1.09945,4324080,3756902,567178,11.3436,2.741,11382418,10975074,407344,8.1469,7.4811,5.2798,4099805,3693156,406649,8.133,17.8812,178.333,193.683,246.164
client_004,1.45089,3407304,2736225,671079,13.4216,9.9135,12427405,11899339,528066,10.5613,5.3053,1.929,3153856,2687967,465889,9.3178,23.3408,31.3094,74.5688,150.275
client_005,1.33421,6091370,5252328,839042,16.7808,4.16272,12972585,12585275,387310,7.7462,6.9286,4.893,5757335,5165529,591806,11.8361,17.3407,116.379,135.05,163.047
client_006,1.4468,3893573,2984069,909504,18.1901,2.64696,9539725,9037070,502655,10.0531,9.1542,5.2897,3652397,2947514,704883,14.0977,17.9294,115.047,129.298,189.215
client_007,1.52494,3270393,2190055,1080338,21.6068,3.35886,12462966,11897521,565445,11.3089,3.6943,2.4382,2977400,2158615,818785,16.3757,12.7622,52.257,137.536,178.289
client_008,1.48716,4777482,3794569,982913,19.6583,5.7712,12245995,11376810,869185,17.3837,6.4382,2.9284,4433788,3755602,678186,13.5637,13.1248,43.0089,94.367,163.568
server_001,1.44905,4708540,4019527,689013,13.7803,1.79712,10799961,10389948,410013,8.2003,8.6176,4.5708,4477315,3928796,548519,10.9704,23.1924,140.803,144.772,235.29
server_002,1.39,7260892,5855629,1405263,28.1053,0.22302,14886205,14885821,384,0.0077,0.0037,0.0018,6586158,5556327,1029831,20.5966,10.5143,40.9792,98.5738,156.293
server_003,1.27027,4361256,3291263,1069993,21.3999,8.769,11474950,10747020,727930,14.5586,15.9983,3.509,3997967,3220230,777737,15.5547,26.758,54.1229,62.0425,191.904
server_004,0.980621,5678285,4417284,1261001,25.22,5.65576,12869356,10867207,2002149,40.043,17.6839,2.139,5269597,4350449,919148,18.383,23.0822,20.7619,39.952,165.493
server_009,1.02699,5883509,4652967,1230542,24.6108,3.89814,12904624,10659622,2245002,44.9,17.0644,1.3668,5514832,4592455,922377,18.4475,20.5689,18.1126,32.6724,158.883
server_010,1.21511,5896004,4524325,1371679,27.4336,4.29754,12073258,10457489,1615769,32.3154,18.7676,1.3504,5479512,4454228,1025284,20.5057,20.3987,20.7725,31.0627,154.431
server_011,1.4929,5248162,3810584,1437578,28.7516,6.60974,11033722,10401040,632682,12.6536,18.8381,1.944,4802951,3733177,1069774,21.3955,21.5958,38.8458,36.0407,156.138
server_012,1.60636,5922253,4347555,1574698,31.494,4.78316,10847334,10211256,636078,12.7216,21.0083,1.4635,5444103,4265114,1178989,23.5798,19.9525,37.6891,30.5714,152.514
server_013,1.56137,5928857,4290498,1638359,32.7672,4.96586,10826498,10179506,646992,12.9398,22.6404,1.592,5437356,4209918,1227438,24.5488,20.3197,39.4523,30.6712,152.57
server_014,1.41384,7699101,4954561,2744540,54.8908,0.4166,14992157,14930686,61471,1.2294,1.3512,1.0255,6538101,4522326,2015775,40.3155,11.4336,326.462,314.274,387.72
server_015,1.48503,7817689,4862506,2955183,59.1037,0.1603,15184715,15184313,402,0.008,0.0032,0.0016,6581028,4408987,2172041,43.4408,10.7922,40.5622,99.0943,153.854
server_016,1.72633,5439346,2868102,2571244,51.4249,3.13086,11638692,10810188,828504,16.5701,11.6833,0.5011,4648348,2768307,1880041,37.6008,13.4752,21.5525,27.7017,187.193
server_017,0.412789,5619439,2839519,2779920,55.5984,1.40634,12807925,11070142,1737783,34.7557,33.4011,24.4612,4795988,2669669,2126319,42.5264,14.2445,234.995,238.897,298.955
