Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.51723,3221740,2953430,268310,5.3662,3.40532,11804245,11390087,414158,8.2832,5.0606,2.8229,3221740,2953430,268310,5.3662,20.6024,83.0572,127.944,193.572
client_002,1.73459,5652253,5187123,465130,9.3026,2.1919,12400254,12159474,240780,4.8156,4.1386,1.0598,5652253,5187123,465130,9.3026,15.7994,61.6649,69.6539,194.102
client_003,1.07897,4099996,3694601,405395,8.1079,2.741,11392620,10985267,407353,8.1471,7.1422,5.2186,4099996,3694601,405395,8.1079,19.3777,178.841,200.917,247.669
client_004,1.35215,3151398,2651920,499478,9.9896,9.9135,12448942,11920881,528061,10.5612,4.693,1.6992,3151398,2651920,499478,9.9896,25.4959,30.0496,73.4504,147.741
client_005,1.29505,5761512,5167697,593815,11.8763,4.16272,12982107,12594812,387295,7.7459,6.4431,4.8061,5761512,5167697,593815,11.8763,18.9101,115.695,140.359,161.442
client_006,1.43955,3649792,2965236,684556,13.6911,2.64696,9540338,9037678,502660,10.0532,8.9156,5.237,3649792,2965236,684556,13.6911,18.8776,114.604,128.78,185.247
client_007,1.51689,2975326,2172526,802800,16.056,3.35886,12463559,11898084,565475,11.3095,3.5144,2.4062,2975326,2172526,802800,16.056,12.9774,52.4563,141.807,177.95
client_008,1.45789,4428523,3756041,672482,13.4496,5.7712,12257302,11388113,869189,17.3838,6.2357,2.8894,4428523,3756041,672482,13.4496,14.0156,43.1211,95.6071,163.227
server_001,1.42658,4477296,3978721,498575,9.9715,1.79712,10805154,10395117,410037,8.2007,8.1716,4.4298,4477296,3978721,498575,9.9715,25.6141,141.508,148.701,237.462
server_002,1.38982,6598578,5790576,808002,16.16,0.22302,14888539,14888155,384,0.0077,0.0034,0.0014,6598578,5790576,808002,16.16,11.0038,40.3698,83.3918,154.857
server_003,1.21104,3996216,3146129,850087,17.0017,8.769,11505054,10777112,727942,14.5588,14.324,2.9817,3996216,3146129,850087,17.0017,27.15,52.3298,61.015,197.222
server_004,0.935906,5271674,4249494,1022180,20.4436,5.65576,12898832,10896742,2002090,40.0418,15.3085,1.9445,5271674,4249494,1022180,20.4436,23.9575,20.2974,40.6208,162.686
server_009,1.00565,5516695,4495431,1021264,20.4253,3.89814,12926688,10681129,2245559,44.9112,14.9231,1.2047,5516695,4495431,1021264,20.4253,20.8185,17.8006,32.6957,157.755
server_010,1.17547,5478863,4343942,1134921,22.6984,4.29754,12098318,10480198,1618120,32.3624,16.5455,1.2345,5478863,4343942,1134921,22.6984,20.8633,20.4486,31.2827,151.828
server_011,1.39928,4803780,3626234,1177546,23.5509,6.60974,11066804,10434142,632662,12.6532,16.4002,1.7931,4803780,3626234,1177546,23.5509,22.3668,37.6438,36.7209,153.436
server_012,1.51001,5446201,4148942,1297259,25.9452,4.78314,10880132,10244010,636122,12.7224,18.2045,1.4483,5446201,4148942,1297259,25.9452,20.8236,36.8586,31.915,150.165
server_013,1.48678,5437874,4083848,1354026,27.0805,4.96586,10861212,10214195,647017,12.9403,19.8035,1.4953,5437874,4083848,1354026,27.0805,20.9832,38.0941,31.2182,149.548
server_014,1.40662,6587120,5079800,1507320,30.1464,0.4166,15005291,14943822,61469,1.2294,1.3069,0.9786,6587120,5079800,1507320,30.1464,11.9183,319.867,311.71,389.586
server_015,1.48442,6640062,5024694,1615368,32.3074,0.1603,15200652,15200250,402,0.008,0.0024,0.0013,6640062,5024694,1615368,32.3074,11.0005,40.1493,105.559,155.631
server_016,1.71718,4641598,2567401,2074197,41.4839,3.13086,11656989,10828452,828537,16.5707,7.389,0.4826,4641598,2567401,2074197,41.4839,13.1664,20.2171,32.0675,190.603
server_017,0.412777,4790510,2625192,2165318,43.3064,1.40634,12818394,11080609,1737785,34.7557,32.7618,24.2579,4790510,2625192,2165318,43.3064,14.3756,234.016,240.93,298.414
server_018,0.422959,5265300,2868986,2396314,47.9263,0.73232,13194338,11390239,1804099,36.082,33.8563,24.4393,5265300,2868986,2396314,47.9263,14.615,234.75,243.453,309.579
server_019,0.405181,4713583,2565859,2147724,42.9545,1.504,12758059,10969520,1788539,35.7708,33.6263,25.4257,4713583,2565859,2147724,42.9545,15.3275,249.82,259.458,316.715
server_020,0.425022,5268696,2868286,2400410,48.0082,0.72338,13186146,11393548,1792598,35.852,33.7543,24.3453,5268696,2868286,2400410,48.0082,14.2755,235.041,242.499,308.546
server_021,0.430455,5381893,2942861,2439032,48.7806,0.54928,13280619,11466552,1814067,36.2813,34.0019,24.218,5381893,2942861,2439032,48.7806,13.9538,235.831,244.017,314.565
server_022,0.431103,5378961,2932581,2446380,48.9276,0.54102,13286088,11468021,1818067,36.3613,34.2145,24.2917,5378961,2932581,2446380,48.9276,14.2271,235.684,243.273,314.53
server_023,1.53114,5315326,2918913,2396413,47.9283,3.78472,12789139,11830245,958894,19.1779,7.914,0.6526,5315326,2918913,2396413,47.9283,13.001,21.6978,37.2182,211.793
server_024,1.48891,5417762,2924592,2493170,49.8634,3.91842,13033887,12044056,989831,19.7966,10.5159,0.7444,5417762,2924592,2493170,49.8634,13.4613,24.9288,37.3036,248.095
server_025,1.47278,6057623,3631530,2426093,48.5219,3.98966,13414802,12513971,900831,18.0166,9.301,0.386,6057623,3631530,2426093,48.5219,13.5046,18.9292,27.6035,194.772
