Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.1963,7385024,6494057,890967,17.8193,3.40534,12499528,12085221,414307,8.2861,5.0711,2.8386,2596047,2585231,10816,0.2163,15.8622,83.7842,132.801,201.591
client_002,1.30703,10738471,9049352,1689119,33.7824,2.19188,13348843,13108057,240786,4.8157,4.3348,1.0637,4226127,4208523,17604,0.3521,13.2261,60.8725,66.5934,190.239
client_003,0.913731,9636501,7856892,1779609,35.5922,2.741,12210567,11803216,407351,8.147,7.5313,5.2355,3683441,3601222,82219,1.6444,14.0814,176.112,189.996,244.649
client_004,1.16486,6690890,5642334,1048556,20.9711,9.9135,12988532,12460294,528238,10.5648,5.0959,1.7249,2509906,2372739,137167,2.7433,19.134,30.544,69.8099,147.34
client_005,0.996963,14463087,11459758,3003329,60.0666,4.16272,14080050,13692731,387319,7.7464,6.9863,4.8168,5108917,4969529,139388,2.7878,13.4876,115.299,130.561,160.568
client_006,1.05697,8935532,7687457,1248075,24.9615,2.64728,10467378,9964536,502842,10.0568,9.0787,5.2532,3856011,3847644,8367,0.1673,17.8936,115.658,132.136,193.865
client_007,1.19442,6126958,4940051,1186907,23.7381,3.359,13151564,12585599,565965,11.3193,3.5331,2.4181,2323735,2270163,53572,1.0714,14.1411,52.5066,143.44,180.424
client_008,1.22682,8478089,6882209,1595880,31.9176,5.77122,12917723,12048356,869367,17.3873,6.5324,2.9009,2694279,2657552,36727,0.7345,13.7946,42.1865,89.7633,157.162
server_001,1.14134,11605265,10555925,1049340,20.9868,1.79716,11578924,11168897,410027,8.2005,8.552,4.4308,3989892,3977113,12779,0.2556,21.2741,143.932,150.897,252.718
server_002,0.946279,16773792,13118146,3655646,73.1129,0.223,16271247,16270863,384,0.0077,0.0026,0.0014,7589341,7572979,16362,0.3272,11.8982,40.4036,99.062,149.985
server_003,0.995277,9143445,7640649,1502796,30.0559,8.76908,12192053,11464063,727990,14.5598,15.5604,3.0099,3792490,3676274,116216,2.3243,22.012,52.811,58.0742,197.068
server_004,0.800145,10249301,8658779,1590522,31.8104,5.6558,13636106,11634007,2002099,40.042,16.8782,1.9137,4390116,4307692,82424,1.6485,21.3666,20.544,38.6914,165.415
server_009,0.808875,10799707,9111049,1688658,33.7732,3.8981,13779834,11534411,2245423,44.9085,16.6941,1.2035,4868308,4829336,38972,0.7794,19.1885,18.0033,31.4386,159.621
server_010,0.896549,11804572,10020023,1784549,35.691,4.29762,13068552,11453019,1615533,32.3107,18.1085,1.1968,5209270,5175825,33445,0.6689,19.4978,20.7038,30.3951,158.388
server_011,0.996653,11890651,9985224,1905427,38.1085,6.60972,12055106,11422430,632676,12.6535,17.8906,1.7775,5243222,5162741,80481,1.6096,20.1083,38.2707,35.3741,155.404
server_012,1.03888,12973876,10803556,2170320,43.4064,4.78314,11987290,11351431,635859,12.7172,20.6786,1.4007,5671282,5624411,46871,0.9374,19.1821,37.7271,30.5766,157.282
server_013,1.01412,13040314,10877412,2162902,43.258,4.96586,11974842,11327872,646970,12.9394,22.1165,1.4723,5812556,5769314,43242,0.8648,19.6064,38.992,30.3148,156.427
server_014,0.895775,17143602,12928149,4215453,84.3091,0.4166,16398466,16336997,61469,1.2294,1.3314,0.9814,7559083,7527788,31295,0.6259,12.2838,327.951,324.143,412.653
server_015,0.9159,17202287,13293679,3908608,78.1722,0.1603,16599400,16598995,405,0.0081,0.0026,0.0013,7697728,7663418,34310,0.6862,11.7827,40.1086,97.7287,155.185
server_016,1.19749,9237883,6817343,2420540,48.4108,3.13084,12756351,11927849,828502,16.57,8.3989,0.4808,4689498,4662352,27146,0.5429,14.0474,20.6921,30.9115,194.889
server_017,0.382443,12441519,9410099,3031420,60.6284,1.40634,13653433,11915331,1738102,34.762,32.8688,24.3359,5430137,5391064,39073,0.7815,14.2911,231.107,237.733,294.118
server_018,0.387193,13552231,10048877,3503354,70.0671,0.73232,14128700,12324324,1804376,36.0875,33.951,24.42,6000919,5946295,54624,1.0925,13.9978,231.225,238.934,304.434
server_019,0.376167,12518206,9353323,3164883,63.2977,1.504,13567975,11779132,1788843,35.7769,33.7343,25.6469,5359874,5328658,31216,0.6243,14.9862,247.073,256.743,311.426
server_020,0.389103,13613637,10217177,3396460,67.9292,0.72338,14146047,12353189,1792858,35.8572,33.7234,24.2849,6005176,5958687,46489,0.9298,14.0039,230.976,238.571,303.571
server_021,0.390713,13928098,10435997,3492101,69.842,0.54928,14274157,12459898,1814259,36.2852,34.181,24.3612,6103414,6054980,48434,0.9687,13.8593,233.034,240.084,308.831
server_022,0.3915,14145030,10620774,3524256,70.4851,0.54102,14297582,12479327,1818255,36.3651,34.3737,24.1952,6110372,6060296,50076,1.0015,13.921,232.036,238.44,310.369
server_023,1.05992,11072998,8192127,2880871,57.6174,3.78476,14055856,13096835,959021,19.1804,9.5339,0.6546,5448987,5411734,37253,0.7451,13.9863,22.0482,34.3239,212.752
server_024,1.0337,11164413,8254153,2910260,58.2052,3.91844,14343908,13354165,989743,19.7949,11.4089,0.7464,5655973,5623384,32589,0.6518,14.2466,25.0899,35.9349,250.076
server_025,1.04056,11218810,8424614,2794196,55.8839,3.98974,14614712,13713834,900878,18.0176,11.2109,0.3876,5657956,5616209,41747,0.8349,14.5844,19.3462,26.392,197.482
server_026,0.995618,12017772,8847296,3170476,63.4095,4.64028,14567373,13503600,1063773,21.2755,11.9642,0.3818,6066548,6021030,45518,0.9104,14.2566,19.0491,26.3145,210.778
server_027,0.989884,12298495,9025272,3273223,65.4645,4.71792,14644088,13625757,1018331,20.3666,12.4925,0.4614,6100909,6053765,47144,0.9429,14.4105,19.56,26.685,189.628
server_028,0.967014,13300370,9913038,3387332,67.7466,3.12282,14219885,12779175,1440710,28.8142,12.9579,0.5812,6340419,6307777,32642,0.6528,14.059,17.9754,26.0569,140.853
server_029,0.957824,13141913,9820026,3321887,66.4377,3.13972,14219428,12756366,1463062,29.2612,12.1467,0.6797,6374773,6335317,39456,0.7891,13.9537,18.2693,28.2598,150.807
server_030,0.980727,13051418,9634568,3416850,68.337,3.289,14392657,12931560,1461097,29.2219,12.2261,0.1667,6421852,6378354,43498,0.87,14.242,14.8031,21.5399,125.605
server_031,0.934819,13653772,10135760,3518012,70.3602,3.25526,14572418,13333296,1239122,24.7824,9.4653,0.7238,6565767,6528507,37260,0.7452,13.6112,18.0024,30.5583,142.747
server_032,0.942444,14015023,10647479,3367544,67.3509,2.96512,15006938,13871855,1135083,22.7017,7.4175,0.0663,6892541,6836653,55888,1.1178,13.2089,13.7918,20.5351,114.987
server_033,0.950613,16170681,12119205,4051476,81.0295,1.52796,13916206,13279952,636254,12.7251,3.9093,0.3646,6904934,6855406,49528,0.9906,12.1522,20.7252,34.1586,154.994
server_034,0.955108,16179114,12161348,4017766,80.3553,1.48764,14008718,13403108,605610,12.1122,1.4154,0.0964,6892523,6846724,45799,0.916,12.1551,13.5092,26.0942,100.859
server_035,0.887465,16372018,12311981,4060037,81.2007,1.4541,13483121,12841827,641294,12.8259,4.7468,3.5004,6941595,6901460,40135,0.8027,13.0606,66.1826,168.806,202.081
server_036,0.860133,15649209,10916990,4732219,94.6444,0.46846,16085037,16081118,3919,0.0784,0.0369,0.0301,8146792,8128826,17966,0.3593,12.288,57.3606,162.924,175.373
server_037,0.852442,18245627,13279387,4966240,99.3248,1.11426,14607339,14168876,438463,8.7693,3.7416,0.4395,8076382,8026331,50051,1.001,12.0389,26.9014,38.2974,156.557
server_038,0.853625,17776507,12918875,4857632,97.1526,1.09676,14632287,14192201,440086,8.8017,3.1919,0.4308,8077335,8028242,49093,0.9819,11.9562,25.6674,40.8023,154.991
server_039,0.842965,18217714,12955402,5262312,105.2462,0.69682,15816060,15764918,51142,1.0228,0.0001,0.0001,8296311,8252713,43598,0.872,12.3075,11.0034,172,152
spec_gcc_001,1.20373,7949926,7204631,745295,14.9059,5.5249,12330818,11558874,771944,15.4389,3.6387,1.008,3356707,3304715,51992,1.0398,15.2452,24.9548,73.6877,193.919
spec_gcc_002,0.212657,6771360,5544596,1226764,24.5353,0.64062,13762768,8749278,5013490,100.2698,105.8984,62.5256,2206585,2187028,19557,0.3911,52.3884,338.936,321.142,510.037
spec_gcc_003,0.242824,6707144,5304274,1402870,28.0574,0.69504,12677571,7126767,5550804,111.0161,119.956,76.9447,2450984,2424109,26875,0.5375,59.4649,479.182,446.252,664.518
spec_gobmk_001,1.07329,8488636,6908325,1580311,31.6062,6.3317,10650528,10413892,236636,4.7327,1.7602,0.3006,3536922,3488627,48295,0.9659,11.9534,27.6479,47.3245,160.099
spec_gobmk_002,1.08159,11876763,9598783,2277980,45.5596,6.95114,11071994,10998855,73139,1.4628,0.4739,0.3689,4959493,4885851,73642,1.4728,11.9115,57.4609,153.629,171.755
spec_perlbench_001,1.38991,8814939,7534683,1280256,25.6051,2.52258,12723309,12479287,244022,4.8804,2.3671,1.6763,2573412,2517716,55696,1.1139,12.8617,67.8175,126.667,150.703
spec_x264_001,2.76923,2228357,1827571,400786,8.0157,1.45042,6700700,6632467,68233,1.3647,0.707,0.5538,831726,820616,11110,0.2222,13.0524,92.2843,158.016,176.314
