Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.20067,3910440,3453731,456709,9.1342,3.40534,12498753,12084447,414306,8.2861,5.0677,2.8284,2595968,2588437,7531,0.1506,17.7079,83.1701,130.106,197.342
client_002,1.29953,7428380,6220946,1207434,24.1487,2.19188,13356625,13115835,240790,4.8158,4.1263,1.0649,4225297,4183017,42280,0.8456,13.4368,60.8608,68.8762,189.724
client_003,0.92834,5664166,4882716,781450,15.629,2.741,12211494,11804156,407338,8.1468,7.4198,5.245,3683536,3586132,97404,1.9481,16.7684,175.669,192.457,244.048
client_004,1.28239,3957759,3119388,838371,16.7674,9.9135,12970754,12442524,528230,10.5646,5.2795,1.8749,2511265,2399044,112221,2.2444,22.5373,31.4668,76.9421,160.555
client_005,1.02846,7915384,6800945,1114439,22.2888,4.16272,14073324,13686001,387323,7.7465,6.8173,4.8368,5109214,4952578,156636,3.1327,16.6532,115.439,136.473,164.323
client_006,1.05893,5888178,4797562,1090616,21.8123,2.64728,10467551,9964709,502842,10.0568,9.054,5.251,3856751,3849073,7678,0.1536,17.0342,115.529,130.697,190.937
client_007,1.2048,3829689,2693242,1136447,22.7289,3.359,13137707,12571742,565965,11.3193,3.5458,2.4249,2325267,2303484,21783,0.4357,13.2133,52.9036,143.847,181.15
client_008,1.24373,4497363,3375411,1121952,22.439,5.77122,12915987,12046609,869378,17.3876,6.322,2.8941,2694542,2652704,41838,0.8368,13.8117,42.0778,92.7438,158.965
server_001,1.14114,5819159,4924835,894324,17.8865,1.79716,11583368,11173334,410034,8.2007,8.5326,4.4588,3989421,3972234,17187,0.3437,20.7208,143.323,149.49,247.873
server_002,0.948214,12694791,11539814,1154977,23.0995,0.223,16271307,16270923,384,0.0077,0.0027,0.0016,7589337,7576795,12542,0.2508,11.3042,40.375,106.672,152.231
server_003,1.07238,5984937,4639055,1345882,26.9176,8.76908,12158913,11430931,727982,14.5596,15.9851,3.3086,3793558,3719197,74361,1.4872,25.5554,54.9343,64.9779,217.584
server_004,0.833734,6763430,5178683,1584747,31.6949,5.65578,13616071,11611886,2004185,40.0837,17.2024,2.007,4391194,4346686,44508,0.8902,21.5842,20.7244,40.4152,175.692
server_009,0.816404,7267169,5686151,1581018,31.6204,3.8981,13769940,11525047,2244893,44.8979,17.0097,1.2111,4868294,4846894,21400,0.428,19.2272,18.05,31.4204,161.498
server_010,0.903279,7886494,6138554,1747940,34.9588,4.29762,13063411,11447921,1615490,32.3098,18.3904,1.2108,5209579,5189482,20097,0.4019,19.0251,20.7583,30.3042,157.669
server_011,1.04282,8431347,6592114,1839233,36.7847,6.60972,12033324,11400669,632655,12.6531,18.3721,1.8439,5243965,5198270,45695,0.9139,20.3677,39.1619,36.824,168.28
server_012,1.05032,8830427,6784284,2046143,40.9229,4.78314,11982399,11346562,635837,12.7167,21.0077,1.4117,5671198,5648686,22512,0.4502,19.0285,37.812,30.3669,155.683
server_013,1.02565,9363753,7262173,2101580,42.0316,4.96586,11961777,11314780,646997,12.9399,22.355,1.5122,5812990,5788877,24113,0.4823,19.3073,39.3471,30.445,155.574
server_014,0.896088,13664441,11163625,2500816,50.0163,0.4166,16393935,16332466,61469,1.2294,1.3291,0.9817,7552836,7523392,29444,0.5889,12.0234,322.426,311.733,394.974
server_015,0.918583,13617324,11132111,2485213,49.7043,0.1603,16592181,16591776,405,0.0081,0.0026,0.0013,7690475,7668347,22128,0.4426,11.4005,40.0148,96.7099,155.523
server_016,1.19724,8522548,5660622,2861926,57.2385,3.13084,12742775,11914221,828554,16.5711,9.582,0.4913,4692535,4669519,23016,0.4603,13.8396,21.3839,29.2931,189.324
server_017,0.382336,9549749,6867125,2682624,53.6525,1.40634,13661549,11923424,1738125,34.7625,32.7543,24.276,5433324,5419972,13352,0.267,13.7194,229.937,236.48,292.122
server_018,0.38787,10606039,7613756,2992283,59.8457,0.73232,14124738,12320361,1804377,36.0875,33.8879,24.3909,6003622,5990503,13119,0.2624,13.5108,230.287,237.603,302.382
server_019,0.376631,9468477,6814715,2653762,53.0752,1.50396,13589231,11800363,1788868,35.7774,33.5995,25.4169,5361559,5348349,13210,0.2642,14.204,245.334,254.473,309.99
server_020,0.389746,10618635,7602554,3016081,60.3216,0.72338,14146489,12353603,1792886,35.8577,33.6647,24.2378,6005655,5989529,16126,0.3225,13.4435,230.109,237.304,301.871
server_021,0.392196,10839663,7833721,3005942,60.1188,0.54928,14253821,12439503,1814318,36.2864,33.989,24.2784,6106076,6093105,12971,0.2594,13.4769,231.602,239.535,307.366
server_022,0.392045,10752992,7752524,3000468,60.0094,0.54102,14288849,12470554,1818295,36.3659,34.1518,24.2514,6112827,6099818,13009,0.2602,13.4273,231.367,238.515,307.755
server_023,1.06142,9836745,6627527,3209218,64.1844,3.78476,14050650,13091628,959022,19.1804,10.0884,0.66,5451316,5421357,29959,0.5992,13.8225,22.237,33.3611,208.802
server_024,1.03287,10226417,6818685,3407732,68.1546,3.91844,14339958,13350235,989723,19.7945,12.6084,0.754,5659308,5631786,27522,0.5504,14.0756,25.4058,34.2322,245.727
server_025,1.04462,10202894,6868282,3334612,66.6922,3.98974,14602705,13701772,900933,18.0187,11.7269,0.3884,5660363,5636050,24313,0.4863,14.1983,19.4874,25.8679,192.586
server_026,0.998541,11182416,7384335,3798081,75.9616,4.64028,14553733,13489905,1063828,21.2766,12.9376,0.3829,6069415,6041594,27821,0.5564,14.0032,19.4158,25.8423,211.889
server_027,0.991519,11209394,7440129,3769265,75.3853,4.71792,14634179,13615851,1018328,20.3666,12.5562,0.4667,6103966,6073225,30741,0.6148,14.0509,19.6544,26.6526,189.486
server_028,0.968552,11701731,7768091,3933640,78.6728,3.12282,14206006,12765297,1440709,28.8142,12.6165,0.5845,6342619,6317918,24701,0.494,13.622,17.994,26.2594,140.856
server_029,0.963094,11694140,7784429,3909711,78.1942,3.13972,14206590,12743526,1463064,29.2613,13.2507,0.6824,6376233,6358929,17304,0.3461,13.8424,18.4231,27.4296,150.428
server_030,0.985731,11869174,7858652,4010522,80.2104,3.289,14369605,12908531,1461074,29.2215,13.2126,0.1652,6423210,6406059,17151,0.343,14.0142,15.1069,21.3538,125.242
server_031,0.938392,12011929,8015540,3996389,79.9278,3.25526,14556171,13317035,1239136,24.7827,9.9566,0.7216,6568151,6547728,20423,0.4085,13.4728,18.074,29.8528,141.997
server_032,0.947618,12259467,8347918,3911549,78.231,2.96512,14992219,13857141,1135078,22.7016,7.9445,0.0675,6894388,6878027,16361,0.3272,13.1706,13.8531,20.3842,114.627
server_033,0.957471,12713780,8462868,4250912,85.0182,1.52796,13914418,13278165,636253,12.7251,4.0924,0.3632,6905306,6893333,11973,0.2395,12.0105,20.7125,33.3605,153.93
server_034,0.961734,12601138,8397656,4203482,84.0696,1.48764,14006062,13400449,605613,12.1123,1.6199,0.0966,6893207,6880866,12341,0.2468,11.9767,13.5575,25.4517,100.987
server_035,0.89141,12618750,8484420,4134330,82.6866,1.4541,13481686,12840400,641286,12.8257,4.6334,3.4956,6941901,6931560,10341,0.2068,12.5669,66.0701,168.259,196.829
server_036,0.860942,14676645,10384110,4292535,85.8507,0.46846,16079612,16075693,3919,0.0784,0.0363,0.0299,8146767,8131344,15423,0.3085,11.7701,56.6744,156.691,166.041
server_037,0.858058,14512205,9914976,4597229,91.9446,1.11426,14605281,14166817,438464,8.7693,3.6503,0.4441,8079502,8073423,6079,0.1216,11.9011,26.808,39.1125,157.705
server_038,0.858994,14415210,9861811,4553399,91.068,1.09676,14629362,14189271,440091,8.8018,3.1499,0.4328,8080455,8074298,6157,0.1231,11.8564,25.518,41.1314,154.588
server_039,0.848459,15183169,10325665,4857504,97.1501,0.69682,15816905,15765763,51142,1.0228,0.0001,0.0001,8293683,8286710,6973,0.1395,11.8146,11.0034,172,152
spec_gcc_001,1.23362,5109578,4584869,524709,10.4942,5.5249,12334741,11562802,771939,15.4388,3.7246,1.0479,3354658,3285048,69610,1.3922,17.3356,25.0066,74.8837,195.179
