Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.14483,2749675,2422390,327285,6.5457,3.40534,12535900,12121575,414325,8.2865,5.1323,2.8701,2587558,2407944,179614,3.5923,16.842,82.8477,124.533,186.989
client_002,1.1843,4569931,3890004,679927,13.5985,2.19188,13449524,13208738,240786,4.8157,4.7434,1.0728,4213087,3812051,401036,8.0207,14.8184,60.0513,61.6003,184.598
client_003,0.884501,3961808,3405850,555958,11.1192,2.741,12263864,11856531,407333,8.1467,7.4951,5.3135,3674214,3348902,325312,6.5062,17.6223,175.209,189.406,239.04
client_004,1.15523,2834542,2177575,656967,13.1393,9.9135,13043913,12515664,528249,10.565,5.2885,1.8992,2503775,2134857,368918,7.3784,23.4114,31.2163,73.621,149.506
client_005,0.956004,5519168,4700035,819133,16.3827,4.16272,14157434,13770088,387346,7.7469,6.9686,4.8945,5095573,4621827,473746,9.4749,17.1019,114.49,130.968,158.134
client_006,0.954316,4261896,3401410,860486,17.2097,2.64728,10591360,10088381,502979,10.0596,9.1535,5.3391,3838561,3367195,471366,9.4273,15.8863,113.599,123.569,177.641
client_007,1.07559,2819526,1769935,1049591,20.9918,3.359,13230466,12664354,566112,11.3222,3.6441,2.4406,2305539,1742700,562839,11.2568,12.3087,51.6869,135.326,172.31
client_008,1.11045,3172720,2186898,985822,19.7164,5.77122,13073664,12204149,869515,17.3903,6.4628,2.9239,2682278,2151030,531248,10.625,13.2983,42.1405,91.3772,157.828
server_001,1.00328,4322669,3656179,666490,13.3298,1.79716,11709828,11299800,410028,8.2006,8.6324,4.5706,3972723,3586726,385997,7.7199,21.4844,139.647,141.199,228.975
server_002,0.845432,8310292,7046810,1263482,25.2696,0.223,16363985,16363601,384,0.0077,0.0035,0.0017,7537586,6734806,802780,16.0556,10.9192,41.5781,97.7143,156.322
server_003,0.88192,4299468,3244647,1054821,21.0964,8.76908,12349339,11621376,727963,14.5593,15.6967,3.3118,3779550,3184557,594993,11.8999,25.2761,52.9834,60.0663,190.062
server_004,0.700421,4986725,3735938,1250787,25.0157,5.65572,13837794,11833458,2004336,40.0867,17.4122,2.0543,4375373,3676472,698901,13.978,22.4486,20.5876,39.1456,162.804
server_009,0.693239,5446660,4228430,1218230,24.3646,3.8981,13993547,11748686,2244861,44.8972,16.8133,1.2887,4851879,4174930,676949,13.539,20.0575,17.9858,31.9068,156.008
server_010,0.7418,5854861,4498190,1356671,27.1334,4.29762,13314441,11696537,1617904,32.3581,18.6344,1.2207,5191359,4437461,753898,15.078,19.85,20.5614,29.9112,152.073
server_011,0.827381,5921143,4501332,1419811,28.3962,6.6097,12291406,11658727,632679,12.6536,18.4575,1.9157,5225057,4433384,791673,15.8335,21.3271,38.386,35.913,153.852
server_012,0.815586,6413086,4856401,1556685,31.1337,4.78314,12270390,11634570,635820,12.7164,20.8741,1.3657,5649851,4783615,866236,17.3247,19.6484,37.0768,29.7532,149.898
server_013,0.792021,6581581,4961095,1620486,32.4097,4.96586,12266838,11619906,646932,12.9386,22.1563,1.5447,5791079,4889936,901143,18.0229,19.9161,38.9623,30.4064,149.943
server_014,0.730156,8910152,6289210,2620942,52.4188,0.4166,16598258,16536787,61471,1.2294,1.3463,1.0203,7482694,5913152,1569542,31.3908,11.4278,321.96,307.562,379.46
server_015,0.737458,9144113,6336611,2807502,56.15,0.1603,16808959,16808553,406,0.0081,0.0027,0.0015,7615282,5940537,1674745,33.4949,10.895,39.9828,103.693,154.946
server_016,0.882923,5899666,3313087,2586579,51.7316,3.13084,13047045,12218409,828636,16.5727,10.9717,0.5032,4640038,3191998,1448040,28.9608,13.2011,21.283,28.0595,182.665
server_017,0.347634,6722113,4012960,2709153,54.1831,1.40634,13995474,12257335,1738139,34.7628,33.3467,24.503,5368886,3854221,1514665,30.2933,13.1336,227.349,229.825,285.602
server_018,0.34841,7432100,4433922,2998178,59.9636,0.73232,14516786,12712323,1804463,36.0893,34.5541,24.4585,5934748,4258791,1675957,33.5191,13.0504,226.611,229.508,296.023
server_019,0.342329,6641258,3952973,2688285,53.7657,1.50396,13919821,12130900,1788921,35.7784,34.1629,25.8278,5298675,3795396,1503279,30.0656,13.485,242.984,247.738,301.265
