Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.11069,2580488,2311231,269257,5.3851,3.40534,12555477,12141122,414355,8.2871,5.0593,2.8152,2580488,2311231,269257,5.3851,17.4118,81.9766,122.968,185.112
client_002,1.14657,4206911,3737542,469369,9.3874,2.19188,13478767,13237987,240780,4.8156,4.0954,1.0606,4206911,3737542,469369,9.3874,15.6314,60.0414,68.2337,186.506
client_003,0.857565,3667239,3258588,408651,8.173,2.741,12299446,11892100,407346,8.1469,7.167,5.2038,3667239,3258588,408651,8.173,18.7481,174.752,194.954,241.025
client_004,1.06156,2495230,1992987,502243,10.0449,9.9135,13087160,12558888,528272,10.5654,4.6876,1.7085,2495230,1992987,502243,10.0449,25.3983,29.9075,73.2586,146.257
client_005,0.909201,5084962,4486828,598134,11.9627,4.16272,14199423,13812084,387339,7.7468,6.5674,4.8051,5084962,4486828,598134,11.9627,18.4701,113.987,135.039,157.347
client_006,0.901544,3827904,3140562,687342,13.7468,2.64728,10628193,10125170,503023,10.0605,8.9254,5.2294,3827904,3140562,687342,13.7468,16.4641,112.312,122.509,175.023
client_007,1.01653,2292206,1487788,804418,16.0884,3.359,13271095,12704957,566138,11.3228,3.5002,2.4058,2292206,1487788,804418,16.0884,12.517,51.9328,139.126,173.368
client_008,1.06093,2668266,1990173,678093,13.5619,5.77122,13135502,12265991,869511,17.3902,6.2321,2.8908,2668266,1990173,678093,13.5619,13.9059,41.983,92.4644,156.277
server_001,0.939676,3965761,3459062,506699,10.134,1.79716,11748523,11338489,410034,8.2007,8.1889,4.4317,3965761,3459062,506699,10.134,23.9149,139.562,144.672,230.424
server_002,0.83757,7545753,6726145,819608,16.3922,0.223,16399792,16399408,384,0.0077,0.0028,0.0015,7545753,6726145,819608,16.3922,11.0036,40.3359,103.029,150.763
