Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.53474,15938689,15657088,281601,5.632,3.40698,11794815,11380634,414181,8.2836,5.0575,2.804,3232848,3113980,118868,2.3774,13.5091,82.0741,128.218,195.251
client_002,1.80685,22430849,21930888,499961,9.9992,1.87116,12360533,12119747,240786,4.8157,4.2846,1.0951,5682273,5376154,306119,6.1224,11.3471,60.5862,68.3563,189.382
client_003,1.10265,17009776,16579314,430462,8.6092,2.65654,11370665,10963312,407353,8.1471,7.2973,5.2668,4110916,3862620,248296,4.9659,12.8639,179.008,198.715,247.704
client_004,1.45957,14144434,13614680,529754,10.5951,9.63624,12394516,11866471,528045,10.5609,4.8851,1.7873,3167541,2877625,289916,5.7983,16.3555,30.9025,75.02,150.539
client_005,1.35176,21007283,20370414,636869,12.7374,3.9958,12948729,12561427,387302,7.746,6.643,4.857,5775980,5407365,368615,7.3723,12.5037,116.331,139.648,163.749
client_006,1.45898,16301804,15584937,716867,14.3373,2.64018,9528281,9025622,502659,10.0532,8.9862,5.2109,3686753,3335758,350995,7.0199,12.3458,114.915,130.056,189.855
client_007,1.53803,16314066,15459252,854814,17.0963,3.34968,12431603,11866022,565581,11.3116,3.5268,2.4086,2991398,2559994,431404,8.6281,10.1132,52.4887,143.278,180.577
client_008,1.51073,18231055,17500377,730678,14.6136,5.75388,12207577,11338327,869250,17.385,6.4129,2.8879,4467573,4096556,371017,7.4203,10.1003,42.7198,93.0838,162.353
server_001,1.49112,20008631,19499940,508691,10.1738,1.56484,10779891,10369879,410012,8.2002,8.2545,4.4949,4495370,4256223,239147,4.7829,15.3158,142.508,153.157,244.571
server_002,1.38258,34162697,33453200,709497,14.1899,0.22326,14895076,14894692,384,0.0077,0.0034,0.0018,6662378,6292867,369511,7.3902,9.87191,41.9896,104.72,162.42
server_003,1.36173,15216367,14321884,894483,17.8897,8.03322,11405560,10677632,727928,14.5586,14.6735,3.1351,4033879,3541372,492507,9.8501,16.3032,52.3978,61.977,196.603
server_004,1.04566,27545783,26465529,1080254,21.6051,4.40958,12761967,10759840,2002127,40.0425,15.7151,1.9597,5318006,4760032,557974,11.1595,14.836,20.4425,40.5541,165.16
server_009,1.09514,29256833,28176716,1080117,21.6023,2.78604,12800200,10555202,2244998,44.9,15.2999,1.2941,5571624,5030812,540812,10.8162,13.2132,17.8605,33.147,155.971
server_010,1.3306,24231691,23029408,1202283,24.0457,2.95854,11952730,10334555,1618175,32.3635,17.0547,1.2319,5541888,4932910,608978,12.1796,13.1126,20.5182,31.0286,153.57
server_011,1.61767,16451721,15210902,1240819,24.8164,5.4235,10924930,10292254,632676,12.6535,17.0624,1.9277,4853192,4229284,623908,12.4782,14.415,38.4685,37.6182,156.457
server_012,1.83752,18271608,16898530,1373078,27.4616,3.32942,10715582,10079495,636087,12.7217,18.906,1.3162,5517835,4821157,696678,13.9336,12.9689,36.445,30.4607,150.755
server_013,1.76497,17985600,16550435,1435165,28.7033,3.43218,10691346,10044292,647054,12.9411,20.5199,1.5722,5503715,4785623,718092,14.3618,13.3481,38.7434,31.602,152.113
server_014,1.42065,32552547,31064816,1487731,29.7546,0.38596,14987275,14925808,61467,1.2293,1.3057,0.9955,6665363,5773772,891591,17.8318,10.4525,323.22,321.647,395.637
server_015,1.48474,31517860,29979803,1538057,30.7611,0.16054,15179643,15179241,402,0.008,0.0033,0.0015,6724037,5827503,896534,17.9307,10.0356,41.2886,96.9576,165.169
server_016,1.836,19389010,17135516,2253494,45.0699,1.81298,11530657,10702215,828442,16.5688,8.1747,0.5,4795118,3560472,1234646,24.6929,10.1824,20.3595,30.9874,183.889
server_017,0.414063,24783575,22629129,2154446,43.0889,1.39926,12810645,11072855,1737790,34.7558,32.816,24.3015,4861401,3577118,1284283,25.6857,11.8307,234.499,241.514,299.158
server_018,0.423398,26767716,24381034,2386682,47.7336,0.7246,13188799,11384748,1804051,36.081,33.9358,24.4272,5344659,3921962,1422697,28.4539,11.6256,234.912,242.745,309.486
server_019,0.407096,24470668,22280944,2189724,43.7945,1.49724,12751930,10963393,1788537,35.7707,33.7265,25.445,4783678,3494102,1289576,25.7915,12.1123,250.032,259.18,317.054
server_020,0.426649,26768406,24262308,2506098,50.122,0.71542,13176474,11383889,1792585,35.8517,33.7504,24.245,5345034,3867385,1477649,29.553,11.5737,236.117,243.885,311.715
server_021,0.430334,26907957,24390286,2517671,50.3534,0.54072,13274792,11460730,1814062,36.2812,34.1621,24.2923,5463222,3971946,1491276,29.8255,11.5872,235.879,243.464,314.303
server_022,0.431878,26809207,24369980,2439227,48.7845,0.53306,13287648,11469544,1818104,36.3621,34.229,24.2369,5465874,4006191,1459683,29.1937,11.5379,236.94,244.42,316.977
server_023,1.64634,21718391,19121071,2597320,51.9464,2.24174,12631519,11672677,958842,19.1768,9.053,0.6692,5484328,4072048,1412280,28.2456,10.1069,22.2751,35.1352,207.887
server_024,1.61752,22113893,19405154,2708739,54.1748,2.21666,12869414,11879605,989809,19.7962,10.2594,0.7525,5597369,4107542,1489827,29.7965,10.0835,24.6981,37.6602,245.876
server_025,1.60773,24808112,22171038,2637074,52.7415,2.09658,13232458,12331747,900711,18.0142,9.1759,0.3984,6237061,4809264,1427797,28.5559,10.2406,19.3085,27.8353,190
server_026,1.59935,23077979,20083837,2994142,59.8828,2.38796,12994077,11930142,1063935,21.2787,12.8453,0.3922,5878473,4284776,1593697,31.8739,10.3968,19.8832,25.9563,210.069
server_027,1.59261,23268131,20266545,3001586,60.0317,2.45752,13048622,12030041,1018581,20.3716,11.3385,0.4645,5914419,4303405,1611014,32.2203,10.3013,19.6752,27.6999,195.111
server_028,1.53138,24499795,21408105,3091690,61.8338,1.91198,12655102,11215222,1439880,28.7976,8.43,0.5916,5963668,4279853,1683815,33.6763,10.1843,16.8532,29.7808,141.083
server_029,1.51196,24661826,21539674,3122152,62.443,1.8745,12682029,11220912,1461117,29.2223,11.3583,0.6827,5951402,4251782,1699620,33.9924,10.5088,17.9078,28.893,151.004
server_030,1.58755,24611124,21420089,3191035,63.8207,1.85668,12774196,11313880,1460316,29.2063,10.5084,0.1762,6035357,4281336,1754021,35.0804,10.393,14.8772,21.8032,127.114
server_031,1.49154,25096720,21878523,3218197,64.3639,2.00722,12944153,11706785,1237368,24.7474,7.9296,0.7268,6168105,4438192,1729913,34.5983,10.1626,18.0074,32.9904,143.911
server_032,1.61081,26360460,22902348,3458112,69.1622,1.73558,13204644,12069075,1135569,22.7114,6.0283,0.0636,6431664,4571031,1860633,37.2127,9.99873,13.6647,20.8306,113.678
server_033,1.72645,28633625,25153110,3480515,69.6103,1.42516,12153348,11517225,636123,12.7225,3.7542,0.3616,6796989,4568206,2228783,44.5757,10.0313,20.6247,34.6056,153.628
server_034,1.83096,28238039,24744517,3493522,69.8704,1.40428,12156105,11550331,605774,12.1155,1.1304,0.0961,6799371,4581021,2218350,44.367,10.0732,13.2084,27.8868,98.9596
server_035,1.33338,28902521,25369875,3532646,70.6529,1.37138,12089410,11446904,642506,12.8501,4.6262,3.5003,6782942,4449231,2333711,46.6742,10.6057,66.5052,171.688,200.677
server_036,1.74408,30131834,26098116,4033718,80.6744,0.46852,13755310,13751390,3920,0.0784,0.0369,0.0315,6285342,3856855,2428487,48.5697,10.1816,55.5666,160.643,164.606
server_037,1.73999,28832889,24646495,4186394,83.7279,1.1137,12406038,11970076,435962,8.7192,3.2465,0.4485,6756290,4100194,2656096,53.1219,10.1829,26.0632,41.7027,157.648
server_038,1.74381,28907833,24728679,4179154,83.5831,1.09646,12408538,11971292,437246,8.7449,3.364,0.4361,6756060,4085273,2670787,53.4157,10.1546,25.9281,39.5097,151.301
server_039,1.66686,29469873,25034216,4435657,88.7131,0.6967,13605301,13554248,51053,1.0211,0.0002,0.0002,6542402,3889973,2652429,53.0486,10.0781,11.0034,185.125,165.125
spec_gcc_001,1.48765,20966109,20738261,227848,4.557,5.50242,11722680,10950729,771951,15.439,3.5042,1.0438,4799774,4659644,140130,2.8026,15.3295,24.2423,73.7366,180.533
spec_gcc_002,0.227838,18521976,17928734,593242,11.8648,0.80094,13410782,8397296,5013486,100.2697,104.3154,59.2065,3392349,3018146,374203,7.4841,40.0151,336.313,320.737,529.865
