Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.53475,15939160,15657561,281599,5.632,3.40648,11794744,11380563,414181,8.2836,5.0571,2.8037,3232839,3113963,118876,2.3775,13.49,82.0694,128.217,195.26
client_002,1.80778,22437186,21935933,501253,10.0251,1.8557,12359876,12119086,240790,4.8158,4.2881,1.095,5681578,5375299,306279,6.1256,11.3856,60.478,68.206,188.967
client_003,1.103,17020049,16590034,430015,8.6003,2.63258,11360721,10953365,407356,8.1471,7.2856,5.2847,4111426,3862758,248668,4.9734,12.797,178.342,198.306,245.902
client_004,1.46195,14150716,13621353,529363,10.5873,9.57314,12391497,11863441,528056,10.5611,4.893,1.7872,3167132,2876967,290165,5.8033,16.3306,30.7789,74.7597,150.08
client_005,1.35442,21033535,20396725,636810,12.7362,3.958,12947863,12560557,387306,7.7461,6.629,4.8482,5776566,5407919,368647,7.3729,12.4629,116.342,139.836,163.955
client_006,1.46044,16301360,15584438,716922,14.3384,2.63848,9528784,9026133,502651,10.053,8.9769,5.2022,3686323,3334925,351398,7.028,12.3284,114.789,130.218,190.256
client_007,1.53755,16316247,15461521,854726,17.0945,3.34648,12431613,11866034,565579,11.3116,3.5238,2.4118,2991624,2560127,431497,8.6299,10.1484,52.7428,144.342,181.739
client_008,1.51162,18247663,17517142,730521,14.6104,5.74294,12207378,11338032,869346,17.3869,6.413,2.8882,4468023,4096448,371575,7.4315,10.1195,42.7064,93.109,162.393
server_001,1.49385,20012081,19503568,508513,10.1703,1.55512,10779743,10369723,410020,8.2004,8.2496,4.4855,4495095,4256143,238952,4.779,15.2733,142.159,152.783,244.255
server_002,1.38258,34162788,33453280,709508,14.1902,0.2232,14895073,14894689,384,0.0077,0.0034,0.0018,6662377,6292868,369509,7.3902,9.87192,41.9896,104.219,162.42
server_003,1.36526,15237748,14343415,894333,17.8867,7.96512,11402887,10674970,727917,14.5583,14.6627,3.1321,4033660,3541044,492616,9.8523,16.2718,52.4372,62.0091,196.792
server_004,1.04772,27556148,26476741,1079407,21.5881,4.33676,12759001,10756911,2002090,40.0418,15.6761,1.9543,5316560,4758655,557905,11.1581,14.7952,20.413,40.5441,165.131
server_009,1.09863,29272966,28193590,1079376,21.5875,2.73086,12796454,10551468,2244986,44.8997,15.2558,1.2747,5570502,5030163,540339,10.8068,13.1433,17.8261,32.9759,155.858
server_010,1.33312,24232018,23031061,1200957,24.0191,2.90116,11949916,10334108,1615808,32.3162,17.0422,1.2316,5541365,4933153,608212,12.1642,13.0854,20.5295,31.0592,153.916
server_011,1.62211,16467025,15225319,1241706,24.8341,5.35024,10921807,10289130,632677,12.6535,17.0492,1.9301,4850909,4226704,624205,12.4841,14.442,38.5157,37.6815,156.679
server_012,1.83744,18276645,16905326,1371319,27.4264,3.26484,10713315,10077218,636097,12.7219,18.8295,1.3451,5516491,4819707,696784,13.9357,12.9573,36.5325,30.7625,151.135
server_013,1.7693,18005411,16570837,1434574,28.6915,3.34924,10686293,10039243,647050,12.941,20.4736,1.5766,5502664,4787071,715593,14.3119,13.3968,38.7535,31.654,152.028
server_014,1.42089,32553358,31065615,1487743,29.7549,0.383,14987202,14925735,61467,1.2293,1.3061,0.996,6665492,5773868,891624,17.8325,10.4668,322.185,320.898,394.581
server_015,1.48474,31517861,29979804,1538057,30.7611,0.16052,15179642,15179240,402,0.008,0.0033,0.0015,6724037,5827502,896535,17.9307,10.0356,41.2886,96.9576,165.169
server_016,1.83737,19453926,17202740,2251186,45.0237,1.7856,11529268,10700825,828443,16.5689,8.0493,0.5013,4794790,3555646,1239144,24.7829,10.1576,20.3697,31.2306,184.581
server_017,0.41406,24781437,22626975,2154462,43.0892,1.39926,12810497,11072703,1737794,34.7559,32.8162,24.3017,4861330,3576996,1284334,25.6867,11.8393,234.561,241.592,299.263
server_018,0.423433,26769754,24383159,2386595,47.7319,0.72434,13188668,11384622,1804046,36.0809,33.9356,24.4272,5344659,3922023,1422636,28.4527,11.6426,234.911,242.762,309.509
server_019,0.407089,24469230,22279531,2189699,43.794,1.49706,12751891,10963355,1788536,35.7707,33.7266,25.4452,4783681,3494032,1289649,25.793,12.1012,250.049,259.224,317.111
server_020,0.426674,26769452,24263312,2506140,50.1228,0.71502,13176382,11383796,1792586,35.8517,33.7501,24.2451,5344997,3867356,1477641,29.5528,11.5847,236.106,243.888,311.715
server_021,0.430373,26907829,24390177,2517652,50.353,0.54052,13274717,11460659,1814058,36.2812,34.1621,24.2924,5463258,3971988,1491270,29.8254,11.5926,235.833,243.438,314.264
server_022,0.431866,26812352,24373090,2439262,48.7852,0.53276,13287567,11469472,1818095,36.3619,34.2295,24.2373,5465867,4006285,1459582,29.1916,11.5496,236.944,244.424,316.98
server_023,1.64819,21782764,19186869,2595895,51.9179,2.20414,12628927,11670079,958848,19.177,9.0676,0.6698,5484974,4066809,1418165,28.3633,10.1246,22.2349,35.0126,206.377
server_024,1.61899,22190415,19484910,2705505,54.1101,2.1883,12867838,11878031,989807,19.7961,10.2368,0.7528,5596575,4105519,1491056,29.8211,10.0816,24.7113,37.7387,246.289
server_025,1.60994,24894834,22256886,2637948,52.759,2.04352,13230493,12329778,900715,18.0143,9.1554,0.3963,6238996,4804805,1434191,28.6838,10.2431,19.206,27.6515,186.256
server_026,1.59925,23209074,20221484,2987590,59.7518,2.32394,12994248,11930327,1063921,21.2784,12.7763,0.3953,5887286,4287394,1599892,31.9978,10.3798,19.9067,26.0699,210.811
server_027,1.59231,23355875,20348741,3007134,60.1427,2.39146,13044046,12025482,1018564,20.3713,11.5149,0.4692,5917910,4311624,1606286,32.1257,10.3735,19.7447,27.5672,193
server_028,1.53201,24665161,21574822,3090339,61.8068,1.86704,12655447,11215555,1439892,28.7978,8.4335,0.5919,5962336,4265118,1697218,33.9444,10.2127,16.8515,29.7821,141.101
server_029,1.51211,24756643,21633777,3122866,62.4573,1.82832,12683022,11221905,1461117,29.2223,11.3513,0.6823,5949232,4234244,1714988,34.2998,10.5951,17.9007,28.8901,150.936
server_030,1.58981,24866158,21696686,3169472,63.3894,1.79626,12774024,11313708,1460316,29.2063,10.34,0.1761,6037314,4286325,1750989,35.0198,10.4642,14.8191,21.8409,127.093
server_031,1.49148,25246614,22023679,3222935,64.4587,1.9201,12945971,11708600,1237371,24.7474,7.9233,0.727,6165678,4418457,1747221,34.9444,10.1842,18.0098,33.0152,144.015
server_032,1.61079,26464302,22976811,3487491,69.7498,1.70074,13203677,12068108,1135569,22.7114,6.033,0.0636,6436635,4574308,1862327,37.2465,10.0626,13.6651,20.8156,113.678
server_033,1.72629,28609661,25120699,3488962,69.7792,1.3975,12153300,11517176,636124,12.7225,3.7563,0.3622,6795431,4562376,2233055,44.6611,10.0458,20.6329,34.6257,153.711
server_034,1.83097,28207171,24704778,3502393,70.0479,1.37322,12156106,11550332,605774,12.1155,1.1307,0.0962,6798333,4574457,2223876,44.4775,10.0875,13.209,27.8981,99.0705
server_035,1.33346,28885645,25339204,3546441,70.9288,1.34358,12089376,11446869,642507,12.8501,4.606,3.5002,6781434,4444556,2336878,46.7376,10.6321,66.5471,172.776,201.234
server_036,1.74418,30106962,26028456,4078506,81.5701,0.4679,13755302,13751382,3920,0.0784,0.0371,0.0316,6285348,3848787,2436561,48.7312,10.1894,55.3342,156.954,160.889
server_037,1.73999,28832963,24646568,4186395,83.7279,1.11364,12406032,11970070,435962,8.7192,3.2465,0.4485,6756285,4100183,2656102,53.122,10.183,26.0632,41.7027,157.648
server_038,1.7438,28907911,24728755,4179156,83.5831,1.09638,12408517,11971271,437246,8.7449,3.364,0.4361,6756066,4085271,2670795,53.4159,10.1545,25.9283,39.5102,151.305
server_039,1.66686,29469873,25034216,4435657,88.7131,0.6967,13605301,13554248,51053,1.0211,0.0002,0.0002,6542402,3889973,2652429,53.0486,10.0781,11.0034,185.125,165.125
spec_gcc_001,1.49036,20965760,20738302,227458,4.5492,5.4814,11723821,10951895,771926,15.4385,3.4067,1.0402,4799571,4659779,139792,2.7958,15.2917,24.2201,75.5143,181.917
spec_gcc_002,0.227738,18955988,18363408,592580,11.8516,0.58388,13406678,8393193,5013485,100.2697,104.3066,59.2567,3494459,3121948,372511,7.4502,40.6504,336.263,320.791,529.467
spec_gcc_003,0.260997,18068985,17334394,734591,14.6918,0.59904,12261828,6711031,5550797,111.0159,117.7251,72.8737,3347804,2868603,479201,9.584,48.855,452.454,427.336,658.033
spec_gobmk_001,1.42513,14140738,13774666,366072,7.3214,6.32442,9894062,9657427,236635,4.7327,1.7771,0.2921,3460815,3292056,168759,3.3752,8.34183,26.8878,45.2545,153.742
spec_gobmk_002,1.69101,16434928,15979733,455195,9.1039,6.95496,9987966,9914830,73136,1.4627,0.4803,0.3692,4744835,4534046,210789,4.2158,8.0839,55.6697,146.851,165.153
spec_perlbench_001,1.65707,20466773,20152045,314728,6.2946,2.51158,12044056,11800014,244042,4.8808,2.311,1.6923,4667054,4500006,167048,3.341,9.83561,67.8644,131.292,152.043
spec_x264_001,3.16925,7927839,7666076,261763,5.2353,1.45016,6540695,6472494,68201,1.364,0.7256,0.5564,1227640,1164269,63371,1.2674,9.46735,93.0699,156.667,178.277
