Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.52923,15931758,15649963,281795,5.6359,3.4157,11794286,11380106,414180,8.2836,5.0611,2.8333,3233574,3115021,118553,2.3711,13.213,82.8714,128.683,194.203
client_002,1.79177,22076947,21578856,498091,9.9618,2.19274,12374667,12133879,240788,4.8158,4.3204,1.1015,5656556,5359399,297157,5.9431,11.2469,60.5168,68.0287,188.573
client_003,1.09857,16895080,16464108,430972,8.6194,2.84156,11377371,10970021,407350,8.147,7.2971,5.2753,4105971,3862738,243233,4.8647,12.8528,179.159,198.422,246.892
client_004,1.43571,14045311,13516082,529229,10.5846,10.0717,12414650,11886599,528051,10.561,4.8798,1.7994,3166275,2881381,284894,5.6979,16.8836,30.6868,74.897,149.018
client_005,1.33877,20831588,20196696,634892,12.6978,4.31996,12962422,12575122,387300,7.746,6.644,4.8603,5768445,5407953,360492,7.2098,12.5789,116.269,139.013,162.787
client_006,1.45873,16289818,15573045,716773,14.3355,2.6615,9531314,9028664,502650,10.053,8.9833,5.1979,3687235,3337261,349974,6.9995,12.2111,113.718,128.116,186.916
client_007,1.53422,16302495,15448355,854140,17.0828,3.37412,12435126,11869561,565565,11.3113,3.5407,2.4165,2990347,2566788,423559,8.4712,10.1945,51.7285,139.626,175.375
client_008,1.50785,18237191,17507590,729601,14.592,5.7942,12208275,11338917,869358,17.3872,6.4022,2.8905,4466306,4095969,370337,7.4067,10.1243,42.7847,93.3056,162.435
server_001,1.47866,19844509,19335902,508607,10.1721,1.75914,10788147,10378135,410012,8.2002,8.289,4.5067,4494264,4260009,234255,4.6851,14.9407,142.087,151.527,241.955
server_002,1.38261,34162703,33453265,709438,14.1888,0.22332,14895063,14894679,384,0.0077,0.0029,0.0014,6662368,6292877,369491,7.3898,9.86683,40.9401,92.2448,152.515
server_003,1.3309,14834931,13945157,889774,17.7955,8.94218,11445000,10717063,727937,14.5587,14.6463,3.0726,4037322,3561952,475370,9.5074,16.2951,52.1556,61.3385,197.198
server_004,1.01814,26762417,25690738,1071679,21.4336,5.65928,12816207,10812047,2004160,40.0832,15.7422,1.9991,5315910,4774788,541122,10.8224,14.5716,20.3865,40.78,163.962
server_009,1.07749,28557889,27484222,1073667,21.4733,3.7989,12842749,10597161,2245588,44.9118,15.498,1.2706,5564251,5040202,524049,10.481,12.7958,17.7562,32.5802,153.953
server_010,1.25717,24157058,22964009,1193049,23.861,4.09942,11997531,10335926,1661605,33.2321,19.9083,1.2705,5537836,4953903,583933,11.6787,12.6282,21.9904,29.7096,153.018
server_011,1.5749,15729113,14498508,1230605,24.6121,6.59292,10975978,10343298,632680,12.6536,17.0165,1.8764,4857985,4259942,598043,11.9609,13.9327,38.0398,37.1121,155.733
server_012,1.76747,17340380,15977423,1362957,27.2591,4.59734,10767966,10131825,636141,12.7228,18.9787,1.3628,5506566,4836004,670562,13.4112,12.4027,36.6057,30.7253,149.931
server_013,1.69252,17036978,15617548,1419430,28.3886,4.80536,10750569,10103515,647054,12.9411,20.4072,1.5829,5503644,4820102,683542,13.6708,12.734,38.6611,31.6893,151.455
