Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.53394,15891781,15610044,281737,5.6347,3.45554,11795532,11381360,414172,8.2834,5.0667,2.8103,3218844,3099820,119024,2.3805,13.3681,82.0379,127.979,194.736
client_002,1.79817,21858673,21357280,501393,10.0279,2.23452,12368427,12127648,240779,4.8156,4.2992,1.0948,5636775,5336005,300770,6.0154,11.1327,60.8092,68.2843,189.814
client_003,1.0817,15746653,15314956,431697,8.6339,4.11346,11422787,11015452,407335,8.1467,7.3185,5.2643,4042773,3819446,223327,4.4665,12.3425,179.201,197.688,247.111
client_004,1.39779,13604638,13072892,531746,10.6349,11.2548,12478340,11950241,528099,10.562,4.8999,1.7866,3138000,2871481,266519,5.3304,16.9207,30.3975,73.9291,148.064
client_005,1.31092,19406580,18772506,634074,12.6815,6.05884,13018374,12631095,387279,7.7456,6.635,4.8421,5668501,5330373,338128,6.7626,11.9637,115.809,138.079,161.908
client_006,1.45868,15862257,15145073,717184,14.3437,2.86536,9531000,9028352,502648,10.053,8.979,5.2046,3587994,3236758,351236,7.0247,12.302,114.579,129.7,189.318
client_007,1.50672,15667096,14803535,863561,17.2712,4.0741,12503730,11938062,565668,11.3134,3.5256,2.4132,2901500,2595151,306349,6.127,10.2249,52.0082,141.153,177.071
client_008,1.49738,17808717,17079785,728932,14.5786,6.28816,12226193,11356902,869291,17.3858,6.3001,2.9102,4426404,4071999,354405,7.0881,9.95636,42.877,95.2099,162.88
server_001,1.48464,19528182,19014521,513661,10.2732,1.90734,10792026,10382023,410003,8.2001,8.2676,4.4811,4479517,4246633,232884,4.6577,14.5618,142.604,152.578,244.641
server_002,1.38154,30852006,30117900,734106,14.6821,0.576,14884869,14884485,384,0.0077,0.0033,0.0018,6635345,6249639,385706,7.7141,9.27033,42.2422,109.399,160.352
server_003,1.2469,14078935,13200954,877981,17.5596,11.2032,11554760,10826810,727950,14.559,14.6257,3.0591,4021589,3566111,455478,9.1096,16.1996,52.0091,61.0916,196.59
server_004,0.959101,25613909,24553032,1060877,21.2175,8.2844,12945410,10941286,2004124,40.0825,15.665,1.9345,5298869,4770053,528816,10.5763,14.4196,20.3283,40.2539,164.374
server_009,1.07823,28521126,27450463,1070663,21.4133,3.77004,12838337,10593391,2244946,44.8989,15.2518,1.2613,5570507,5055595,514912,10.2982,12.3466,17.8082,32.8103,155.464
