Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.53456,15938261,15656718,281543,5.6309,3.40768,11794804,11380623,414181,8.2836,5.0565,2.8036,3232845,3113941,118904,2.3781,13.3415,82.005,128.134,195.092
client_002,1.79247,22252351,21752375,499976,9.9995,2.0987,12372307,12131525,240782,4.8156,4.2761,1.1003,5664957,5364129,300828,6.0166,11.4134,60.9438,69.0282,190.743
client_003,1.1005,16974880,16544946,429934,8.5987,2.73162,11370292,10962935,407357,8.1471,7.272,5.2581,4107871,3861021,246850,4.937,12.9956,178.442,198.656,247.154
client_004,1.44226,14099109,13569337,529772,10.5954,9.9051,12406316,11878264,528052,10.561,4.8337,1.7891,3167745,2878464,289281,5.7856,16.8693,30.6004,75.0964,149.016
client_005,1.3443,20934889,20298790,636099,12.722,4.1462,12955009,12567721,387288,7.7458,6.6524,4.8587,5772836,5406846,365990,7.3198,12.6452,116.359,139.14,163.224
client_006,1.45862,16303940,15587213,716727,14.3345,2.6479,9529976,9027315,502661,10.0532,8.9758,5.1908,3687596,3337105,350491,7.0098,12.3142,114.422,129.32,189.094
client_007,1.53484,16302609,15447772,854837,17.0967,3.3577,12432220,11866643,565577,11.3115,3.5332,2.4197,2989846,2562627,427219,8.5444,10.1555,52.913,144.117,181.3
client_008,1.50862,18231585,17501795,729790,14.5958,5.76384,12207433,11338075,869358,17.3872,6.3945,2.8911,4467556,4096447,371109,7.4222,10.1547,42.717,93.346,162.29
server_001,1.47928,19924220,19416176,508044,10.1609,1.71994,10787610,10377580,410030,8.2006,8.2696,4.49,4497771,4260026,237745,4.7549,15.152,141.791,151.042,241.399
server_002,1.38258,34162947,33453460,709487,14.1897,0.22306,14895063,14894679,384,0.0077,0.0033,0.0018,6662371,6292859,369512,7.3902,9.87136,41.9401,106.418,158.656
server_003,1.33227,15029779,14137300,892479,17.8496,8.6254,11431235,10703312,727923,14.5585,14.6376,3.0926,4041002,3553293,487709,9.7542,16.4442,52.4486,61.6076,197.052
server_004,1.02337,27128634,26052592,1076042,21.5208,5.27472,12799708,10797569,2002139,40.0428,15.744,1.9692,5324895,4774219,550676,11.0135,14.8484,20.4088,40.4471,163.806
server_009,1.07479,28824994,27747630,1077364,21.5473,3.5404,12832501,10587446,2245055,44.9011,15.5096,1.3188,5571890,5034129,537761,10.7552,13.0594,17.8695,33.0902,154.68
server_010,1.30164,23714556,22516380,1198176,23.9635,3.81842,11988509,10370218,1618291,32.3658,17.143,1.2342,5542666,4941313,601353,12.0271,12.8817,20.5066,30.9213,152.573
server_011,1.5787,16012733,14776479,1236254,24.7251,6.24882,10961526,10328847,632679,12.6536,17.0123,1.9028,4861328,4245267,616061,12.3212,14.2454,38.2202,37.3477,155.619
server_012,1.77379,17689002,16321209,1367793,27.3559,4.2957,10759828,10123722,636106,12.7221,19.0148,1.3412,5517696,4827664,690032,13.8006,12.7321,36.4875,30.5712,150.462
server_013,1.69921,17377852,15951414,1426438,28.5288,4.4573,10739346,10092312,647034,12.9407,20.569,1.5907,5506836,4799033,707803,14.1561,13.1594,38.8145,31.6627,151.494
server_014,1.41718,32547283,31059355,1487928,29.7586,0.40936,14988050,14926580,61470,1.2294,1.308,0.9989,6665211,5773832,891379,17.8276,10.4872,321.102,316.284,387.993
server_015,1.48474,31518339,29980271,1538068,30.7614,0.16036,15179642,15179240,402,0.008,0.0033,0.0015,6724028,5827487,896541,17.9308,10.035,41.4527,92.9693,156.737
server_016,1.81455,18379710,16140269,2239441,44.7888,2.5236,11562316,10733865,828451,16.569,8.1488,0.4998,4783030,3598185,1184845,23.6969,9.86869,20.4831,31.2132,186.902
server_017,0.414035,24777312,22623074,2154238,43.0848,1.40472,12810685,11072903,1737782,34.7556,32.8152,24.3,4861259,3577275,1283984,25.6797,11.8151,234.605,241.602,299.288
server_018,0.423426,26761496,24375059,2386437,47.7287,0.73054,13189073,11385037,1804036,36.0807,33.9362,24.4275,5344606,3921996,1422610,28.4522,11.6244,234.865,242.672,309.384
server_019,0.407075,24463330,22274320,2189010,43.7802,1.50272,12752165,10963633,1788532,35.7706,33.7261,25.4449,4783466,3493565,1289901,25.798,12.0635,250.015,259.154,317.017
server_020,0.426635,26758056,24252027,2506029,50.1206,0.72162,13176494,11383914,1792580,35.8516,33.7504,24.2457,5344621,3866433,1478188,29.5638,11.5632,236.069,243.846,311.653
server_021,0.430365,26897315,24379641,2517674,50.3535,0.54742,13274732,11460681,1814051,36.281,34.1625,24.2928,5463005,3971793,1491212,29.8242,11.5804,235.799,243.367,314.163
server_022,0.431855,26803176,24363997,2439179,48.7836,0.53922,13287762,11469671,1818091,36.3618,34.2303,24.2374,5465601,4005905,1459696,29.1939,11.5284,236.94,244.41,316.968
server_023,1.62775,20490069,17910681,2579388,51.5878,3.08676,12668076,11709228,958848,19.177,9.2405,0.6701,5466017,4118298,1347719,26.9544,9.83335,22.3171,34.8136,207.277
server_024,1.59869,20742670,18051967,2690703,53.8141,3.13314,12904002,11914209,989793,19.7959,10.4975,0.7556,5571646,4148428,1423218,28.4644,9.76964,24.813,37.3359,245.76
server_025,1.58326,23584311,20965556,2618755,52.3751,3.03182,13270171,12369411,900760,18.0152,9.5165,0.3942,6214464,4851244,1363220,27.2644,9.91524,19.2638,27.3453,187.806
server_026,1.57052,21819892,18856847,2963045,59.2609,3.4605,13044281,11980354,1063927,21.2785,13.0122,0.3939,5852417,4334641,1517776,30.3555,10.0552,19.9209,25.9152,210.177
server_027,1.5642,21869032,18890126,2978906,59.5781,3.5698,13099802,12081218,1018584,20.3717,11.2824,0.4733,5889864,4363688,1526176,30.5235,10.0106,19.747,27.8582,195.064
server_028,1.52522,23574728,20469847,3104881,62.0976,2.43424,12668081,11227991,1440090,28.8018,8.5379,0.5898,5927727,4275177,1652550,33.051,9.99625,16.8728,29.6296,141.12
server_029,1.50483,23695383,20555831,3139552,62.791,2.45306,12693049,11231901,1461148,29.223,11.6772,0.6852,5913083,4281606,1631477,32.6295,10.4551,17.9542,28.7464,152.129
server_030,1.58248,23831099,20662984,3168115,63.3623,2.4053,12794596,11334280,1460316,29.2063,10.2505,0.1731,5991292,4276189,1715103,34.3021,10.2334,14.7898,21.8213,127.182
server_031,1.48346,24183433,20958546,3224887,64.4977,2.55868,12962384,11724713,1237671,24.7534,7.7592,0.7335,6110137,4385209,1724928,34.4986,10.0918,17.9321,33.3386,143.228
server_032,1.60282,24942524,21520026,3422498,68.45,2.44008,13225605,12090037,1135568,22.7114,6.0867,0.0629,6400294,4585722,1814572,36.2914,9.82072,13.6399,20.7944,113.693
server_033,1.7262,28387061,24905910,3481151,69.623,1.43652,12153668,11517544,636124,12.7225,3.7566,0.3623,6794010,4581718,2212292,44.2458,10.0295,20.6329,34.6042,153.431
server_034,1.83099,28112169,24615004,3497165,69.9433,1.41634,12159928,11554154,605774,12.1155,1.1317,0.0958,6795550,4573406,2222144,44.4429,10.0767,13.21,27.8407,98.8672
