Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.53468,15935632,15654097,281535,5.6307,3.40856,11794769,11380590,414179,8.2836,5.0567,2.803,3232786,3113931,118855,2.3771,13.4348,82.0763,128.159,195.182
client_002,1.79017,22154099,21657822,496277,9.9255,2.1601,12375471,12134683,240788,4.8158,4.2974,1.098,5657187,5358778,298409,5.9682,11.2027,60.7793,68.4064,189.639
client_003,1.0999,16952714,16522312,430402,8.608,2.76704,11368536,10961190,407346,8.1469,7.2796,5.2761,4106926,3861245,245681,4.9136,13.0066,179.371,199.43,247.646
client_004,1.439,14093275,13563542,529733,10.5947,9.9354,12408000,11879946,528054,10.5611,4.8348,1.8014,3166834,2878243,288591,5.7718,16.8956,30.6455,75.3797,148.775
client_005,1.34012,20907155,20271258,635897,12.7179,4.2194,12958444,12571145,387299,7.746,6.6371,4.8551,5771160,5407767,363393,7.2679,12.6618,116.134,138.998,162.773
client_006,1.4581,16300364,15583484,716880,14.3376,2.6539,9530284,9027623,502661,10.0532,8.9788,5.1913,3687749,3337161,350588,7.0118,12.2805,114.336,129.119,188.792
client_007,1.5335,16304332,15450251,854081,17.0816,3.36378,12432827,11867256,565571,11.3114,3.5292,2.4212,2990610,2567349,423261,8.4652,10.1177,52.7955,143.636,180.279
client_008,1.50924,18232563,17502491,730072,14.6014,5.76958,12208897,11339540,869357,17.3871,6.4156,2.8897,4467154,4096074,371080,7.4216,10.1671,42.6916,93.022,162.182
server_001,1.47305,19850935,19340990,509945,10.1989,1.78514,10789624,10379611,410013,8.2003,8.2906,4.516,4494561,4258242,236319,4.7264,15.0345,141.793,150.836,240.245
server_002,1.38258,34162827,33453324,709503,14.1901,0.22302,14895068,14894684,384,0.0077,0.0037,0.002,6662363,6292863,369500,7.39,9.87294,41.2656,99.5109,149.898
server_003,1.32933,14916362,14025009,891353,17.8271,8.82804,11438095,10710167,727928,14.5586,14.6861,3.0744,4035591,3555265,480326,9.6065,16.3404,52.2709,61.0598,196.287
server_004,1.01753,26817141,25746007,1071134,21.4227,5.67006,12817486,10813334,2004152,40.083,15.7348,1.9589,5314591,4772554,542037,10.8407,14.6588,20.3523,40.3062,163.426
server_009,1.0718,28562546,27489026,1073520,21.4704,3.88064,12847760,10602710,2245050,44.901,15.3552,1.2867,5558966,5035534,523432,10.4686,12.8861,17.8135,32.9085,154.588
server_010,1.28704,23390033,22195329,1194704,23.8941,4.22716,12008522,10392682,1615840,32.3168,17.1367,1.2647,5527924,4940053,587871,11.7574,12.8079,20.5385,31.1806,152.372
