Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.5346,15938672,15657107,281565,5.6313,3.40762,11794750,11380567,414183,8.2837,5.057,2.8036,3232876,3114010,118866,2.3773,13.2929,82.0902,128.237,195.298
client_002,1.79262,22253094,21752772,500322,10.0064,2.09576,12372078,12131296,240782,4.8156,4.2801,1.1011,5664514,5363498,301016,6.0203,11.3812,60.7679,68.6958,189.475
client_003,1.10021,16977518,16547066,430452,8.609,2.73136,11370187,10962835,407352,8.147,7.2713,5.2654,4108310,3861377,246933,4.9387,12.9342,178.825,199.061,247.346
client_004,1.44215,14102323,13572448,529875,10.5975,9.89514,12405732,11877683,528049,10.561,4.8292,1.7887,3167716,2878345,289371,5.7874,16.8936,30.6094,75.2374,149.293
client_005,1.34385,20935127,20298862,636265,12.7253,4.14638,12954916,12567625,387291,7.7458,6.6489,4.8599,5772585,5406742,365843,7.3169,12.6217,116.582,139.45,163.521
client_006,1.45561,16301291,15584640,716651,14.333,2.64734,9529111,9026452,502659,10.0532,8.9728,5.2202,3687306,3336526,350780,7.0156,12.284,115.4,130.535,190.058
client_007,1.53618,16305516,15450798,854718,17.0944,3.35802,12432331,11866753,565578,11.3116,3.5248,2.4146,2990651,2563802,426849,8.537,10.1542,52.502,142.915,179.497
client_008,1.50837,18232221,17502464,729757,14.5951,5.7641,12207366,11338003,869363,17.3873,6.3942,2.8911,4467611,4096647,370964,7.4193,10.155,42.7283,93.3671,162.328
server_001,1.47934,19924233,19416198,508035,10.1607,1.7201,10786822,10376798,410024,8.2005,8.2691,4.4887,4497821,4260424,237397,4.7479,15.2058,141.397,150.648,240.726
server_002,1.38258,34162899,33453413,709486,14.1897,0.22318,14895064,14894680,384,0.0077,0.003,0.0015,6662375,6292871,369504,7.3901,9.86774,41.9896,95.4474,153.173
server_003,1.33686,15033769,14141346,892423,17.8485,8.5952,11429849,10701927,727922,14.5584,14.6634,3.0811,4039492,3551341,488151,9.763,16.4687,52.3097,61.364,196.98
server_004,1.02412,27132853,26056319,1076534,21.5307,5.25452,12798544,10794347,2004197,40.0839,15.7528,1.9673,5324438,4773102,551336,11.0267,14.8384,20.4032,40.4397,163.991
server_009,1.07481,28825406,27747991,1077415,21.5483,3.53584,12832384,10587389,2244995,44.8999,15.5094,1.3186,5571453,5033591,537862,10.7572,13.0563,17.8623,33.065,154.4
server_010,1.29944,23710701,22512415,1198286,23.9657,3.81654,11989440,10371215,1618225,32.3645,17.1516,1.2521,5542390,4940619,601771,12.0354,12.8972,20.5195,31.0664,152.45
server_011,1.57627,16008898,14772285,1236613,24.7323,6.23082,10962201,10329529,632672,12.6534,17.0688,1.915,4860754,4244372,616382,12.3276,14.2423,38.3148,37.3669,155.293
server_012,1.7742,17691877,16324191,1367686,27.3537,4.29174,10759430,10123325,636105,12.7221,19.0081,1.3396,5517546,4827783,689763,13.7953,12.7164,36.4695,30.5392,150.131
server_013,1.69981,17376389,15949830,1426559,28.5312,4.44868,10739042,10092000,647042,12.9408,20.5685,1.5908,5504898,4797179,707719,14.1544,13.1677,38.8074,31.6628,151.48
server_014,1.41732,32546633,31058807,1487826,29.7565,0.41076,14988170,14926700,61470,1.2294,1.3087,0.9963,6665163,5773941,891222,17.8244,10.5055,319.624,314.815,387.28
server_015,1.48474,31518391,29980365,1538026,30.7605,0.16034,15179638,15179236,402,0.008,0.003,0.0013,6724038,5827521,896517,17.9303,10.0335,41.194,85.9733,152.554
server_016,1.81426,18383075,16143749,2239326,44.7865,2.52196,11562202,10733746,828456,16.5691,8.1546,0.4997,4783038,3597729,1185309,23.7062,9.86531,20.4639,31.1278,185.723
server_017,0.414027,24777363,22623166,2154197,43.0839,1.40518,12810735,11072956,1737779,34.7556,32.8152,24.3001,4861260,3577403,1283857,25.6771,11.8211,234.628,241.626,299.319
server_018,0.423417,26762038,24375576,2386462,47.7292,0.73076,13189064,11385028,1804036,36.0807,33.9365,24.4275,5344629,3922060,1422569,28.4514,11.6249,234.903,242.733,309.472
server_019,0.407103,24463045,22273940,2189105,43.7821,1.5034,12752123,10963584,1788539,35.7708,33.7264,25.4445,4783525,3493773,1289752,25.795,12.0559,249.95,259.049,316.886
server_020,0.426651,26757014,24250951,2506063,50.1213,0.72158,13176501,11383918,1792583,35.8517,33.7505,24.2456,5344573,3866350,1478223,29.5645,11.5555,236.072,243.824,311.625
server_021,0.430367,26897943,24380251,2517692,50.3538,0.54738,13274786,11460736,1814050,36.281,34.1626,24.2927,5463003,3971720,1491283,29.8257,11.58,235.808,243.369,314.168
server_022,0.431866,26801552,24362280,2439272,48.7854,0.5392,13287806,11469714,1818092,36.3618,34.2303,24.2373,5465628,4005824,1459804,29.1961,11.5263,236.897,244.373,316.916
server_023,1.62824,20501456,17921795,2579661,51.5932,3.0839,12667494,11708648,958846,19.1769,9.2397,0.6685,5466385,4117725,1348660,26.9732,9.82919,22.3235,34.8144,207.793
server_024,1.59873,20756894,18066063,2690831,53.8166,3.12502,12903480,11913695,989785,19.7957,10.4942,0.7554,5572936,4146767,1426169,28.5234,9.76173,24.8189,37.3483,245.931
server_025,1.58334,23622176,21002445,2619731,52.3946,3.0182,13269822,12369062,900760,18.0152,9.5159,0.3942,6216351,4852957,1363394,27.2679,9.93733,19.2782,27.3714,188.449
server_026,1.57067,21865391,18900861,2964530,59.2906,3.44104,13042977,11979048,1063929,21.2786,13.0102,0.3942,5852785,4333662,1519123,30.3825,10.0749,19.9098,25.8987,209.47
server_027,1.56412,21918156,18938020,2980136,59.6027,3.5663,13098425,12079841,1018584,20.3717,11.2826,0.4729,5892066,4365671,1526395,30.5279,10.0112,19.7543,27.8673,195.433
server_028,1.52559,23746331,20636815,3109516,62.1903,2.39152,12667249,11227154,1440095,28.8019,8.5407,0.5896,5927134,4257380,1669754,33.3951,10.0544,16.8723,29.6239,141.112
server_029,1.50481,23892798,20750255,3142543,62.8509,2.39882,12690368,11229221,1461147,29.2229,11.6682,0.6853,5914026,4254309,1659717,33.1943,10.4848,17.9519,28.7551,152.147
server_030,1.58232,23833026,20664609,3168417,63.3683,2.4028,12794723,11334406,1460317,29.2063,10.2524,0.1733,5991393,4276212,1715181,34.3036,10.2351,14.7906,21.8239,127.203
server_031,1.48307,24319665,21089804,3229861,64.5972,2.49304,12962028,11724385,1237643,24.7529,7.7655,0.7336,6114434,4388506,1725928,34.5186,10.1023,17.9332,33.3287,143.221
server_032,1.6028,25109387,21684358,3425029,68.5006,2.398,13224662,12089094,1135568,22.7114,6.0831,0.0629,6405882,4596109,1809773,36.1955,9.83809,13.6396,20.7948,113.693
server_033,1.7262,28387382,24906246,3481136,69.6227,1.4364,12153662,11517538,636124,12.7225,3.7566,0.3623,6794012,4581639,2212373,44.2475,10.0296,20.6333,34.6065,153.455
server_034,1.83098,28112326,24615190,3497136,69.9427,1.41602,12159944,11554170,605774,12.1155,1.1314,0.0958,6795581,4573333,2222248,44.445,10.077,13.2099,27.8441,98.8739
server_035,1.33369,28880283,25346492,3533791,70.6758,1.38882,12090302,11447798,642504,12.8501,4.6265,3.5003,6775977,4441699,2334278,46.6856,10.6387,66.5433,171.793,200.832
server_036,1.74376,30108294,26029779,4078515,81.5703,0.4691,13755310,13751390,3920,0.0784,0.038,0.0317,6285355,3848666,2436689,48.7338,10.1907,55.8707,146.264,151.465
server_037,1.73993,28831559,24645172,4186387,83.7277,1.11434,12406052,11970090,435962,8.7192,3.2469,0.4487,6756290,4100291,2655999,53.12,10.1821,26.0682,41.7174,157.722
server_038,1.74379,28907238,24728086,4179152,83.583,1.0968,12408524,11971278,437246,8.7449,3.364,0.436,6756064,4085251,2670813,53.4163,10.1541,25.9271,39.5025,151.273
server_039,1.66686,29469560,25033862,4435698,88.714,0.69674,13605301,13554248,51053,1.0211,0.0006,0.0006,6542390,3889908,2652482,53.0496,10.079,11.0034,168.625,148.625
spec_gcc_001,1.48804,20950608,20722603,228005,4.5601,5.5333,11724923,10952995,771928,15.4386,3.3615,1.0438,4797026,4657276,139750,2.795,15.5092,24.1605,76.3348,181.51
spec_gcc_002,0.228521,18884218,18291463,592755,11.8551,0.62594,13414480,8400999,5013481,100.2696,104.3029,59.0463,3485723,3113606,372117,7.4423,39.4106,336.283,320.582,530.965
spec_gcc_003,0.259176,18070052,17332486,737566,14.7513,0.66072,12268680,6717880,5550800,111.016,117.7461,73.1328,3350037,2871937,478100,9.562,47.9439,452.962,427.782,656.537
spec_gobmk_001,1.42478,14138004,13771955,366049,7.321,6.33168,9894250,9657613,236637,4.7327,1.7676,0.2891,3460289,3291708,168581,3.3716,8.32298,26.8097,45.1723,153.971
spec_gobmk_002,1.6909,16434768,15979516,455252,9.105,6.95756,9987942,9914806,73136,1.4627,0.48,0.3691,4744962,4534161,210801,4.216,8.08456,55.7183,147.025,165.345
spec_perlbench_001,1.65552,20455446,20140460,314986,6.2997,2.52562,12044477,11800437,244040,4.8808,2.3123,1.6929,4666261,4499609,166652,3.333,9.97305,67.8641,131.144,151.875
spec_x264_001,3.16922,7927506,7665755,261751,5.235,1.4504,6540710,6472509,68201,1.364,0.7255,0.5563,1227546,1164162,63384,1.2677,9.46761,93.0699,156.665,178.28
