Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.5346,15938758,15657181,281577,5.6315,3.40768,11794760,11380577,414183,8.2837,5.057,2.8036,3232873,3113992,118881,2.3776,13.2928,82.0862,128.233,195.289
client_002,1.79256,22252220,21751962,500258,10.0052,2.09852,12372156,12131375,240781,4.8156,4.2798,1.1011,5664070,5363188,300882,6.0176,11.3802,60.7379,68.6685,189.364
client_003,1.10005,16978062,16547749,430313,8.6063,2.72958,11363993,10956641,407352,8.147,7.2727,5.2978,4108211,3861223,246988,4.9398,12.9536,178.069,198.253,244.775
client_004,1.44216,14101790,13571900,529890,10.5978,9.8977,12405883,11877836,528047,10.5609,4.8297,1.7892,3167686,2878290,289396,5.7879,16.8972,30.6291,75.292,149.408
client_005,1.34398,20935529,20299249,636280,12.7256,4.14638,12954861,12567571,387290,7.7458,6.6503,4.8598,5772660,5406764,365896,7.3179,12.6501,116.577,139.434,163.54
client_006,1.45555,16301200,15584544,716656,14.3331,2.64734,9529104,9026445,502659,10.0532,8.9729,5.2201,3687301,3336513,350788,7.0158,12.2745,115.421,130.543,190.077
client_007,1.53618,16305555,15450838,854717,17.0943,3.35806,12432334,11866756,565578,11.3116,3.5248,2.4146,2990663,2563817,426846,8.5369,10.1421,52.4989,142.857,179.413
client_008,1.50841,18232691,17502987,729704,14.5941,5.76348,12207414,11338051,869363,17.3873,6.394,2.891,4467670,4096671,370999,7.42,10.1548,42.7137,93.3208,162.226
server_001,1.47953,19919941,19411837,508104,10.1621,1.71982,10786595,10376572,410023,8.2005,8.2765,4.4891,4497762,4260152,237610,4.7522,15.2656,141.5,150.717,241.049
server_002,1.38258,34162899,33453413,709486,14.1897,0.22318,14895064,14894680,384,0.0077,0.003,0.0015,6662375,6292871,369504,7.3901,9.86774,41.7161,94.7566,151.773
server_003,1.33665,15034447,14141870,892577,17.8515,8.59634,11429904,10701973,727931,14.5586,14.6635,3.0821,4039798,3551798,488000,9.76,16.4891,52.3547,61.4251,197.205
server_004,1.02402,27134389,26057848,1076541,21.5308,5.25508,12798605,10794412,2004193,40.0839,15.7522,1.9684,5324305,4773010,551295,11.0259,14.851,20.4017,40.4483,163.969
server_009,1.07489,28825959,27748651,1077308,21.5462,3.53476,12832295,10587300,2244995,44.8999,15.5088,1.3184,5571319,5033605,537714,10.7543,13.0586,17.86,33.0583,154.341
server_010,1.29948,23710854,22512543,1198311,23.9662,3.81606,11989416,10371192,1618224,32.3645,17.1527,1.2521,5542258,4940475,601783,12.0357,12.8976,20.5195,31.0645,152.44
server_011,1.57629,16006332,14769867,1236465,24.7293,6.23286,10962273,10329598,632675,12.6535,17.0664,1.9143,4860865,4244973,615892,12.3178,14.2345,38.3178,37.3641,155.309
server_012,1.77419,17692624,16324769,1367855,27.3571,4.29134,10759414,10123308,636106,12.7221,19.012,1.3395,5517493,4827710,689783,13.7957,12.7191,36.475,30.543,150.234
server_013,1.69987,17375247,15948815,1426432,28.5286,4.44956,10739055,10092013,647042,12.9408,20.569,1.5908,5505139,4797484,707655,14.1531,13.1646,38.8051,31.6591,151.44
server_014,1.41729,32546538,31058745,1487793,29.7559,0.41076,14988079,14926610,61469,1.2294,1.3082,0.9957,6665177,5773957,891220,17.8244,10.5073,319.694,314.922,387.498
server_015,1.48474,31518401,29980375,1538026,30.7605,0.16032,15179638,15179236,402,0.008,0.003,0.0013,6724037,5827520,896517,17.9303,10.0335,41.194,85.9733,152.554
server_016,1.81428,18384387,16145024,2239363,44.7873,2.52164,11562156,10733700,828456,16.5691,8.1536,0.4997,4783032,3597736,1185296,23.7059,9.86569,20.4637,31.1291,185.723
server_017,0.414027,24777363,22623166,2154197,43.0839,1.40518,12810735,11072956,1737779,34.7556,32.8152,24.3001,4861260,3577403,1283857,25.6771,11.8211,234.628,241.626,299.319
server_018,0.423417,26762038,24375576,2386462,47.7292,0.73076,13189064,11385028,1804036,36.0807,33.9365,24.4275,5344629,3922060,1422569,28.4514,11.6249,234.903,242.733,309.472
server_019,0.407103,24463045,22273940,2189105,43.7821,1.5034,12752123,10963584,1788539,35.7708,33.7264,25.4445,4783525,3493773,1289752,25.795,12.0559,249.95,259.049,316.886
server_020,0.426651,26757014,24250951,2506063,50.1213,0.72158,13176501,11383918,1792583,35.8517,33.7505,24.2456,5344573,3866350,1478223,29.5645,11.5555,236.072,243.824,311.625
server_021,0.430367,26897943,24380251,2517692,50.3538,0.54738,13274786,11460736,1814050,36.281,34.1626,24.2927,5463003,3971720,1491283,29.8257,11.58,235.808,243.369,314.168
