Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_002,1.79114,22238352,21738575,499777,9.9955,2.11714,12373590,12132803,240787,4.8157,4.2837,1.0997,5664584,5364490,300094,6.0019,11.4355,60.2579,68.1282,187.693
client_004,1.43907,14093917,13564371,529546,10.5909,9.93026,12408162,11880100,528062,10.5612,4.8502,1.7833,3167736,2879197,288539,5.7708,16.9828,30.2871,74.4762,148.331
client_008,1.5085,18232975,17503208,729767,14.5953,5.76744,12207869,11338522,869347,17.3869,6.3979,2.8929,4467516,4096924,370592,7.4118,10.1647,42.7469,93.3499,162.289
server_003,1.33741,15022470,14129784,892686,17.8537,8.63614,11430513,10702577,727936,14.5587,14.6463,3.0696,4041360,3553777,487583,9.7517,16.4263,52.2351,61.166,196.551
server_004,1.02141,27105703,26029397,1076306,21.5261,5.30328,12800268,10796116,2004152,40.083,15.8042,1.9791,5323518,4772637,550881,11.0176,14.8732,20.435,40.5745,164.688
server_010,1.29886,23699663,22500597,1199066,23.9813,3.83684,11989717,10371427,1618290,32.3658,17.1962,1.2543,5540783,4940245,600538,12.0108,12.9113,20.5782,31.0836,152.837
server_011,1.57747,15996576,14760745,1235831,24.7166,6.27972,10963124,10330449,632675,12.6535,17.021,1.9027,4862945,4245912,617033,12.3407,14.2287,38.2162,37.3239,155.462
server_012,1.77397,17683732,16315344,1368388,27.3678,4.3138,10759096,10122993,636103,12.7221,19.0213,1.3367,5514554,4827294,687260,13.7452,12.7357,36.4994,30.5115,150.095
server_013,1.70132,17370135,15943689,1426446,28.5289,4.47458,10739247,10092202,647045,12.9409,20.5478,1.5705,5504898,4798243,706655,14.1331,13.1269,38.6864,31.5197,151.489
server_016,1.81515,18354267,16112636,2241631,44.8326,2.53436,11563413,10734957,828456,16.5691,8.0957,0.5035,4782968,3602180,1180788,23.6158,9.87808,20.4647,31.3556,186.948
server_023,1.63143,20458723,17879605,2579118,51.5824,3.10968,12673882,11715038,958844,19.1769,8.8468,0.6682,5469712,4125549,1344163,26.8833,9.78186,21.8108,35.4066,206.776
server_024,1.6002,20719885,18030886,2688999,53.78,3.14434,12905685,11915906,989779,19.7956,10.5873,0.7552,5569481,4150646,1418835,28.3767,9.78407,24.735,37.0094,243.356
server_025,1.58402,23559080,20939607,2619473,52.3895,3.04306,13279062,12378304,900758,18.0152,9.8273,0.3902,6227683,4868257,1359426,27.1885,10.0375,19.4273,27.2518,192.735
server_026,1.57477,21769952,18802829,2967123,59.3425,3.47106,13043328,11979280,1064048,21.281,11.6066,0.3924,5862959,4344491,1518468,30.3694,9.91887,19.4655,26.8277,213.313
server_027,1.56232,21828023,18853925,2974098,59.482,3.59674,13099233,12080732,1018501,20.37,11.1609,0.4692,5894624,4371549,1523075,30.4615,9.93996,19.6958,27.7921,193.531
server_033,1.72574,28382574,24901677,3480897,69.6179,1.43784,12153670,11517545,636125,12.7225,3.7829,0.3623,6793792,4581273,2212519,44.2504,10.0315,20.6469,34.5071,153.515
server_034,1.83091,28000451,24500582,3499869,69.9974,1.44522,12159966,11554192,605774,12.1155,1.1329,0.0959,6794984,4573801,2221183,44.4237,10.0733,13.2133,27.8693,99.1975
spec_gcc_001,1.48305,20965110,20737127,227983,4.5597,5.5436,11723511,10951572,771939,15.4388,3.5591,1.0513,4798423,4658779,139644,2.7929,15.5325,24.5735,74.0041,182.933
spec_gobmk_001,1.42456,14137423,13772781,364642,7.2928,6.3329,9894311,9657675,236636,4.7327,1.7628,0.2906,3460125,3291833,168292,3.3658,8.30022,27.022,45.7469,156.252
spec_gobmk_002,1.69089,16434628,15979388,455240,9.1048,6.95732,9987984,9914848,73136,1.4627,0.4799,0.3693,4744908,4534144,210764,4.2153,8.08555,55.6845,146.982,165.156
