Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_001,1.53241,15942774,15661195,281579,5.6316,3.40872,11795198,11381024,414174,8.2835,5.0536,2.8151,3233516,3114211,119305,2.3861,13.35,82.1205,128.079,194.08
client_002,1.79113,22236297,21736680,499617,9.9923,2.12142,12373175,12132383,240792,4.8158,4.2774,1.097,5663910,5364431,299479,5.9896,11.3754,61.5723,69.5202,193.29
client_003,1.09929,16967973,16538073,429900,8.598,2.73488,11363671,10956324,407347,8.1469,7.287,5.2909,4108210,3861549,246661,4.9332,12.8669,178.695,198.294,245.636
client_004,1.43936,14099234,13569773,529461,10.5892,9.92256,12406365,11878311,528054,10.5611,4.8869,1.7931,3167972,2879542,288430,5.7686,16.9419,30.8236,74.9363,149.87
client_005,1.34421,20931533,20295265,636268,12.7254,4.15416,12955736,12568447,387289,7.7458,6.6609,4.8485,5772681,5407191,365490,7.3098,12.6102,116.351,138.953,163.524
client_006,1.45706,16304143,15587412,716731,14.3346,2.6482,9530236,9027575,502661,10.0532,8.9663,5.1968,3687536,3336535,351001,7.02,12.293,114.907,130.018,189.882
client_007,1.53576,16307799,15453021,854778,17.0956,3.35902,12431651,11866077,565574,11.3115,3.5248,2.4144,2991548,2561007,430541,8.6108,10.1737,52.4704,142.934,179.538
client_008,1.50837,18232776,17503013,729763,14.5953,5.7667,12207816,11338467,869349,17.387,6.398,2.8932,4467604,4096999,370605,7.4121,10.1669,42.7551,93.3785,162.335
server_001,1.47793,19910793,19402468,508325,10.1665,1.72574,10786535,10376504,410031,8.2006,8.2998,4.4968,4497636,4259831,237805,4.7561,15.2227,141.546,150.398,240.736
server_002,1.38259,34162896,33453453,709443,14.1889,0.22326,14895065,14894681,384,0.0077,0.0029,0.0013,6662376,6292913,369463,7.3893,9.86757,40.2865,90.1156,154.716
server_003,1.33774,15025582,14132866,892716,17.8543,8.6348,11431520,10703603,727917,14.5583,14.6762,3.0619,4041838,3553792,488046,9.7609,16.4092,52.1289,60.9483,196.412
server_004,1.02409,27106339,26029611,1076728,21.5346,5.30146,12801548,10799470,2002078,40.0416,15.7827,1.9421,5322822,4772117,550705,11.0141,14.8496,20.3841,40.2166,164.664
server_009,1.07453,28811161,27733931,1077230,21.5446,3.55464,12834050,10588458,2245592,44.9118,15.5081,1.3257,5569881,5032762,537119,10.7424,13.0935,17.8396,33.1196,154.215
server_010,1.29874,23696629,22498462,1198167,23.9633,3.83238,11988752,10372948,1615804,32.3161,17.176,1.2565,5540462,4939456,601006,12.0201,12.9096,20.5765,31.1022,152.633
server_011,1.57821,16003594,14767587,1236007,24.7201,6.27608,10962982,10330316,632666,12.6533,17.0274,1.8953,4862930,4246920,616010,12.3202,14.2417,38.0677,37.1832,154.877
server_012,1.77343,17678853,16310199,1368654,27.3731,4.31506,10759028,10122920,636108,12.7222,19.0256,1.3393,5512921,4824750,688171,13.7634,12.7166,36.4978,30.522,149.987
server_013,1.7041,17365028,15938333,1426695,28.5339,4.47568,10737770,10090719,647051,12.941,20.5449,1.5608,5505002,4798543,706459,14.1292,13.1119,38.6708,31.4307,151.235
server_014,1.41738,32498076,31007240,1490836,29.8167,0.41442,14988168,14926700,61468,1.2294,1.3096,0.9914,6665154,5770753,894401,17.888,10.4932,316.905,311.581,385.17
server_015,1.48474,31518048,29980003,1538045,30.7609,0.16038,15179640,15179238,402,0.008,0.0032,0.0015,6724038,5827518,896520,17.9304,10.0348,41.4527,93.8634,156.737
server_016,1.81519,18362276,16120508,2241768,44.8354,2.53282,11563486,10735031,828455,16.5691,8.1052,0.5029,4783124,3601823,1181301,23.626,9.8793,20.4741,31.3462,187.242
server_017,0.413995,24768135,22613955,2154180,43.0836,1.4052,12810359,11072554,1737805,34.7561,32.8075,24.3032,4861098,3576785,1284313,25.6863,11.8163,234.589,241.706,299.32
server_018,0.423424,26761392,24374898,2386494,47.7299,0.7312,13189135,11385100,1804035,36.0807,33.9364,24.4277,5344617,3922040,1422577,28.4515,11.6282,234.875,242.685,309.402
server_019,0.406725,24445173,22256165,2189008,43.7802,1.50334,12750138,10961571,1788567,35.7713,33.7407,25.5183,4782978,3492320,1290658,25.8132,12.1198,250.853,260.066,317.462
server_020,0.42661,26757658,24251555,2506103,50.1221,0.72184,13176744,11384153,1792591,35.8518,33.7521,24.2456,5344808,3867505,1477303,29.5461,11.5484,236.093,243.797,311.602
server_021,0.430361,26897514,24379881,2517633,50.3527,0.54768,13274806,11460755,1814051,36.281,34.1625,24.2927,5462995,3971703,1491292,29.8258,11.5799,235.802,243.362,314.158
server_022,0.431818,26802484,24363313,2439171,48.7834,0.54094,13287659,11469566,1818093,36.3619,34.2304,24.2377,5465661,4005866,1459795,29.1959,11.5333,236.962,244.416,316.973
server_023,1.63138,20459331,17879667,2579664,51.5933,3.10398,12673587,11714736,958851,19.177,8.8531,0.6684,5468511,4124257,1344254,26.8851,9.79181,21.8487,35.4785,207.807
server_024,1.60079,20691277,18003007,2688270,53.7654,3.14366,12903123,11913317,989806,19.7961,10.2883,0.7609,5570617,4144683,1425934,28.5187,9.75362,24.6764,37.7492,245.306
server_025,1.58183,23552381,20933017,2619364,52.3873,3.04424,13275208,12374448,900760,18.0152,10.1534,0.3903,6225684,4863710,1361974,27.2395,10.064,19.5026,26.9241,190.901
server_026,1.57626,21772750,18804923,2967827,59.3565,3.47074,13043854,11979821,1064033,21.2807,11.7308,0.384,5863150,4340896,1522254,30.4451,9.91273,19.3567,26.504,210.25
server_027,1.56279,21860312,18885691,2974621,59.4924,3.58728,13096784,12078280,1018504,20.3701,11.1898,0.4692,5895874,4367313,1528561,30.5712,9.93824,19.6842,27.7429,192.781
