Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_002,1.79859,22176885,21679084,497801,9.956,2.04894,12366304,12125513,240791,4.8158,4.2693,1.0828,5667713,5364956,302757,6.0551,11.209,61.4322,69.0489,193.586
client_004,1.41221,13769377,13239435,529942,10.5988,11.016,12460477,11932435,528042,10.5608,4.8772,1.7906,3162073,2890468,271605,5.4321,16.4791,30.694,75.1855,150.444
client_008,1.50829,18065304,17334952,730352,14.607,5.87628,12208909,11339546,869363,17.3873,6.3984,2.8943,4456089,4086503,369586,7.3917,10.1674,42.6917,93.3392,162.194
server_003,1.2899,14706025,13815391,890634,17.8127,9.8048,11482574,10754652,727922,14.5584,14.7097,3.1049,4056086,3570242,485844,9.7169,16.3585,52.8328,62.1678,199.922
server_004,1.02249,27155822,26080686,1075136,21.5027,5.50334,12813258,10811118,2002140,40.0428,15.6786,1.9296,5342688,4789795,552893,11.0579,14.5438,20.3135,40.2029,164.525
server_010,1.31135,23937508,22738341,1199167,23.9833,3.51512,11975866,10360136,1615730,32.3146,17.0478,1.2273,5564078,4965269,598809,11.9762,12.773,20.5049,30.9573,153.053
server_011,1.56321,15945333,14712990,1232343,24.6469,6.5485,10979362,10346683,632679,12.6536,17.0588,1.9268,4870150,4249891,620259,12.4052,13.9557,38.4555,37.6418,156.687
server_012,1.79217,17918572,16549917,1368655,27.3731,4.00346,10745850,10109748,636102,12.722,18.8438,1.3377,5542868,4852467,690401,13.808,12.5781,36.4775,30.6398,150.378
server_013,1.71053,17498492,16070102,1428390,28.5678,4.34524,10731967,10084907,647060,12.9412,20.5825,1.5484,5531763,4822804,708959,14.1792,13.048,38.6985,31.425,152.578
server_016,1.81809,18520100,16302955,2217145,44.3429,2.4466,11560655,10732197,828458,16.5692,8.0237,0.4938,4784344,3608151,1176193,23.5239,9.81051,20.4416,31.259,187.648
server_023,1.63232,20843415,18276075,2567340,51.3468,2.93776,12662651,11703801,958850,19.177,9.0451,0.6619,5475335,4127077,1348258,26.9652,9.75675,22.2092,34.9412,207.17
server_024,1.60778,21090214,18406011,2684203,53.6841,2.93598,12892143,11902331,989812,19.7962,9.8745,0.7538,5592691,4165079,1427612,28.5522,9.75003,24.5454,38.3365,245.2
server_025,1.58875,23814772,21199666,2615106,52.3021,2.81112,13265586,12364821,900765,18.0153,9.0751,0.3939,6227679,4866007,1361672,27.2334,9.93121,19.2672,27.814,189.539
server_026,1.57274,22081923,19139682,2942241,58.8448,3.21526,13034759,11970808,1063951,21.279,12.5726,0.3964,5867529,4346901,1520628,30.4126,10.0936,19.7923,26.075,207.325
server_027,1.57075,22140161,19178845,2961316,59.2263,3.32064,13086987,12068395,1018592,20.3718,10.9021,0.4718,5907622,4367982,1539640,30.7928,9.90463,19.6107,28.0114,192.732
server_033,1.72609,28403995,24907997,3495998,69.92,1.43312,12155885,11519823,636062,12.7212,3.7597,0.3623,6795782,4565415,2230367,44.6073,10.0266,20.6385,34.6004,153.574
server_034,1.83121,28002389,24498428,3503961,70.0792,1.43804,12161062,11555289,605773,12.1155,1.2128,0.094,6795128,4567394,2227734,44.5547,10.0313,13.2677,26.9949,98.1161
spec_gcc_001,1.47602,20056855,19822753,234102,4.682,6.44828,11746506,10974579,771927,15.4385,3.4388,1.0533,4711445,4582383,129062,2.5812,15.5112,24.2965,76.0486,183.092
spec_gobmk_001,1.4248,14133642,13771200,362442,7.2488,6.33266,9894233,9657597,236636,4.7327,1.764,0.2907,3460591,3292483,168108,3.3622,8.28025,26.9576,45.5721,155.268
spec_gobmk_002,1.69087,16419720,15964051,455669,9.1134,6.96132,9988241,9915105,73136,1.4627,0.4801,0.3693,4743332,4532495,210837,4.2167,8.09691,55.581,146.738,164.899
