Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_002,1.79859,22173123,21675440,497683,9.9537,2.06314,12366576,12125787,240789,4.8158,4.2909,1.0842,5670878,5369409,301469,6.0294,11.1804,60.693,67.9629,190.027
client_004,1.39672,13659042,13128827,530215,10.6043,11.4503,12479788,11951731,528057,10.5611,4.9104,1.7834,3157935,2886569,271366,5.4273,16.5976,30.5621,74.4806,150.15
client_008,1.50675,17932362,17201834,730528,14.6106,5.98722,12211011,11341653,869358,17.3872,6.3975,2.8943,4439020,4071012,368008,7.3602,10.1551,42.7029,93.3957,162.296
server_003,1.29102,14532925,13645539,887386,17.7477,10.0826,11496349,10768405,727944,14.5589,14.6464,3.1074,4038507,3562258,476249,9.525,16.0657,52.6868,62.2688,199.365
server_004,1.01458,27002182,25931758,1070424,21.4085,5.87774,12827292,10825168,2002124,40.0425,15.6676,1.9211,5338137,4792853,545284,10.9057,14.434,20.3001,40.1714,164.875
server_010,1.27528,24425674,23229951,1195723,23.9145,3.61832,11971663,10354025,1617638,32.3528,19.245,1.2279,5560141,4963175,596966,11.9393,12.4488,21.8922,29.7412,153.567
server_011,1.56966,15789001,14554834,1234167,24.6833,6.64384,10981270,10348607,632663,12.6533,17.0049,1.9006,4849321,4229803,619518,12.3904,13.7658,38.392,37.5057,157.134
server_012,1.79669,17781379,16412710,1368669,27.3734,4.093,10746481,10110392,636089,12.7218,18.8838,1.3267,5541125,4855218,685907,13.7181,12.3888,36.4665,30.5612,150.762
server_013,1.70293,17268889,15843106,1425783,28.5157,4.64336,10740764,10093768,646996,12.9399,20.5708,1.5475,5541524,4833274,708250,14.165,12.7764,38.7626,31.4973,153.517
server_016,1.8224,18154263,15939004,2215259,44.3052,2.61146,11558706,10730227,828479,16.5696,8.0673,0.4938,4792922,3635666,1157256,23.1451,9.67531,20.4209,31.1866,187.478
server_023,1.63648,20413522,17847299,2566223,51.3245,3.02588,12659609,11700758,958851,19.177,9.0295,0.6632,5490663,4161396,1329267,26.5853,9.7813,22.3216,35.2053,209.858
server_024,1.60496,20890239,18221028,2669211,53.3842,3.03128,12902418,11912606,989812,19.7962,9.9143,0.7541,5584742,4174498,1410244,28.2049,9.6705,24.5862,38.3367,246.119
server_025,1.58841,23794267,21172967,2621300,52.426,2.85162,13268364,12367597,900767,18.0153,9.1523,0.3939,6209289,4840947,1368342,27.3668,9.98797,19.1956,27.7025,189.042
server_026,1.57716,22070326,19105333,2964993,59.2999,3.25634,13041823,11977759,1064064,21.2813,12.1557,0.3958,5866187,4361923,1504264,30.0853,10.0145,19.6972,26.3918,209.418
server_027,1.57229,22312707,19337217,2975490,59.5098,3.27574,13086378,12067760,1018618,20.3724,11.1686,0.4696,5918291,4378242,1540049,30.801,10.1048,19.7044,27.8848,195.205
server_033,1.72608,28403622,24907635,3495987,69.9197,1.4331,12155928,11519866,636062,12.7212,3.7594,0.3623,6796167,4565526,2230641,44.6128,10.025,20.6414,34.6065,153.624
server_034,1.83087,28009810,24515145,3494665,69.8933,1.40168,12155447,11549677,605770,12.1154,1.1306,0.096,6794550,4576003,2218547,44.3709,10.0835,13.2082,27.88,99.0192
spec_gcc_001,1.46947,19313084,19076738,236346,4.7269,7.15514,11764599,10992682,771917,15.4383,3.362,1.0465,4622751,4496412,126339,2.5268,15.1773,24.1937,76.9597,183.08
spec_gobmk_001,1.42448,14130521,13768178,362343,7.2469,6.33936,9894515,9657878,236637,4.7327,1.7648,0.2908,3460176,3292237,167939,3.3588,8.28309,26.9603,45.569,155.248
spec_gobmk_002,1.69047,16412402,15956116,456286,9.1257,6.9716,9989010,9915874,73136,1.4627,0.4815,0.3697,4741984,4531148,210836,4.2167,8.10831,55.6193,146.616,165.065
