Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_002,1.79272,22196631,21696840,499791,9.9958,2.1077,12372159,12131372,240787,4.8157,4.3072,1.0971,5667332,5367265,300067,6.0013,11.3118,60.7234,68.1783,189.341
client_004,1.44257,14089591,13560211,529380,10.5876,9.93252,12406350,11878304,528046,10.5609,4.8352,1.7805,3169048,2880008,289040,5.7808,16.8559,30.4033,74.6191,148.481
client_008,1.50748,18234918,17505333,729585,14.5917,5.76694,12209129,11339772,869357,17.3871,6.3014,2.9101,4467709,4096725,370984,7.4197,10.1144,42.8543,95.0168,162.499
server_003,1.33108,15012961,14120528,892433,17.8487,8.72878,11435958,10708036,727922,14.5584,14.6663,3.0619,4051890,3563739,488151,9.763,16.428,52.1564,61.2037,197.494
server_004,1.02467,27170434,26094082,1076352,21.527,5.28932,12799910,10797815,2002095,40.0419,15.7374,1.9362,5337497,4786654,550843,11.0169,14.8012,20.3267,40.0781,163.566
server_010,1.29738,23744105,22548419,1195686,23.9137,3.86326,11992181,10373891,1618290,32.3658,17.1085,1.2451,5565524,4967004,598520,11.9704,12.8332,20.5144,31.0513,152.698
server_011,1.56656,15971050,14735774,1235276,24.7055,6.3582,10969512,10336861,632651,12.653,17.0841,1.918,4873821,4256209,617612,12.3522,14.1214,38.2294,37.3774,155.295
server_012,1.77182,17727251,16361464,1365787,27.3157,4.33662,10759219,10123115,636104,12.7221,18.9357,1.3406,5542240,4855518,686722,13.7344,12.6833,36.5005,30.6059,150.366
server_013,1.69318,17334897,15908912,1425985,28.5197,4.5809,10743379,10096358,647021,12.9404,20.5611,1.5842,5525147,4819464,705683,14.1137,13.0487,38.7479,31.6077,151.354
server_016,1.81334,18029262,15805422,2223840,44.4768,2.7054,11568993,10740530,828463,16.5693,8.0993,0.4976,4774289,3616105,1158184,23.1637,9.73816,20.432,31.1845,186.145
server_023,1.62822,20261032,17691554,2569478,51.3896,3.23224,12670056,11711214,958842,19.1768,9.1931,0.6669,5468128,4137294,1330834,26.6167,9.74114,22.343,34.9098,208.508
server_024,1.59493,20415353,17738105,2677248,53.545,3.36682,12915491,11925702,989789,19.7958,10.4607,0.7597,5578811,4180192,1398619,27.9724,9.62609,24.7989,37.3894,244.274
server_025,1.58012,23049537,20449202,2600335,52.0067,3.27522,13279661,12378870,900791,18.0158,9.2959,0.395,6211562,4898372,1313190,26.2638,9.76266,19.267,27.6165,189.553
server_026,1.56689,21148164,18218245,2929919,58.5984,3.76712,13056021,11992030,1063991,21.2798,12.452,0.4158,5859320,4394645,1464675,29.2935,9.82046,19.9822,26.5532,209.365
server_027,1.56493,21211846,18260727,2951119,59.0224,3.84362,13111334,12092537,1018797,20.3759,10.9324,0.4745,5892850,4411139,1481711,29.6342,9.7994,19.6333,28.0596,193.307
server_033,1.72643,28007047,24517816,3489231,69.7846,1.52634,12161114,11525054,636060,12.7212,3.76,0.3616,6790292,4567050,2223242,44.4648,9.99282,20.6179,34.5525,153.346
server_034,1.83075,27693239,24190215,3503024,70.0605,1.48802,12162247,11556473,605774,12.1155,1.1329,0.0972,6791558,4564808,2226750,44.535,10.0198,13.2307,28.1349,101
spec_gcc_001,1.48642,20949321,20721503,227818,4.5564,5.5543,11725229,10953301,771928,15.4386,3.4295,1.0448,4797645,4658173,139472,2.7894,15.5419,24.1709,74.9149,180.364
spec_gobmk_001,1.42478,14133026,13770641,362385,7.2477,6.3311,9894235,9657599,236636,4.7327,1.7637,0.2903,3460417,3292395,168022,3.3604,8.27124,26.9536,45.532,155.226
spec_gobmk_002,1.69106,16434955,15979661,455294,9.1059,6.9551,9987899,9914763,73136,1.4627,0.48,0.3691,4744912,4534011,210901,4.218,8.08831,55.6611,146.971,165.252
