Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_002,1.79842,22130034,21624253,505781,10.1156,2.12426,12367595,12126802,240793,4.8159,4.2886,1.0843,5669909,5363243,306666,6.1333,11.0853,60.5487,67.8761,189.563
client_004,1.40197,13668123,13138410,529713,10.5943,11.1476,12466651,11938562,528089,10.5618,4.9134,1.7889,3161297,2896093,265204,5.3041,16.8696,30.6048,74.2812,149.229
client_008,1.50734,18103192,17372911,730281,14.6056,5.8772,12211054,11341663,869391,17.3878,6.4149,2.8904,4456268,4087294,368974,7.3795,10.1457,42.7025,93.073,162.24
server_003,1.21173,14283957,13398082,885875,17.7175,11.9161,11611582,10883647,727935,14.5587,14.594,3.045,4056897,3600607,456290,9.1258,16.2606,52.1521,61.1421,197.309
server_004,0.966959,26145847,25080508,1065339,21.3068,7.78714,12931447,10929369,2002078,40.0416,15.6823,1.9291,5343297,4807149,536148,10.723,14.6264,20.3263,40.1457,164.127
server_010,1.30263,23644880,22449230,1195650,23.913,3.8632,11988773,10373114,1615659,32.3132,17.1081,1.2326,5560709,4961325,599384,11.9877,12.4614,20.5338,31.0619,154.38
server_011,1.40141,14989190,13768805,1220385,24.4077,9.7406,11143468,10510779,632689,12.6538,17.0134,1.9058,4854386,4263524,590862,11.8172,13.8082,38.2299,37.3,154.941
server_012,1.77672,17603900,16235565,1368335,27.3667,4.46452,10761505,10125425,636080,12.7216,18.9796,1.3343,5543742,4856243,687499,13.75,12.4717,36.5649,30.6754,152.313
server_013,1.69133,17113773,15691342,1422431,28.4486,4.88994,10751003,10104022,646981,12.9396,20.5553,1.5524,5534448,4833746,700702,14.014,12.7385,38.7605,31.5503,153.654
server_016,1.82228,17846089,15627761,2218328,44.3666,2.74128,11561929,10733443,828486,16.5697,8.0606,0.496,4789111,3663782,1125329,22.5066,9.61017,20.5046,31.3702,189.537
server_023,1.63316,20147167,17583799,2563368,51.2674,3.20178,12662947,11704097,958850,19.177,9.1112,0.6652,5486158,4174702,1311456,26.2291,9.73818,22.2688,34.9257,207.266
server_024,1.60413,20427857,17763834,2664023,53.2805,3.27364,12917540,11927738,989802,19.796,9.831,0.7502,5590248,4216659,1373589,27.4718,9.54143,24.5698,38.507,247.406
server_025,1.58552,23602416,20992852,2609564,52.1913,2.95016,13271576,12370825,900751,18.015,9.1637,0.3934,6212301,4864990,1347311,26.9462,9.85672,19.1982,27.7047,189.361
server_026,1.57718,21838745,18878664,2960081,59.2016,3.32204,13045705,11981651,1064054,21.2811,12.2636,0.398,5869621,4386040,1483581,29.6716,9.93926,19.7323,26.3696,209.374
server_027,1.57193,22155135,19178624,2976511,59.5302,3.30464,13088373,12069820,1018553,20.3711,11.1811,0.4711,5917515,4384205,1533310,30.6662,10.0931,19.7248,27.9321,195.847
server_033,1.72583,28381357,24886155,3495202,69.904,1.4335,12155954,11519893,636061,12.7212,3.758,0.3632,6795101,4564958,2230143,44.6029,10.0257,20.6317,34.6246,153.357
server_034,1.83088,28009327,24514564,3494763,69.8953,1.4021,12155460,11549690,605770,12.1154,1.1308,0.0961,6794226,4575650,2218576,44.3715,10.0832,13.2087,27.8893,99.0593
spec_gcc_001,1.47119,19933406,19701959,231447,4.6289,6.4494,11764145,10992208,771937,15.4387,3.3493,1.0512,4694360,4564308,130052,2.601,15.4189,24.0951,76.5817,180.377
spec_gobmk_001,1.42438,14130980,13768684,362296,7.2459,6.34016,9894735,9658097,236638,4.7328,1.7674,0.2896,3460330,3292335,167995,3.3599,8.29387,26.7886,45.1767,153.731
spec_gobmk_002,1.69023,16418119,15962592,455527,9.1105,6.97654,9989012,9915876,73136,1.4627,0.4799,0.369,4742943,4532422,210521,4.2104,8.09174,55.6108,146.773,165.027
