Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_002,1.78803,22173595,21673449,500146,10.0029,2.18518,12376179,12135393,240786,4.8157,4.2914,1.0963,5658756,5359826,298930,5.9786,11.2749,60.3238,67.8693,187.582
client_004,1.44055,14105863,13576153,529710,10.5942,9.89132,12405410,11877338,528072,10.5614,4.8389,1.7871,3167044,2877279,289765,5.7953,16.9132,30.495,74.9176,148.84
client_008,1.50772,18203363,17473754,729609,14.5922,5.7804,12208117,11338760,869357,17.3871,6.3022,2.9111,4461552,4090399,371153,7.4231,10.1452,42.8823,95.1926,162.84
server_003,1.33315,14979225,14087749,891476,17.8295,8.74052,11435417,10707503,727914,14.5583,14.6449,3.0476,4035162,3546495,488667,9.7733,16.3589,52.0711,60.9053,196.694
server_004,1.0149,26872493,25800248,1072245,21.4449,5.5932,12813802,10809643,2004159,40.0832,15.794,1.989,5314765,4755050,559715,11.1943,14.7689,20.3971,40.5733,163.73
server_010,1.28581,23541947,22348035,1193912,23.8782,4.15742,12005115,10386938,1618177,32.3635,17.1426,1.2587,5533086,4931378,601708,12.0342,12.9604,20.5273,31.1312,152.428
server_011,1.56566,15884578,14652264,1232314,24.6463,6.5212,10975937,10343280,632657,12.6531,17.0908,1.877,4852481,4234810,617671,12.3534,14.1813,38.0109,36.9482,154.92
server_012,1.75291,17516942,16153160,1363782,27.2756,4.63402,10773832,10137746,636086,12.7217,18.9775,1.3391,5508538,4820741,687797,13.7559,12.7473,36.5274,30.5443,149.969
server_013,1.67913,17150133,15728669,1421464,28.4293,4.82836,10752897,10105869,647028,12.9406,20.538,1.5868,5491651,4784945,706706,14.1341,13.0185,38.8088,31.6489,151.48
server_016,1.80443,17788268,15569640,2218628,44.3726,2.93342,11584479,10755975,828504,16.5701,8.1951,0.5002,4744373,3593900,1150473,23.0095,9.73888,20.3707,30.9699,183.89
server_023,1.61626,19894644,17334097,2560547,51.2109,3.56958,12690276,11731415,958861,19.1772,9.1685,0.6679,5434442,4127405,1307037,26.1407,9.67985,22.2884,34.9263,207.933
server_024,1.58678,20033541,17369228,2664313,53.2863,3.67684,12935237,11945374,989863,19.7973,10.2188,0.7508,5536280,4155348,1380932,27.6186,9.53663,24.636,37.7169,245.963
server_025,1.5687,22542160,19958563,2583597,51.6719,3.71624,13299936,12399080,900856,18.0171,9.2176,0.3917,6179900,4879299,1300601,26.012,9.62738,19.235,27.7308,191.832
server_026,1.55098,20447447,17526677,2920770,58.4154,4.30844,13083010,12019034,1063976,21.2795,12.6078,0.414,5805918,4358785,1447133,28.9427,9.71237,19.9413,26.3761,208.011
server_027,1.54913,20580572,17636834,2943738,58.8748,4.3957,13133556,12115018,1018538,20.3708,11.304,0.4645,5845372,4379953,1465419,29.3084,9.74734,19.6271,27.6799,193.771
server_033,1.72627,28280084,24785363,3494721,69.8944,1.48748,12160935,11524871,636064,12.7213,3.7606,0.3628,6792015,4558817,2233198,44.664,10.0108,20.6452,34.6253,153.656
server_034,1.83109,27994571,24483788,3510783,70.2157,1.44176,12162296,11556522,605774,12.1155,1.1312,0.0959,6795493,4561866,2233627,44.6725,10.0192,13.2121,27.8526,98.917
spec_gcc_001,1.48388,20966222,20738115,228107,4.5621,5.53558,11723314,10951387,771927,15.4385,3.5803,1.0453,4797447,4657540,139907,2.7981,15.543,24.4019,72.8499,181.151
spec_gobmk_001,1.42481,14135985,13770063,365922,7.3184,6.33326,9894203,9657567,236636,4.7327,1.7705,0.2917,3460447,3291902,168545,3.3709,8.3236,26.8825,45.3394,153.894
spec_gobmk_002,1.69103,16435552,15980355,455197,9.1039,6.95358,9987873,9914737,73136,1.4627,0.4798,0.3693,4744946,4534091,210855,4.2171,8.08304,55.8637,147.694,166.041
