Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_002,1.79005,22194810,21695853,498957,9.9791,2.15772,12374798,12134012,240786,4.8157,4.2831,1.0929,5656930,5358068,298862,5.9772,11.3338,60.8116,68.5913,190.617
client_004,1.43973,14083882,13554523,529359,10.5872,9.95082,12407398,11879346,528052,10.561,4.8269,1.789,3167260,2879247,288013,5.7603,16.8561,30.5011,74.8895,148.267
client_008,1.50856,18231328,17501636,729692,14.5938,5.76448,12207376,11338017,869359,17.3872,6.3942,2.891,4467607,4096636,370971,7.4194,10.1564,42.7149,93.3502,162.298
server_003,1.32594,14953822,14063321,890501,17.81,8.77336,11435863,10707924,727939,14.5588,14.6744,3.0942,4037147,3554777,482370,9.6474,16.4141,52.4469,61.3458,196.227
server_004,1.01606,26901751,25828558,1073193,21.4639,5.61574,12818103,10813937,2004166,40.0833,15.7213,1.9635,5317197,4771796,545401,10.908,14.6884,20.385,40.501,164.53
server_010,1.28683,23481420,22284310,1197110,23.9422,4.1581,12006544,10390857,1615687,32.3137,17.1406,1.2432,5528653,4934196,594457,11.8891,12.8625,20.5274,30.998,152.448
server_011,1.55324,15845044,14612369,1232675,24.6535,6.52032,10977796,10345120,632676,12.6535,17.067,1.9486,4852118,4241609,610509,12.2102,14.2259,38.2786,37.642,155.043
server_012,1.74655,17464401,16096836,1367565,27.3513,4.66822,10776874,10140754,636120,12.7224,18.9962,1.3434,5504643,4824317,680326,13.6065,12.7396,36.4732,30.5743,150.035
server_013,1.68355,17163086,15740496,1422590,28.4518,4.82454,10755030,10107952,647078,12.9416,20.3827,1.5588,5495032,4800697,694335,13.8867,13.0687,38.5871,31.5283,151.313
server_016,1.80549,17766895,15548341,2218554,44.3711,2.92006,11581839,10753348,828491,16.5698,8.0971,0.4992,4755468,3607350,1148118,22.9624,9.7212,20.3808,31.1282,184.592
server_023,1.61806,19932791,17366651,2566140,51.3228,3.52876,12687066,11728219,958847,19.1769,9.1305,0.666,5444459,4133721,1310738,26.2148,9.65854,22.2534,34.9051,207.382
server_024,1.59053,20036613,17363755,2672858,53.4572,3.65066,12928592,11938807,989785,19.7957,9.9088,0.7611,5548539,4167385,1381154,27.6231,9.56459,24.565,38.4278,244.69
server_025,1.56916,22595930,20006608,2589322,51.7864,3.69984,13306212,12405425,900787,18.0157,8.9223,0.3904,6198529,4900484,1298045,25.9609,9.59763,19.1125,27.9946,191.934
server_026,1.55124,20559520,17631918,2927602,58.552,4.28122,13082970,12019001,1063969,21.2794,12.9904,0.3937,5824672,4378716,1445956,28.9191,9.81115,19.8778,25.8862,209.448
server_027,1.55059,20663880,17720574,2943306,58.8661,4.34604,13134812,12116183,1018629,20.3726,11.0405,0.4642,5862996,4392761,1470235,29.4047,9.73037,19.5776,27.9455,195.036
server_033,1.7264,28044215,24555645,3488570,69.7714,1.51472,12160428,11524363,636065,12.7213,3.7599,0.3624,6791831,4569472,2222359,44.4472,9.9928,20.6408,34.6026,153.534
server_034,1.83107,27699220,24196230,3502990,70.0598,1.4861,12162185,11556411,605774,12.1155,1.1313,0.096,6791685,4564832,2226853,44.5371,10.0205,13.212,27.8756,99.0252
spec_gcc_001,1.48271,20894757,20664737,230020,4.6004,5.5873,11724932,10952990,771942,15.4388,3.5574,1.0555,4794903,4654696,140207,2.8041,15.4708,24.5223,73.8641,181.642
spec_gobmk_001,1.42469,14137438,13771443,365995,7.3199,6.33346,9894383,9657746,236637,4.7327,1.77,0.2888,3460492,3291981,168511,3.3702,8.32488,26.806,45.1194,154.01
spec_gobmk_002,1.69113,16435954,15980727,455227,9.1045,6.95284,9987799,9914663,73136,1.4627,0.4799,0.369,4744968,4534108,210860,4.2172,8.07772,55.8368,147.379,165.78
