Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_002,1.78721,22175777,21676389,499388,9.9878,2.1919,12376858,12136076,240782,4.8156,4.2885,1.0923,5655627,5356366,299261,5.9852,11.2907,60.6599,68.2149,189.481
client_004,1.43928,14105156,13575557,529599,10.592,9.9135,12406385,11878312,528073,10.5615,4.8439,1.7845,3167341,2877329,290012,5.8002,16.923,30.517,74.8167,148.934
client_008,1.50773,18233775,17503463,730312,14.6062,5.7712,12207934,11338677,869257,17.3851,6.3942,2.89,4468149,4097760,370389,7.4078,10.1419,42.7119,93.3043,162.249
server_003,1.3265,14972462,14081290,891172,17.8234,8.769,11438539,10710597,727942,14.5588,14.6308,3.0866,4035487,3549881,485606,9.7121,16.5611,52.3012,61.4869,196.782
server_004,1.01341,26951813,25876488,1075325,21.5065,5.6558,12819056,10816934,2002122,40.0424,15.8188,1.9587,5317477,4768120,549357,10.9871,14.8659,20.3953,40.2471,163.892
server_010,1.2791,23496402,22298443,1197959,23.9592,4.29754,12014478,10398665,1615813,32.3163,17.1705,1.2499,5527583,4930790,596793,11.9359,13.0228,20.5223,30.9942,151.87
server_011,1.54231,15852811,14619497,1233314,24.6663,6.60976,10982505,10349839,632666,12.6533,17.1225,1.9762,4853737,4238499,615238,12.3048,14.3048,38.3397,37.8,154.771
server_012,1.73385,17481281,16113569,1367712,27.3542,4.78316,10783344,10147233,636111,12.7222,19.0033,1.3459,5501726,4819196,682530,13.6506,12.8479,36.4776,30.5817,149.946
server_013,1.67374,17137920,15715550,1422370,28.4474,4.96586,10760787,10113731,647056,12.9411,20.4039,1.5488,5496665,4799848,696817,13.9363,13.043,38.4938,31.3843,150.562
server_016,1.79781,17554205,15338237,2215968,44.3194,3.13086,11591709,10763177,828532,16.5706,8.1137,0.4971,4749262,3612360,1136902,22.738,9.64978,20.3939,31.1626,186.296
server_023,1.61034,19682749,17126498,2556251,51.125,3.78472,12701322,11742462,958860,19.1772,9.0694,0.6662,5440315,4140128,1300187,26.0037,9.57722,22.279,35.1137,208.7
server_024,1.58328,19754464,17087280,2667184,53.3437,3.91842,12943660,11953808,989852,19.797,9.8614,0.7557,5545796,4170437,1375359,27.5072,9.46585,24.4916,38.3522,244.273
server_025,1.55906,22284182,19700454,2583728,51.6746,3.98966,13317062,12416239,900823,18.0165,9.2696,0.3911,6191126,4915560,1275566,25.5113,9.52663,19.296,27.6499,191.715
server_026,1.54225,20157600,17241799,2915801,58.316,4.64028,13100799,12036857,1063942,21.2788,13.0066,0.3938,5816406,4392205,1424201,28.484,9.66699,19.8622,25.8633,208.823
server_027,1.53776,20311091,17378513,2932578,58.6516,4.71796,13152190,12133636,1018554,20.3711,10.9397,0.4741,5863572,4425470,1438102,28.762,9.61646,19.5261,28.0354,191.47
server_033,1.72632,28000077,24511062,3489015,69.7803,1.52794,12160733,11524670,636063,12.7213,3.7608,0.3624,6788918,4566439,2222479,44.4496,9.98802,20.6379,34.5988,153.523
server_034,1.83108,27692498,24190020,3502478,70.0496,1.48766,12161143,11555372,605771,12.1154,1.2127,0.094,6791347,4563026,2228321,44.5664,10.0201,13.2667,26.9931,98.1245
spec_gcc_001,1.48371,20966906,20738821,228085,4.5617,5.5249,11722529,10950590,771939,15.4388,3.5739,1.0481,4798458,4658404,140054,2.8011,15.455,24.3642,72.7821,180.108
spec_gobmk_001,1.42459,14138048,13772071,365977,7.3195,6.33166,9894219,9657583,236636,4.7327,1.7655,0.2907,3460419,3291839,168580,3.3716,8.30744,27.0125,45.6553,155.904
spec_gobmk_002,1.69146,16436210,15981007,455203,9.1041,6.95116,9987644,9914508,73136,1.4627,0.4835,0.3686,4745006,4534157,210849,4.217,8.07036,55.4461,144.985,164.053
