Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_002,1.73459,5652253,5187123,465130,9.3026,2.1919,12400254,12159474,240780,4.8156,4.1386,1.0598,5652253,5187123,465130,9.3026,15.7994,61.6649,69.6539,194.102
client_004,1.35215,3151398,2651920,499478,9.9896,9.9135,12448942,11920881,528061,10.5612,4.693,1.6992,3151398,2651920,499478,9.9896,25.4959,30.0496,73.4504,147.741
client_008,1.45789,4428523,3756041,672482,13.4496,5.7712,12257302,11388113,869189,17.3838,6.2357,2.8894,4428523,3756041,672482,13.4496,14.0156,43.1211,95.6071,163.227
server_003,1.21104,3996216,3146129,850087,17.0017,8.769,11505054,10777112,727942,14.5588,14.324,2.9817,3996216,3146129,850087,17.0017,27.15,52.3298,61.015,197.222
server_004,0.935906,5271674,4249494,1022180,20.4436,5.65576,12898832,10896742,2002090,40.0418,15.3085,1.9445,5271674,4249494,1022180,20.4436,23.9575,20.2974,40.6208,162.686
server_010,1.17547,5478863,4343942,1134921,22.6984,4.29754,12098318,10480198,1618120,32.3624,16.5455,1.2345,5478863,4343942,1134921,22.6984,20.8633,20.4486,31.2827,151.828
server_011,1.39928,4803780,3626234,1177546,23.5509,6.60974,11066804,10434142,632662,12.6532,16.4002,1.7931,4803780,3626234,1177546,23.5509,22.3668,37.6438,36.7209,153.436
server_012,1.51001,5446201,4148942,1297259,25.9452,4.78314,10880132,10244010,636122,12.7224,18.2045,1.4483,5446201,4148942,1297259,25.9452,20.8236,36.8586,31.915,150.165
server_013,1.48678,5437874,4083848,1354026,27.0805,4.96586,10861212,10214195,647017,12.9403,19.8035,1.4953,5437874,4083848,1354026,27.0805,20.9832,38.0941,31.2182,149.548
server_016,1.71718,4641598,2567401,2074197,41.4839,3.13086,11656989,10828452,828537,16.5707,7.389,0.4826,4641598,2567401,2074197,41.4839,13.1664,20.2171,32.0675,190.603
server_023,1.53114,5315326,2918913,2396413,47.9283,3.78472,12789139,11830245,958894,19.1779,7.914,0.6526,5315326,2918913,2396413,47.9283,13.001,21.6978,37.2182,211.793
server_024,1.48891,5417762,2924592,2493170,49.8634,3.91842,13033887,12044056,989831,19.7966,10.5159,0.7444,5417762,2924592,2493170,49.8634,13.4613,24.9288,37.3036,248.095
server_025,1.47278,6057623,3631530,2426093,48.5219,3.98966,13414802,12513971,900831,18.0166,9.301,0.386,6057623,3631530,2426093,48.5219,13.5046,18.9292,27.6035,194.772
server_026,1.45001,5677262,2938614,2738648,54.773,4.64028,13200170,12136443,1063727,21.2745,11.6706,0.384,5677262,2938614,2738648,54.773,13.5258,19.3508,26.4382,208.156
server_027,1.45167,5724440,2971257,2753183,55.0637,4.71796,13265545,12247026,1018519,20.3704,9.5604,0.461,5724440,2971257,2753183,55.0637,13.137,19.1724,28.9561,191.16
server_033,1.70262,6608002,3307349,3300653,66.0131,1.52794,12171391,11535145,636246,12.7249,4.316,0.365,6608002,3307349,3300653,66.0131,11.2955,20.8803,32.6984,153.193
server_034,1.80522,6609492,3311822,3297670,65.9534,1.48766,12164136,11558197,605939,12.1188,1.7138,0.0976,6609492,3311822,3297670,65.9534,11.2887,13.3912,25.3401,100.676
spec_gcc_001,1.46063,4796805,4577121,219684,4.3937,5.5249,11735230,10963299,771931,15.4386,3.35,0.9992,4796805,4577121,219684,4.3937,22.2972,24.6649,77.3625,192.436
spec_gobmk_001,1.40327,3460263,3135118,325145,6.5029,6.33166,9918400,9681770,236630,4.7326,1.7734,0.3085,3460263,3135118,325145,6.5029,11.9012,27.4826,46.8908,154.696
spec_gobmk_002,1.64751,4744046,4320883,423163,8.4633,6.95116,10024820,9951687,73133,1.4627,0.476,0.3675,4744046,4320883,423163,8.4633,11.6131,56.0912,149.01,167.223
