Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_002,1.80685,22430849,21930888,499961,9.9992,1.87116,12360533,12119747,240786,4.8157,4.2846,1.0951,5682273,5376154,306119,6.1224,11.3471,60.5862,68.3563,189.382
client_004,1.45957,14144434,13614680,529754,10.5951,9.63624,12394516,11866471,528045,10.5609,4.8851,1.7873,3167541,2877625,289916,5.7983,16.3555,30.9025,75.02,150.539
client_008,1.51073,18231055,17500377,730678,14.6136,5.75388,12207577,11338327,869250,17.385,6.4129,2.8879,4467573,4096556,371017,7.4203,10.1003,42.7198,93.0838,162.353
server_003,1.36173,15216367,14321884,894483,17.8897,8.03322,11405560,10677632,727928,14.5586,14.6735,3.1351,4033879,3541372,492507,9.8501,16.3032,52.3978,61.977,196.603
server_004,1.04566,27545783,26465529,1080254,21.6051,4.40958,12761967,10759840,2002127,40.0425,15.7151,1.9597,5318006,4760032,557974,11.1595,14.836,20.4425,40.5541,165.16
server_010,1.3306,24231691,23029408,1202283,24.0457,2.95854,11952730,10334555,1618175,32.3635,17.0547,1.2319,5541888,4932910,608978,12.1796,13.1126,20.5182,31.0286,153.57
server_011,1.61767,16451721,15210902,1240819,24.8164,5.4235,10924930,10292254,632676,12.6535,17.0624,1.9277,4853192,4229284,623908,12.4782,14.415,38.4685,37.6182,156.457
server_012,1.83752,18271608,16898530,1373078,27.4616,3.32942,10715582,10079495,636087,12.7217,18.906,1.3162,5517835,4821157,696678,13.9336,12.9689,36.445,30.4607,150.755
server_013,1.76497,17985600,16550435,1435165,28.7033,3.43218,10691346,10044292,647054,12.9411,20.5199,1.5722,5503715,4785623,718092,14.3618,13.3481,38.7434,31.602,152.113
server_016,1.836,19389010,17135516,2253494,45.0699,1.81298,11530657,10702215,828442,16.5688,8.1747,0.5,4795118,3560472,1234646,24.6929,10.1824,20.3595,30.9874,183.889
server_023,1.64634,21718391,19121071,2597320,51.9464,2.24174,12631519,11672677,958842,19.1768,9.053,0.6692,5484328,4072048,1412280,28.2456,10.1069,22.2751,35.1352,207.887
server_024,1.61752,22113893,19405154,2708739,54.1748,2.21666,12869414,11879605,989809,19.7962,10.2594,0.7525,5597369,4107542,1489827,29.7965,10.0835,24.6981,37.6602,245.876
server_025,1.60773,24808112,22171038,2637074,52.7415,2.09658,13232458,12331747,900711,18.0142,9.1759,0.3984,6237061,4809264,1427797,28.5559,10.2406,19.3085,27.8353,190
server_026,1.59935,23077979,20083837,2994142,59.8828,2.38796,12994077,11930142,1063935,21.2787,12.8453,0.3922,5878473,4284776,1593697,31.8739,10.3968,19.8832,25.9563,210.069
server_027,1.59261,23268131,20266545,3001586,60.0317,2.45752,13048622,12030041,1018581,20.3716,11.3385,0.4645,5914419,4303405,1611014,32.2203,10.3013,19.6752,27.6999,195.111
server_033,1.72645,28633625,25153110,3480515,69.6103,1.42516,12153348,11517225,636123,12.7225,3.7542,0.3616,6796989,4568206,2228783,44.5757,10.0313,20.6247,34.6056,153.628
server_034,1.83096,28238039,24744517,3493522,69.8704,1.40428,12156105,11550331,605774,12.1155,1.1304,0.0961,6799371,4581021,2218350,44.367,10.0732,13.2084,27.8868,98.9596
spec_gcc_001,1.48765,20966109,20738261,227848,4.557,5.50242,11722680,10950729,771951,15.439,3.5042,1.0438,4799774,4659644,140130,2.8026,15.3295,24.2423,73.7366,180.533
spec_gobmk_001,1.42495,14140508,13774401,366107,7.3221,6.32902,9894207,9657572,236635,4.7327,1.7714,0.2923,3460577,3291917,168660,3.3732,8.33159,26.8912,45.371,153.851
spec_gobmk_002,1.6908,16433336,15978150,455186,9.1037,6.95872,9988053,9914917,73136,1.4627,0.4802,0.3693,4744771,4534006,210765,4.2153,8.07997,55.7227,147.143,165.49
