Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_002,1.81641,22564315,22063228,501087,10.0217,1.71296,12353734,12112946,240788,4.8158,4.2795,1.095,5688650,5378152,310498,6.21,11.4357,60.5454,68.4118,189.408
client_004,1.45931,14150266,13620347,529919,10.5984,9.59828,12393042,11864997,528045,10.5609,4.8804,1.7984,3168092,2876897,291195,5.8239,16.4091,30.8453,75.3131,150.278
client_008,1.51139,18238455,17508702,729753,14.5951,5.73832,12206047,11336688,869359,17.3872,6.3945,2.8909,4468248,4097011,371237,7.4247,10.081,42.745,93.5145,162.672
server_003,1.37546,15285426,14389333,896093,17.9219,7.83828,11394794,10666870,727924,14.5585,14.6422,3.0874,4029341,3535413,493928,9.8786,16.2438,52.4138,61.9396,199.022
server_004,1.05464,27795234,26712373,1082861,21.6572,4.04114,12745817,10743683,2002134,40.0427,15.7134,1.9453,5316832,4752975,563857,11.2771,14.9841,20.418,40.4557,165.596
server_010,1.34652,24550957,23345321,1205636,24.1127,2.5049,11930550,10312226,1618324,32.3665,16.9964,1.2419,5542405,4925410,616995,12.3399,13.1794,20.5392,31.1413,153.355
server_011,1.64033,16755590,15511256,1244334,24.8867,4.9959,10904722,10272038,632684,12.6537,17.0086,1.9189,4850628,4221200,629428,12.5886,14.5641,38.4073,37.5572,156.124
server_012,1.87237,18616101,17242178,1373923,27.4785,2.82288,10692786,10056668,636118,12.7224,18.8084,1.3156,5518237,4811800,706437,14.1287,13.0216,36.4365,30.5162,150.839
server_013,1.79975,18357532,16915107,1442425,28.8485,2.89246,10666833,10019799,647034,12.9407,20.5016,1.5622,5501001,4778101,722900,14.458,13.5983,38.7055,31.5741,152.598
server_016,1.85074,20533148,18258057,2275091,45.5018,1.19216,11515602,10687188,828414,16.5683,7.8489,0.4959,4815075,3526473,1288602,25.772,10.4042,20.3648,31.4986,186.937
server_023,1.66432,22915882,20293245,2622637,52.4527,1.51494,12609231,11650404,958827,19.1765,8.7101,0.6752,5517894,4053123,1464771,29.2954,10.4069,22.2879,35.866,207.392
server_024,1.6343,23504910,20772393,2732517,54.6503,1.42338,12847252,11857478,989774,19.7955,10.0209,0.7477,5623287,4075877,1547410,30.9482,10.3818,24.5756,38.0228,246.78
server_025,1.62547,26104883,23456830,2648053,52.9611,1.324,13212111,12311380,900731,18.0146,8.8792,0.3966,6262566,4766491,1496075,29.9215,10.5134,19.1951,27.998,188.631
server_026,1.61963,24622325,21630162,2992163,59.8433,1.494,12968719,11904711,1064008,21.2802,12.4838,0.3926,5919351,4253087,1666264,33.3253,10.6607,19.7195,26.0455,206.628
server_027,1.61187,24678834,21666323,3012511,60.2502,1.55214,13021018,12002426,1018592,20.3718,10.9865,0.4763,5945282,4265398,1679884,33.5977,10.6688,19.6113,28.0016,191.687
server_033,1.72669,28815188,25315994,3499194,69.9839,1.36164,12152957,11516832,636125,12.7225,3.7533,0.3611,6797079,4556016,2241063,44.8213,10.087,20.6235,34.6362,154.136
server_034,1.83036,28348206,24840963,3507243,70.1449,1.37116,12154143,11548373,605770,12.1154,1.1302,0.0957,6802571,4580266,2222305,44.4461,10.1059,13.2068,27.8559,98.9889
spec_gcc_001,1.49007,20962326,20734387,227939,4.5588,5.49516,11723595,10951667,771928,15.4386,3.4233,1.0369,4799138,4659214,139924,2.7985,15.2272,24.1665,75.0088,181.714
spec_gobmk_001,1.42614,14131203,13765353,365850,7.317,6.32102,9893553,9656914,236639,4.7328,1.7591,0.2865,3459780,3291084,168696,3.3739,8.30188,26.8279,45.3333,155.616
spec_gobmk_002,1.69104,16434060,15978875,455185,9.1037,6.95556,9988045,9914909,73136,1.4627,0.4805,0.3689,4745002,4534100,210902,4.218,8.0828,55.66,146.745,165.203
