Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI,L1I Latency,L1D Latency,L2C Latency,LLC Latency
client_002,1.79802,22123468,21617156,506312,10.1262,2.12468,12367740,12126953,240787,4.8157,4.2943,1.0842,5669886,5363008,306878,6.1376,11.1115,60.702,67.9904,190.285
client_004,1.40334,13699456,13169426,530030,10.6006,11.0571,12459742,11931631,528111,10.5622,4.9425,1.8012,3162967,2897034,265933,5.3187,16.9218,30.7482,74.3426,149.257
client_008,1.5074,18112234,17382469,729765,14.5953,5.87624,12210449,11340972,869477,17.3895,6.4143,2.8899,4457239,4090895,366344,7.3269,10.1525,42.7067,93.088,162.285
server_003,1.21343,14293990,13408403,885587,17.7117,11.8185,11603497,10875570,727927,14.5585,14.5976,3.0503,4055605,3594208,461397,9.2279,16.2643,52.1645,61.1449,197.033
server_004,0.961366,26131806,25067173,1064633,21.2927,7.94224,12936425,10934367,2002058,40.0412,15.7171,1.931,5347814,4806152,541662,10.8332,14.6636,20.3302,40.1006,163.969
server_010,1.30165,23625304,22428261,1197043,23.9409,3.90574,11990462,10372316,1618146,32.3629,17.1303,1.2337,5563450,4963624,599826,11.9965,12.4664,20.5253,31.0742,154.61
server_011,1.39253,14971030,13750169,1220861,24.4172,9.89478,11148707,10516037,632670,12.6534,17.0034,1.9146,4861878,4269582,592296,11.8459,13.8247,38.2574,37.3691,154.747
server_012,1.77476,17600935,16231918,1369017,27.3803,4.46928,10761704,10125617,636087,12.7217,19.0071,1.3365,5545606,4856429,689177,13.7835,12.4467,36.5673,30.6584,152.04
server_013,1.69089,17001455,15580858,1420597,28.4119,4.92978,10751006,10104031,646975,12.9395,20.5377,1.5558,5525158,4824149,701009,14.0202,12.6638,38.7612,31.5753,153.502
server_016,1.81992,17806957,15582630,2224327,44.4865,2.77428,11565563,10737078,828485,16.5697,8.132,0.4982,4790019,3658524,1131495,22.6299,9.61641,20.4399,31.1371,186.508
server_023,1.63328,19994868,17427458,2567410,51.3482,3.2612,12664768,11705915,958853,19.1771,9.1708,0.6663,5488830,4189042,1299788,25.9958,9.73036,22.3055,34.8826,207.789
server_024,1.60186,20566202,17884936,2681266,53.6253,3.2653,12919769,11929966,989803,19.7961,9.8538,0.7502,5596079,4213212,1382867,27.6573,9.613,24.5645,38.428,247.117
server_025,1.58453,23611941,20998984,2612957,52.2591,2.9616,13273172,12372429,900743,18.0149,9.2087,0.3942,6216071,4867237,1348834,26.9767,9.87412,19.1937,27.6634,189.001
server_026,1.57719,21925212,18956455,2968757,59.3751,3.3132,13044664,11980610,1064054,21.2811,12.1905,0.3977,5871704,4379603,1492101,29.842,9.96518,19.725,26.4236,209.998
server_027,1.57223,22048143,19078495,2969648,59.393,3.3366,13091170,12072620,1018550,20.371,11.16,0.4712,5923355,4389504,1533851,30.677,10.0383,19.7004,27.9197,195.118
server_033,1.72582,28381306,24886104,3495202,69.904,1.4335,12155950,11519889,636061,12.7212,3.7581,0.3632,6795084,4564920,2230164,44.6033,10.0256,20.6327,34.6282,153.406
server_034,1.83087,28009165,24514444,3494721,69.8944,1.40212,12155476,11549706,605770,12.1154,1.1311,0.0961,6794249,4575728,2218521,44.3704,10.0831,13.2087,27.8859,99.0527
spec_gcc_001,1.47183,20021346,19790072,231274,4.6255,6.3764,11763236,10991292,771944,15.4389,3.3433,1.0486,4703081,4572277,130804,2.6161,15.3904,24.0956,76.7028,180.883
spec_gobmk_001,1.42438,14131230,13768922,362308,7.2462,6.34006,9894562,9657924,236638,4.7328,1.767,0.2896,3460310,3292370,167940,3.3588,8.29645,26.7856,45.1807,153.724
spec_gobmk_002,1.69031,16419516,15964053,455463,9.1093,6.97668,9988983,9915847,73136,1.4627,0.4799,0.369,4743019,4532451,210568,4.2114,8.09215,55.6079,146.781,165.035
